stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	state_bank_was_new	active_action_before	active_argument_before	explicit_action_roots	explicit_argument_roots	inherited_action_root	inherited_argument_root	active_action_after	active_argument_after	reader_status	reader_clause_de	baseline_reader_clause_de	order_repair_rule	clause_changed_by_order_repair	state_matches_gdt436	expected_order_safe_clause_de	clause_matches_gdt437	meaning_change
1	G407-E0001	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	T0_EXACT_OBSERVED	YES	NONE	NONE	CH|S	Y	NONE	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	YES	NO
2	G407-E0002	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	T0_EXACT_OBSERVED	NO	S	Y	K	Y	NONE	NONE	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Ordne den laufenden Eintrag zu; zur Zielspalte.	YES	NO
3	G407-E0003	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	T0_EXACT_OBSERVED	NO	K	Y	NONE	NONE	K	Y	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	YES	NO
4	G407-E0004	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	T0_EXACT_OBSERVED	NO	K	Y	T	AIIN	NONE	NONE	T	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Lege den Kennwert fest; an der bezeichneten Stelle.	Lege den Kennwert fest; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Lege den Kennwert fest; an der bezeichneten Stelle.	YES	NO
5	G407-E0005	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	T0_EXACT_OBSERVED	NO	T	AIIN	SH	NONE	NONE	AIIN	SH	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter halte den Kennwert [wie zuvor] fest.	Weiter halte den Kennwert [wie zuvor] fest.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter halte den Kennwert [wie zuvor] fest.	YES	NO
6	G407-E0006	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	T0_EXACT_OBSERVED	NO	SH	AIIN	SH	OR|Y	NONE	NONE	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte die Eintragseinheit und den laufenden Eintrag fest.	YES	NO
7	G407-E0007	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	T0_EXACT_OBSERVED	NO	SH	Y	CH|T|R|S	NONE	NONE	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	YES	NO
8	G407-E0008	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	T0_EXACT_OBSERVED	NO	S	Y	NONE	Y	S	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang wähle den laufenden Eintrag.	YES	NO
9	G407-E0009	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	T0_EXACT_OBSERVED	NO	S	Y	K	OR	NONE	NONE	K	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Ordne die Eintragseinheit zu.	YES	NO
10	G407-E0010	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	T0_EXACT_OBSERVED	NO	K	OR	SH	Y	NONE	NONE	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	YES	NO
