probe_id	component_recipe	intake_tier	register	input_contains_event_id	seed_status	target_status	target_incoming_action	target_incoming_argument	order_repair_rule	stream_clause_de	expected_transition_clause_de	matches_gdt437_transition
PROBE001	AIIN+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang trage den Kennwert und den Teilwert ein.	Im laufenden Gang trage den Kennwert und den Teilwert ein.	YES
PROBE002	AIIN+AIN	T2_FUTURE_STRONG	HERBAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Arbeitswert und den Materialanteil im Arbeitsgang an.	Im laufenden Gang setze den Arbeitswert und den Materialanteil im Arbeitsgang an.	YES
PROBE003	AIIN+AIN	T2_FUTURE_STRONG	BIOLOGICAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Stationswert und den Stationsanteil im Stationsgang an.	Im laufenden Gang setze den Stationswert und den Stationsanteil im Stationsgang an.	YES
PROBE004	AIIN+AIN	T2_FUTURE_STRONG	CELESTIAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Positionswert und den Sektoranteil.	Im laufenden Gang setze den Positionswert und den Sektoranteil.	YES
PROBE005	AIIN+AIN	T2_FUTURE_STRONG	PHARMA	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Mengenwert und den Drogenanteil als Ansatz an.	Im laufenden Gang setze den Mengenwert und den Drogenanteil als Ansatz an.	YES
PROBE006	AIN+Y	T2_FUTURE_STRONG	SOURCE_SECTION_T	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang trage den Teilwert und den laufenden Eintrag ein.	Im laufenden Gang trage den Teilwert und den laufenden Eintrag ein.	YES
PROBE007	AIN+Y	T2_FUTURE_STRONG	HERBAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Materialanteil und den Pflanzenposten im Arbeitsgang an.	Im laufenden Gang setze den Materialanteil und den Pflanzenposten im Arbeitsgang an.	YES
PROBE008	AIN+Y	T2_FUTURE_STRONG	BIOLOGICAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Stationsanteil und den Stationsposten im Stationsgang an.	Im laufenden Gang setze den Stationsanteil und den Stationsposten im Stationsgang an.	YES
PROBE009	AIN+Y	T2_FUTURE_STRONG	CELESTIAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Sektoranteil und den Positionsposten.	Im laufenden Gang setze den Sektoranteil und den Positionsposten.	YES
PROBE010	AIN+Y	T2_FUTURE_STRONG	PHARMA	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	BASELINE_ORDER_ALREADY_SAFE	Im laufenden Gang setze den Drogenanteil und den Drogenposten als Ansatz an.	Im laufenden Gang setze den Drogenanteil und den Drogenposten als Ansatz an.	YES
PROBE011	AIR+AIIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Lesebahn: im laufenden Gang trage den Kennwert ein.	Entlang der Lesebahn: im laufenden Gang trage den Kennwert ein.	YES
PROBE012	AIR+AIIN	T2_FUTURE_STRONG	HERBAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Verarbeitungsbahn: im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	Entlang der Verarbeitungsbahn: im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	YES
PROBE013	AIR+AIIN	T2_FUTURE_STRONG	BIOLOGICAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Stationsbahn: im laufenden Gang setze den Stationswert im Stationsgang an.	Entlang der Stationsbahn: im laufenden Gang setze den Stationswert im Stationsgang an.	YES
PROBE014	AIR+AIIN	T2_FUTURE_STRONG	CELESTIAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Ringbahn: im laufenden Gang setze den Positionswert.	Entlang der Ringbahn: im laufenden Gang setze den Positionswert.	YES
PROBE015	AIR+AIIN	T2_FUTURE_STRONG	PHARMA	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Transferbahn: im laufenden Gang setze den Mengenwert als Ansatz an.	Entlang der Transferbahn: im laufenden Gang setze den Mengenwert als Ansatz an.	YES
PROBE016	AIR+AIN	T3_SECOND_RING_AMBER	SOURCE_SECTION_T	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Lesebahn: im laufenden Gang trage den Teilwert ein.	Entlang der Lesebahn: im laufenden Gang trage den Teilwert ein.	YES
PROBE017	AIR+AIN	T3_SECOND_RING_AMBER	HERBAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Verarbeitungsbahn: im laufenden Gang setze den Materialanteil im Arbeitsgang an.	Entlang der Verarbeitungsbahn: im laufenden Gang setze den Materialanteil im Arbeitsgang an.	YES
PROBE018	AIR+AIN	T3_SECOND_RING_AMBER	BIOLOGICAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Stationsbahn: im laufenden Gang setze den Stationsanteil im Stationsgang an.	Entlang der Stationsbahn: im laufenden Gang setze den Stationsanteil im Stationsgang an.	YES
PROBE019	AIR+AIN	T3_SECOND_RING_AMBER	CELESTIAL	NO	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	OK	Y	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	Entlang der Ringbahn: im laufenden Gang setze den Sektoranteil.	Entlang der Ringbahn: im laufenden Gang setze den Sektoranteil.	YES
