page	locus	line_mode	zl3b_line	changed_token_positions	changed_ordinals	v66_translation_de	v67_translation_de	apparatus_de	local_rivals_de	bound_span_notes_de
f105r	f105r.31	MIXED_RECORD	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	1	9	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenanteil I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenanteil I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; Anteil I der erhitzten Holzdroge; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	#9 lkar: heiße Holzfraktion I → Anteil I der erhitzten Holzdroge [M001; COMPOSED_R_SHARE]	#9 lkar: heißes Drogenholz	NONE
f105v	f105v.1	MIXED_RECORD	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	3	1|7|9	Zweite Pulverfraktion, abgeschlossen; Anteil II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	Pulveranteil II, abgeschlossen; Anteil II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; abgemessener Ansatzanteil II, fertiggestellt; hieraus Pulver bis zur Mittelstufe trocknen; Samenanteil II, abgeschlossen.	#1 polairy: zweite Pulverfraktion, abgeschlossen → Pulveranteil II, abgeschlossen [M002; COMPOSED_AROUND_LEARNED_BODY] || #7 dairody: fertige abgemessene Ansatzfraktion II → abgemessener Ansatzanteil II, fertiggestellt [M003; COMPOSED_R_SHARE] || #9 sairy: zweite Samenfraktion, abgeschlossen → Samenanteil II, abgeschlossen [M004; COMPOSED_R_SHARE]	#1 polairy: Pulveranteil II abschließen || #7 dairody: Anteil II abmessen und als Ansatz fertigstellen || #9 sairy: abgeschlossener Samenposten II	NONE
f105v	f105v.14	ACTION_SEQUENCE	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	1	9	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm den heißen Drogenanteil III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Anteil I des Ansatzes abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm den heißen Drogenanteil III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Anteil I des Ansatzes abmessen; erhitzter Drogenanteil I, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	#9 kard: erste erhitzte Drogenfraktion, abgezogen → erhitzter Drogenanteil I, abgezogen [M005; COMPOSED_R_SHARE]	#9 kard: abgezogener heißer Drogenauszug I	NONE
f10r	f10r.2	MIXED_RECORD	dchey cthoor char chty os chair otytchol oky daiin etyd	2	3|6	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; trockener Drogenanteil I; trocken-kalt am Gradanfang; Ansatzcharge; trockener Drogenanteil II; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	#3 char: Trockenfraktion I → trockener Drogenanteil I [M006; COMPOSED_R_SHARE] || #6 chair: zweite Trockenfraktion → trockener Drogenanteil II [M007; COMPOSED_R_SHARE]	#3 char: Anteil I des Trockenguts || #6 chair: Anteil II des Trockenguts	NONE
f113v	f113v.12	QUANTITY_LABEL	solchedy otsheody arl olchey oror	1	3	Bis zur Mittelstufe getrocknete Samenmasse; fertiges kalt angefeuchtetes Mazerat; erste Holzfraktion; Holzansatz, bis Mittelstufe getrocknet; zwei Portionen.	Bis zur Mittelstufe getrocknete Samenmasse; fertiges kalt angefeuchtetes Mazerat; Anteil I der Holzdroge; Holzansatz, bis Mittelstufe getrocknet; zwei Portionen.	#3 arl: erste Holzfraktion → Anteil I der Holzdroge [M008; LEARNED_WHOLE_WITH_SHARE_RENDERER]	#3 arl: Drogenanteil I; ein Pfund	NONE
f113v	f113v.17	MIXED_RECORD	saraiin shedy lcheey olkar okaiin cthororaiin yteeeor	1	1	Drei Teile der ersten Samenfraktion; mittlere Feuchtstufe erreicht; trocken gebundenes Holz, Form II; Anteil I des heißen Holzansatzes; heißer Ansatz, Grad III; drei Portionen Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	Drei Teile des Samenanteils I; mittlere Feuchtstufe erreicht; trocken gebundenes Holz, Form II; Anteil I des heißen Holzansatzes; heißer Ansatz, Grad III; drei Portionen Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	#1 saraiin: drei Teile der ersten Samenfraktion → drei Teile des Samenanteils I [M009; COMPOSED_R_SHARE]	#1 saraiin: drei Teile des ersten Samenpostens	NONE
f113v	f113v.3	QUANTITY_LABEL	sar aiin chotar okeeodar qokain olol olam	2	3|4	Samenanteil I; Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Auszugs; heiß, Grad II; Holz-Grundansatz; ein Maß Holz.	Samenanteil I; Menge III; Anteil I des abgekühlten Trockenansatzes; Anteil I des vollständig erhitzten Auszugs; heiß, Grad II; Holz-Grundansatz; ein Maß Holz.	#3 chotar: erste Fraktion des abgekühlten Trockenansatzes → Anteil I des abgekühlten Trockenansatzes [M010; COMPOSED_AROUND_LEARNED_BODY] || #4 okeeodar: erste abgemessene Fraktion des vollständig erhitzten Auszugs → Anteil I des vollständig erhitzten Auszugs [M011; COMPOSED_AROUND_LEARNED_BODY]	#3 chotar: abgekühlter Trockenextrakt I || #4 okeeodar: abgemessener Anteil I des vollständig erhitzten Ansatzes	NONE
f114r	f114r.26	MIXED_RECORD	ycheeodaiin olkaiir qokaiin chodaiin okar olkaiin okaiin cheody airoy olam	1	9	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; Anteil III des heißen Holzansatzes; heiß, Grad III; Trockenansatz, Dosis III; Anteil I des heißen Ansatzes; heiße Drogenbasis, Stufe III; heißer Ansatz, Grad III; getrocknete Masse; zweite Drogenfraktion als Grundansatz; ein Maß Holz.	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; Anteil III des heißen Holzansatzes; heiß, Grad III; Trockenansatz, Dosis III; Anteil I des heißen Ansatzes; heiße Drogenbasis, Stufe III; heißer Ansatz, Grad III; getrocknete Masse; Grundansatz aus Drogenanteil II; ein Maß Holz.	#9 airoy: zweite Drogenfraktion als Grundansatz → Grundansatz aus Drogenanteil II [M012; COMPOSED_R_SHARE]	#9 airoy: Drogenanteil II als Grundansatz	NONE
f115r	f115r.1	ACTION_SEQUENCE	fdar qopchol qochedain otedy cheop ol teeedy oroiir oechedy oteedy qotchedy	1	1	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; kalter Ansatz, Mittelstufe erreicht; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlte Zubereitung, fertig; eine Portion des Ansatzanteils III; fertige, bis zur Mittelstufe getrocknete Masse; kalter Ansatz am Ende des Grades; kalt-trockene Mittelstufe erreicht.	Blütenanteil I abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; kalter Ansatz, Mittelstufe erreicht; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlte Zubereitung, fertig; eine Portion des Ansatzanteils III; fertige, bis zur Mittelstufe getrocknete Masse; kalter Ansatz am Ende des Grades; kalt-trockene Mittelstufe erreicht.	#1 fdar: erste Blütenfraktion abmessen → Blütenanteil I abmessen [M013; COMPOSED_AROUND_LOCAL_HEAD]	#1 fdar: Blütenauszug I abmessen	NONE
f30r	f30r.9	ACTION_SEQUENCE	dchey qochar chol keeaiin chcthey chor cheky	1	2	Eine abgemessene Portion bis zur Mittelstufe trocknen; erste Trockenfraktion nehmen; trocken; vollständig erhitzt, Stufe III; Krautdroge bis zur mittleren Stufe trocknen; Pflanzenteil; bis zur mittleren Trockenstufe, dann leicht erhitzen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; trockenen Drogenanteil I nehmen; trocken; vollständig erhitzt, Stufe III; Krautdroge bis zur mittleren Stufe trocknen; Pflanzenteil; bis zur mittleren Trockenstufe, dann leicht erhitzen.	#2 qochar: erste Trockenfraktion nehmen → trockenen Drogenanteil I nehmen [M014; COMPOSED_ACTION_OVERRIDE]	#2 qochar: Anteil I des Trockenguts nehmen	NONE
