page	locus	token_ordinal	surface	rule_id	v66_gloss_de	v67_gloss_de	migration_class	visible_parse	share_index	preserved_heads	local_rival_de	primary_history	basis	exact_card_only	learned_whole_renderer
f105r	f105r.31	9	lkar	M001	heiße Holzfraktion I	Anteil I der erhitzten Holzdroge	COMPOSED_R_SHARE	L+K+AR	I	L=Holz;K=erhitzt	heißes Drogenholz	GDT648/GDT654/GDT690	GDT648 records the L/K/AR ladder and GDT654 has an actual l kar boundary witness; GDT690 binds initial L to Holz.	1	0
f105v	f105v.1	1	polairy	M002	zweite Pulverfraktion, abgeschlossen	Pulveranteil II, abgeschlossen	COMPOSED_AROUND_LEARNED_BODY	POL+AIR+Y	II	POL=Pulverstoff;Y=Abschluss	Pulveranteil II abschließen	GDT682/GDT690	GDT682 preserves POL as the learned powder-material body; only the selected AIR head changes.	1	0
f105v	f105v.1	7	dairody	M003	fertige abgemessene Ansatzfraktion II	abgemessener Ansatzanteil II, fertiggestellt	COMPOSED_R_SHARE	DAIR+O+DY	II	D=abmessen;O=Ansatz;DY=fertig	Anteil II abmessen und als Ansatz fertigstellen	GDT682	GDT682 explicitly parses DAIR+O+DY; GDT693 selects DAIR as measured share II.	1	0
f105v	f105v.1	9	sairy	M004	zweite Samenfraktion, abgeschlossen	Samenanteil II, abgeschlossen	COMPOSED_R_SHARE	S+AIR+Y	II	S=Samen;Y=Abschluss	abgeschlossener Samenposten II	GDT682/GDT690	GDT682 explicitly parses SAIR+Y and GDT693 selects SAIR as seed share II.	1	0
f105v	f105v.14	9	kard	M005	erste erhitzte Drogenfraktion, abgezogen	erhitzter Drogenanteil I, abgezogen	COMPOSED_R_SHARE	K+AR+D	I	K=heiß;D=abgezogen	abgezogener heißer Drogenauszug I	GDT680	The exact whole already preserves hot quality, AR-I and draw-off result; only the common R noun changes.	1	0
f10r	f10r.2	3	char	M006	Trockenfraktion I	trockener Drogenanteil I	COMPOSED_R_SHARE	CH+AR	I	CH=trocken;AR=Drogenanteil I	Anteil I des Trockenguts	GDT663	CHAR is the frequent dry-material plus AR-I cell; GDT693 supplies the common AR share head without exporting a free AR parse beyond this card.	1	0
f10r	f10r.2	6	chair	M007	zweite Trockenfraktion	trockener Drogenanteil II	COMPOSED_R_SHARE	CH+AIR	II	CH=trocken;AIR=Drogenanteil II	Anteil II des Trockenguts	GDT680	GDT680 reads CHAIR as the indexed dry sister of CHAR; retaining the dry quality while normalizing AIR gives share II.	1	0
f113v	f113v.12	3	arl	M008	erste Holzfraktion	Anteil I der Holzdroge	LEARNED_WHOLE_WITH_SHARE_RENDERER	[ARL]; AR+L unexported	I	whole ARL=Holzdrogenanteil	Drogenanteil I; ein Pfund	GDT666/GDT690	GDT666 leaves ARL as a context-scoped short whole and L can be wood or weight; GDT690 licenses the wood reading only in this local card.	1	1
f113v	f113v.17	1	saraiin	M009	drei Teile der ersten Samenfraktion	drei Teile des Samenanteils I	COMPOSED_R_SHARE	S+AR+AIIN	I	S=Samen;AIIN=drei Teile	drei Teile des ersten Samenpostens	GDT679/GDT690	GDT679 keeps the visible amount and GDT690 binds S to Samen; only AR's noun is normalized.	1	0
f113v	f113v.3	3	chotar	M010	erste Fraktion des abgekühlten Trockenansatzes	Anteil I des abgekühlten Trockenansatzes	COMPOSED_AROUND_LEARNED_BODY	CHOT+AR	I	CHOT=abgekühlter Trockenansatz	abgekühlter Trockenextrakt I	GDT678	GDT678 documents CHOT/CHOTAR as preparation versus its selected first share.	1	0
