dy_ordinal	cohort	event_id	source_event_id	statement_id	physical_page	register	card_ordinal_in_statement	statement_event_count	distance_to_statement_end	surface	recipe	dy_occurrence_in_recipe	dy_atom_position	recipe_atom_count	dy_recipe_terminal	closure_scope	statement_end_mode	explicit_action_roots	current_reading_de	successor_event_id	successor_surface	successor_recipe	successor_reading_de	successor_inherited_action_source_event_id	successor_inherited_argument_source_event_id	guard
1	OLD26_GDT407	G407-E0056	G404-E0056	G407-S002	f1r	SOURCE_SECTION_T	10	10	0	shody	SH+O+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	HALTEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
2	OLD26_GDT407	G407-E0068	G404-E0068	G407-S003	f1r	SOURCE_SECTION_T	12	12	0	shody	SH+O+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	HALTEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
3	OLD26_GDT407	G407-E0071	G404-E0071	G407-S004	f1r	SOURCE_SECTION_T	3	3	0	teody	T+E+O+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	T	EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
4	OLD26_GDT407	G407-E0133	G404-E0133	G407-S005	f1r	SOURCE_SECTION_T	62	88	26	dydyd	Y+DY+D_LABEL	1	2	3	NO	INTERNAL_LOCAL_STEP_CLOSURE	PROSE_BLOCK_OPEN_END	NONE	AKTIVER POSTEN · SCHLUSS · HIER	G407-E0134	cthy	CH+T+Y	NEHMEN · EINSTELLEN · AKTIVER POSTEN	NOT_AVAILABLE_OLD26	NOT_AVAILABLE_OLD26	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
5	OLD26_GDT407	G407-E0200	G404-E0200	G407-S006	f1r	SOURCE_SECTION_T	41	41	0	shody	SH+O+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	HALTEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
6	OLD26_GDT407	G407-E0253	P912-E0039	G407-S008	f10r	HERBAL	39	39	0	ody	O+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
7	OLD26_GDT407	G407-E0313	P912-E0099	G407-S010	f11r	HERBAL	7	7	0	tchody	T+CH+O+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	T|CH	EINSTELLEN · NEHMEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
8	OLD26_GDT407	G407-E0407	P912-E0193	G407-S012	f13r	HERBAL	42	42	0	cfholdy	CH+LOCAL_CHAR_F+OL+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CH	NEHMEN · HIER · FORTSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
9	OLD26_GDT407	G407-E0423	P912-E0209	G407-S013	f13r	HERBAL	16	16	0	oldy	OL+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	FORTSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
10	OLD26_GDT407	G407-E0433	P912-E0219	G407-S014	f13r	HERBAL	10	10	0	oldy	OL+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	FORTSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
