comparison_ordinal	cohort	marker	event_count	statement_count	statement_final_event_count	statement_final_percent	statement_internal_event_count	singleton_statement_event_count	recipe_terminal_event_count	recipe_terminal_percent	physical_page_count
1	OLD26_GDT407	DY	639	637	636	99.530516	3	195	634	99.217527	24
2	OLD26_GDT407	OL	677	318	85	12.555391	592	20	420	62.038405	24
3	OLD26_GDT407	OT	363	219	83	22.865014	280	30	2	0.550964	24
4	OLD26_GDT407	E	965	471	304	31.502591	661	90	9	0.932642	24
5	OLD26_GDT407	EE	486	300	157	32.304527	329	58	3	0.617284	19
6	OLD26_GDT407	EEE	28	25	7	25.000000	21	2	0	0.000000	13
7	OLD26_GDT407	O	683	216	68	9.956076	615	13	116	16.983895	24
8	OLD26_GDT407	DA	35	28	4	11.428571	31	0	0	0.000000	14
9	CURRENT4_GDT539	DY	66	66	66	100.000000	0	20	66	100.000000	4
10	CURRENT4_GDT539	OL	70	34	4	5.714286	66	0	57	81.428571	4
11	CURRENT4_GDT539	OT	41	27	8	19.512195	33	5	0	0.000000	4
12	CURRENT4_GDT539	E	141	59	42	29.787234	99	10	0	0.000000	4
13	CURRENT4_GDT539	EE	52	32	9	17.307692	43	4	2	3.846154	3
14	CURRENT4_GDT539	EEE	2	2	0	0.000000	2	0	0	0.000000	1
15	CURRENT4_GDT539	O	108	40	11	10.185185	97	3	16	14.814815	4
16	CURRENT4_GDT539	DA	7	6	0	0.000000	7	0	1	14.285714	3
17	COMBINED30	DY	705	703	702	99.574468	3	215	700	99.290780	28
18	COMBINED30	OL	747	352	89	11.914324	658	20	477	63.855422	28
19	COMBINED30	OT	404	246	91	22.524752	313	35	2	0.495050	28
20	COMBINED30	E	1106	530	346	31.283906	760	100	9	0.813743	28
21	COMBINED30	EE	538	332	166	30.855019	372	62	5	0.929368	22
22	COMBINED30	EEE	30	27	7	23.333333	23	2	0	0.000000	14
23	COMBINED30	O	791	256	79	9.987358	712	16	132	16.687737	28
24	COMBINED30	DA	42	34	4	9.523810	38	0	1	2.380952	17
