profile_ordinal	cohort	statement_id	physical_page	register	statement_event_count	dy_occurrence_count	internal_dy_count	final_step_dy_count	singleton_dy_count	dy_event_ids	statement_end_mode	scope_profile
1	OLD26_GDT407	G407-S008	f10r	HERBAL	39	1	0	1	0	G407-E0253	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
2	OLD26_GDT407	G407-S010	f11r	HERBAL	7	1	0	1	0	G407-E0313	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
3	OLD26_GDT407	G407-S012	f13r	HERBAL	42	1	0	1	0	G407-E0407	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
4	OLD26_GDT407	G407-S013	f13r	HERBAL	16	1	0	1	0	G407-E0423	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
5	OLD26_GDT407	G407-S014	f13r	HERBAL	10	1	0	1	0	G407-E0433	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
6	OLD26_GDT407	G407-S015	f13r	HERBAL	6	1	0	1	0	G407-E0439	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
7	OLD26_GDT407	G407-S017	f17r	HERBAL	1	1	0	0	1	G407-E0443	LICENSED_DY_CLOSE	SINGLETON_STATEMENT_CLOSURE
8	OLD26_GDT407	G407-S018	f17r	HERBAL	4	1	0	1	0	G407-E0447	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
9	OLD26_GDT407	G407-S019	f17r	HERBAL	4	1	0	1	0	G407-E0451	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
10	OLD26_GDT407	G407-S020	f17r	HERBAL	6	1	0	1	0	G407-E0457	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
11	OLD26_GDT407	G407-S021	f17r	HERBAL	26	1	0	1	0	G407-E0483	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
12	OLD26_GDT407	G407-S022	f17r	HERBAL	3	1	0	1	0	G407-E0486	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
13	OLD26_GDT407	G407-S023	f17r	HERBAL	11	1	0	1	0	G407-E0497	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
14	OLD26_GDT407	G407-S025	f18r	HERBAL	1	1	0	0	1	G407-E0521	LICENSED_DY_CLOSE	SINGLETON_STATEMENT_CLOSURE
15	OLD26_GDT407	G407-S027	f18r	HERBAL	19	1	0	1	0	G407-E0569	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
16	OLD26_GDT407	G407-S028	f18r	HERBAL	4	1	0	1	0	G407-E0573	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
17	OLD26_GDT407	G407-S002	f1r	SOURCE_SECTION_T	10	1	0	1	0	G407-E0056	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
18	OLD26_GDT407	G407-S003	f1r	SOURCE_SECTION_T	12	1	0	1	0	G407-E0068	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
19	OLD26_GDT407	G407-S004	f1r	SOURCE_SECTION_T	3	1	0	1	0	G407-E0071	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
20	OLD26_GDT407	G407-S005	f1r	SOURCE_SECTION_T	88	1	1	0	0	G407-E0133	PROSE_BLOCK_OPEN_END	INTERNAL_LOCAL_STEP_CLOSURE
21	OLD26_GDT407	G407-S006	f1r	SOURCE_SECTION_T	41	1	0	1	0	G407-E0200	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
22	CURRENT4_GDT539	G515-S006	f20v	HERBAL	9	1	0	1	0	G515-E0073	LICENSED_DY_CLOSE	STATEMENT_FINAL_STEP_CLOSURE
