recipe_profile_ordinal	recipe	dy_occurrence_count	surface_count	statement_count	physical_page_count	cohort_count	closure_scope_count	closure_scopes	scope_level_count	scope_levels	surfaces	event_ids	interpretation
1	SH+E+DY	119	2	119	11	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	dshedy|shedy	G407-E1431|G407-E1520|G407-E1560|G407-E1563|G407-E1579|G407-E1584|G407-E1658|G407-E1699|G407-E1702|G407-E1706|G407-E1713|G407-E1717|G407-E1719|G407-E1723|G407-E1746|G407-E1776|G407-E1778|G407-E1789|G407-E1829|G407-E1845|G407-E1852|G407-E1888|G407-E1901|G407-E1947|G407-E1973|G407-E1993|G407-E2005|G407-E2006|G407-E2010|G407-E2028|G407-E2032|G407-E2043|G407-E2101|G407-E2102|G407-E2104|G407-E2143|G407-E2159|G407-E2160|G407-E2162|G407-E2169|G407-E2181|G407-E2245|G407-E2266|G407-E2272|G407-E2313|G407-E2336|G407-E2353|G407-E2357|G407-E2389|G407-E2414|G407-E2416|G407-E2444|G407-E2448|G407-E2450|G407-E2461|G407-E2503|G407-E2537|G407-E2552|G407-E2597|G407-E2612|G407-E2628|G407-E2634|G407-E2736|G407-E2792|G407-E2822|G407-E2824|G407-E2839|G407-E2869|G407-E2881|G407-E2906|G407-E2914|G407-E2917|G407-E2997|G407-E3034|G407-E3049|G407-E3067|G407-E3079|G407-E3090|G407-E3097|G407-E3134|G407-E3216|G407-E3224|G407-E3227|G407-E3304|G407-E3314|G407-E3315|G407-E3332|G407-E3336|G407-E3404|G407-E3426|G407-E3460|G407-E3489|G407-E3497|G407-E3550|G407-E3570|G407-E3580|G407-E3614|G407-E3625|G407-E3628|G407-E3662|G407-E3673|G407-E3684|G407-E3695|G407-E3740|G407-E3768|G407-E4026|G407-E4409|G407-E4501|G407-E4507|G407-E4553|G515-E0204|G515-E0401|G515-E0434|G515-E0436|G515-E0447|G515-E0457|G515-E0458|G515-E0485|G515-E0523	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
2	OK+EE+DY	83	2	83	11	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	okeedy|qokeedy	G407-E0698|G407-E1151|G407-E1458|G407-E1475|G407-E1493|G407-E1513|G407-E1516|G407-E1640|G407-E1643|G407-E1674|G407-E1685|G407-E1751|G407-E1760|G407-E1763|G407-E1764|G407-E1767|G407-E1770|G407-E1771|G407-E1783|G407-E1791|G407-E1884|G407-E1949|G407-E1950|G407-E1956|G407-E1983|G407-E1994|G407-E2206|G407-E2278|G407-E2348|G407-E2383|G407-E2418|G407-E2429|G407-E2445|G407-E2447|G407-E2463|G407-E2472|G407-E2485|G407-E2488|G407-E2489|G407-E2496|G407-E2504|G407-E2525|G407-E2544|G407-E2553|G407-E2563|G407-E2564|G407-E2617|G407-E2661|G407-E2663|G407-E2664|G407-E2773|G407-E2806|G407-E2816|G407-E2825|G407-E2970|G407-E3015|G407-E3189|G407-E3209|G407-E3267|G407-E3285|G407-E3292|G407-E3294|G407-E3310|G407-E3327|G407-E3366|G407-E3387|G407-E3398|G407-E3401|G407-E3405|G407-E3415|G407-E3429|G407-E3508|G407-E3579|G407-E3652|G407-E3674|G407-E3688|G407-E3703|G407-E3704|G407-E3709|G515-E0160|G515-E0220|G515-E0247|G515-E0314	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
3	OK+E+DY	79	2	79	11	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	okedy|qokedy	G407-E1497|G407-E1536|G407-E1537|G407-E1538|G407-E1539|G407-E1709|G407-E1756|G407-E1759|G407-E1765|G407-E1766|G407-E1790|G407-E1804|G407-E1805|G407-E1817|G407-E1825|G407-E1827|G407-E1861|G407-E1870|G407-E1877|G407-E1889|G407-E2035|G407-E2140|G407-E2226|G407-E2286|G407-E2288|G407-E2347|G407-E2349|G407-E2436|G407-E2467|G407-E2505|G407-E2518|G407-E2715|G407-E2818|G407-E2827|G407-E2885|G407-E2907|G407-E2935|G407-E2950|G407-E3035|G407-E3053|G407-E3055|G407-E3091|G407-E3092|G407-E3108|G407-E3164|G407-E3235|G407-E3250|G407-E3284|G407-E3308|G407-E3330|G407-E3485|G407-E3518|G407-E3529|G407-E3554|G407-E3565|G407-E3566|G407-E3574|G407-E3634|G407-E3637|G407-E3641|G407-E3647|G407-E3663|G407-E3677|G407-E3694|G407-E4191|G407-E4474|G407-E4531|G515-E0189|G515-E0200|G515-E0205|G515-E0217|G515-E0218|G515-E0219|G515-E0234|G515-E0313|G515-E0316|G515-E0345|G515-E0405|G515-E0546	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
4	OT+E+DY	37	2	37	10	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	otedy|qotedy	G407-E1806|G407-E1820|G407-E1821|G407-E1822|G407-E1863|G407-E1864|G407-E2230|G407-E2287|G407-E2302|G407-E2406|G407-E2446|G407-E2500|G407-E2535|G407-E2554|G407-E2576|G407-E2577|G407-E2654|G407-E2662|G407-E2675|G407-E2772|G407-E2777|G407-E2793|G407-E2807|G407-E2866|G407-E3016|G407-E3150|G407-E3257|G407-E3268|G407-E3419|G407-E3522|G407-E3642|G407-E3657|G407-E3660|G407-E4404|G515-E0190|G515-E0240|G515-E0329	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
5	L+CHD+DY	35	1	35	8	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	lchedy	G407-E1512|G407-E1644|G407-E1972|G407-E2013|G407-E2024|G407-E2062|G407-E2069|G407-E2223|G407-E2242|G407-E2289|G407-E2455|G407-E2512|G407-E2523|G407-E2547|G407-E2626|G407-E2916|G407-E3127|G407-E3283|G407-E3293|G407-E3364|G407-E3382|G407-E3414|G407-E3416|G407-E3434|G407-E3479|G407-E3509|G407-E3557|G407-E3583|G407-E3596|G407-E3630|G407-E3713|G407-E3722|G407-E3738|G407-E3753|G515-E0566	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
6	OT+EE+DY	28	2	28	8	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	oteedy|qoteedy	G407-E1145|G407-E1311|G407-E1330|G407-E1784|G407-E1793|G407-E1926|G407-E2311|G407-E2362|G407-E2412|G407-E2419|G407-E2422|G407-E2442|G407-E2465|G407-E2466|G407-E2510|G407-E2543|G407-E2622|G407-E2674|G407-E2830|G407-E3213|G407-E3400|G407-E3468|G407-E3500|G407-E3519|G407-E3520|G407-E3632|G515-E0301|G515-E0503	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
7	OL+DY	18	4	18	10	1	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	doldy|oldy|qoldy|ytoldy	G407-E0423|G407-E0433|G407-E0569|G407-E0781|G407-E0908|G407-E1436|G407-E1748|G407-E1797|G407-E1801|G407-E1908|G407-E2955|G407-E3003|G407-E3110|G407-E3696|G407-E3701|G407-E3848|G407-E4303|G407-E4305	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
8	SH+EE+DY	18	1	18	10	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	sheedy	G407-E1352|G407-E1565|G407-E1582|G407-E1673|G407-E2034|G407-E2049|G407-E2431|G407-E2608|G407-E2641|G407-E2788|G407-E2828|G407-E2897|G407-E2998|G407-E3234|G407-E3379|G407-E3556|G407-E4043|G515-E0583	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
9	OL+CHD+DY	13	3	13	6	1	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	olchdy|olchedy|qolchedy	G407-E1501|G407-E2008|G407-E2076|G407-E2219|G407-E2371|G407-E2373|G407-E2599|G407-E3080|G407-E3186|G407-E3266|G407-E3281|G407-E3505|G407-E3750	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
10	P+CHD+DY	11	1	11	7	2	2	SINGLETON_STATEMENT_CLOSURE|STATEMENT_FINAL_STEP_CLOSURE	1	STATEMENT_LEVEL	pchedy	G407-E1477|G407-E1534|G407-E1666|G407-E2147|G407-E2327|G407-E2613|G407-E2765|G407-E2876|G407-E2931|G407-E3395|G515-E0575	SCOPE_FROM_POSITION__DY_VALUE_UNCHANGED
