surface	previous_working_recipe	gdt529_top1	supported_candidate_recipe	supported_candidate_roles	route_class	old_superform	old_superform_recipe	removed_visible	visible_index	visible_position	removed_atom	atom_index	atom_position	support_pair_count	visible_condition_total	visible_condition_option_count	conditional_probability	reliability	signature_examples	route_strength	old_event_count	old_pages	old_registers	old_event_ids	old_loci
chekchy	CH+K+CH+Y	CH+K+Y	CH+K+Y	TOP1	SUPPORTS_TOP1_ALTERNATIVE	ychekchy	Y+CH+K+Y	y	0	LEFT	Y	0	LEFT	54	59	5	0.886178862	0.964285714	kal>ykal | kaiin>ykaiin | shey>yshey | dain>ydain | tain>ytain | cheey>ycheey | cheor>ycheor | tchy>ytchy	STRONG_OLD_EDIT_SIGNATURE	1	f17r	HERBAL	P1003-E0036	f17r.5
cheod	CH+E+O+D_ADDR	CH+E+O+D_ADDR	CH+E+O+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	ctheod	CH+T+E+O+D_ADDR	t	1	INNER	T	1	INNER	23	33	7	0.643835616	0.920000000	chaiin>chtaiin | ches>cthes | chaiin>cthaiin | chal>cthal | chor>chtor | chor>cthor | ychy>ytchy | yody>ytody	STRONG_OLD_EDIT_SIGNATURE	1	f24v	HERBAL	G404-E0269	f24v.10
da	DA	DA	DA	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	dag	DA+LOCAL_CHAR_G	g	2	RIGHT	LOCAL_CHAR_G	1	RIGHT	3	5	2	0.583333333	0.600000000	cho>chog | chee>cheeg | che>cheg	STRONG_OLD_EDIT_SIGNATURE	1	f77r	BIOLOGICAL	P1003-E0396	f77r.46
da	DA	DA	DA	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	dam	DA+AM_ADDR	m	2	RIGHT	AM_ADDR	1	RIGHT	6	8	2	0.722222222	0.750000000	okcho>okchom | o>om | sheo>sheom | okeo>okeom | cheo>cheom | qokeo>qokeom	STRONG_OLD_EDIT_SIGNATURE	5	f82r|f88v|f89r	BIOLOGICAL|PHARMA	P912-E1240|P1003-E0512|P1008-E1070|P1008-E1123|P1008-E1150	f82r.16|f88v.21|f89r1.8|f89r1.17|f89r1.21
da	DA	DA	DA	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	das	DA+S	s	2	RIGHT	S	1	RIGHT	20	23	2	0.854166667	0.909090909	sho>shos | ol>ols | cthol>cthols | ydal>ydals | cheo>cheos | cheol>cheols | oto>otos | okeeol>okeeols	STRONG_OLD_EDIT_SIGNATURE	1	f17r	HERBAL	P1003-E0063	f17r.9
dard	D_ADDR+AR+D_ADDR	D_ADDR+AR+D_ADDR	D_ADDR+AR+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	darod	D_ADDR+AR+O+D_ADDR	o	3	INNER	O	2	INNER	46	61	10	0.704545455	0.958333333	cphy>cphoy | cfhaiin>cfhoaiin | chcthy>chocthy | tedy>teody | kshy>kshoy | shaiin>shoaiin | kshey>koshey | cthor>cthoor	STRONG_OLD_EDIT_SIGNATURE	1	f18r	HERBAL	P1008-E0002	f18r.1
dcheey	D_ADDR+CH+EE+Y	D_ADDR+CH+EE+Y	D_ADDR+CH+EE+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	d	5	INNER	D_ADDR	3	INNER	29	56	5	0.504273504	0.935483871	oaiin>odaiin | koshey>kodshey | kchy>kdchy | qoor>qodor | qochy>qodchy | yar>ydar | qoar>qodar | qocthy>qodcthy	STRONG_OLD_EDIT_SIGNATURE	1	f76r	BIOLOGICAL	P1008-E0640	f76r.19
ld	L+D_ADDR	L+D_ADDR	L+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	lod	L+O+D_ADDR	o	1	INNER	O	1	INNER	46	61	10	0.704545455	0.958333333	cphy>cphoy | cfhaiin>cfhoaiin | chcthy>chocthy | tedy>teody | kshy>kshoy | shaiin>shoaiin | kshey>koshey | cthor>cthoor	STRONG_OLD_EDIT_SIGNATURE	1	f77r	BIOLOGICAL	P1003-E0391	f77r.45
lsheody	L+SH+E+O+D_ADDR+Y	L+SH+E+O+D_ADDR+Y	L+SH+E+O+D_ADDR+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	olsheody	O+L+SH+E+O+D_ADDR+Y	o	0	LEFT	O	0	LEFT	31	37	5	0.797468354	0.939393939	dar>odar | ydar>oydar | iin>oiin | chol>ochol | ykchor>oykchor | qotor>oqotor | sain>osain | pchor>opchor	STRONG_OLD_EDIT_SIGNATURE	1	f88r	PHARMA	P912-E2448	f88r.21
okoy	OK+O+Y	OK+O+Y	OK+O+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	okeoy	OK+E+O+Y	e	2	INNER	E	1	INNER	78	117	14	0.633064516	0.975000000	shky>sheky | cphy>cphey | otol>oteol | ckhy>ckhey | cthy>cthey | shckhy>shckhey | sho>sheo | shar>shear	STRONG_OLD_EDIT_SIGNATURE	1	f89r	PHARMA	P1008-E1381	f89r2.27
