surface	recipe	tail_category	event_count	pages	registers	event_ids
chedchy	CHD+Y	TAIL_Y_WITHOUT_CH	1	f83r	BIOLOGICAL	P912-E1452
chetchy	CH+E+T+CH+Y	TAIL_CH_PLUS_Y	1	f88r	PHARMA	P912-E2504
chokchy	OK+CH+Y	TAIL_CH_PLUS_Y	2	f18r|f56r	HERBAL	P1008-E0067|P912-E0434
chorchy	CH+OR+CH+Y	TAIL_CH_PLUS_Y	2	f10r|f56r	HERBAL	P912-E0004|P912-E0343
chpchy	CH+P+CH+Y	TAIL_CH_PLUS_Y	1	f71v	CELESTIAL	P1003-E0581
chy	Y	TAIL_Y_WITHOUT_CH	21	f10r|f11r|f17r|f1r|f56r|f72r|f75r|f76r|f77r|f81v|f88r|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	G404-E0061|G404-E0149|P912-E0050|P912-E0074|P912-E0121|P1003-E0022|P912-E0341|P912-E0344|P912-E0364|P1008-E0223|P1008-E0406|P912-E0497|P912-E0583|P1008-E0768|P1003-E0211|P912-E1004|P912-E1038|P912-E2439|P1008-E1110|P1008-E1203|G404-E0630
chykchy	Y+K+CH+Y	TAIL_CH_PLUS_Y	1	f18r	HERBAL	P1008-E0012
dchchy	D_ADDR+CH+Y	TAIL_CH_PLUS_Y	1	f17r	HERBAL	P1003-E0056
dchy	D_ADDR+Y	TAIL_Y_WITHOUT_CH	2	f10r|f13r	HERBAL	P912-E0053|P912-E0203
dolkchy	D_ADDR+OL+K+Y	TAIL_Y_WITHOUT_CH	1	f95v	HERBAL	G404-E0681
dpchy	D_ADDR+P+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0190
dypchy	D_ADDR+Y+P+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0159
kchy	K+Y	TAIL_Y_WITHOUT_CH	4	f11r|f13r|f1r	HERBAL|SOURCE_SECTION_T	G404-E0122|P912-E0122|P912-E0181|P912-E0227
kdchy	K+D_ADDR+Y	TAIL_Y_WITHOUT_CH	1	f1r	SOURCE_SECTION_T	G404-E0197
keeokechy	K+EE+O+K+E+CH+Y	TAIL_CH_PLUS_Y	1	f89r	PHARMA	P1008-E1374
korchy	K+OR+CH+Y	TAIL_CH_PLUS_Y	1	f56r	HERBAL	P912-E0348
lchy	L+CH+Y	TAIL_CH_PLUS_Y	2	f76r|f82r	BIOLOGICAL	P1008-E0859|P912-E1265
okaipchy	OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y	TAIL_CH_PLUS_Y	1	f72r	CELESTIAL	P1008-E0434
