model	edition	source_group_id	locus	raw	gloss	role	left_raw	right_raw	left_separator	right_separator	full_line	full_model_line	assessment
R	ZL3b	ZL3b|f77r.12|G005	f77r.12	chedy	dort	LOCATION_ANAPHOR	chedaiin	shedaiin	DEFINITE_SPACE	DEFINITE_SPACE	solteedy qoteedy qodeedy chedaiin chedy shedaiin she[a:o]lol ched	⟦solteedy⟧ warm ⟦qodeedy⟧ ⟦chedaiin⟧ dort ⟦shedaiin⟧ ⟦she[a:o]lol⟧ ⟦ched⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.13|G006	f77r.13	chedy	dort	LOCATION_ANAPHOR	tedy	lsheedy	DEFINITE_SPACE	DEFINITE_SPACE	qokeedy qol / sheedy shol tedy chedy lsheedy qokedy qolal chedy	fließt ⟦qol⟧ / ⟦sheedy⟧ ⟦shol⟧ ⟦tedy⟧ dort ⟦lsheedy⟧ ⟦qokedy⟧ ⟦qolal⟧ dort	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.13|G010	f77r.13	chedy	dort	LOCATION_ANAPHOR	qolal		DEFINITE_SPACE	LINE_END	qokeedy qol / sheedy shol tedy chedy lsheedy qokedy qolal chedy	fließt ⟦qol⟧ / ⟦sheedy⟧ ⟦shol⟧ ⟦tedy⟧ dort ⟦lsheedy⟧ ⟦qokedy⟧ ⟦qolal⟧ dort	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.16|G003	f77r.16	chedy	dort	LOCATION_ANAPHOR	qotaiin	qokaiin	DEFINITE_SPACE	DEFINITE_SPACE	sshedy qotaiin chedy qokaiin shedy qolcheedy qokeedy lol	⟦sshedy⟧ ⟦qotaiin⟧ dort aus dem Rohr Flüssigkeit ⟦qolcheedy⟧ fließt ⟦lol⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.21|G006	f77r.21	chedy	dort	LOCATION_ANAPHOR	qokeey	shear	DEFINITE_SPACE	DEFINITE_SPACE	chedaiin shedy qokeedy qokedy qokeey chedy shear olaiiny	⟦chedaiin⟧ Flüssigkeit fließt ⟦qokedy⟧ ⟦qokeey⟧ dort ⟦shear⟧ ⟦olaiiny⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.23|G003	f77r.23	chedy	dort	LOCATION_ANAPHOR	qokaiin	lchedy	DEFINITE_SPACE	DEFINITE_SPACE	sheoky qokaiin chedy lchedy olshedy qokeedy chedy qok[a:o]l	⟦sheoky⟧ aus dem Rohr dort ⟦lchedy⟧ ⟦olshedy⟧ fließt dort ⟦qok[a:o]l⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.23|G007	f77r.23	chedy	dort	LOCATION_ANAPHOR	qokeedy	qok[a:o]l	DEFINITE_SPACE	DEFINITE_SPACE	sheoky qokaiin chedy lchedy olshedy qokeedy chedy qok[a:o]l	⟦sheoky⟧ aus dem Rohr dort ⟦lchedy⟧ ⟦olshedy⟧ fließt dort ⟦qok[a:o]l⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.25|G004	f77r.25	qokal	im Becken	LOCATION	shedy	shedar	DEFINITE_SPACE	DEFINITE_SPACE	otedy qokar / shedy qokal shedar dal / chedy daror	Mündung ⟦qokar⟧ / Flüssigkeit im Becken sammelt sich und / dort bleibt	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.25|G005	f77r.25	shedar	sammelt sich	ACCUMULATION	qokal	dal	DEFINITE_SPACE	DEFINITE_SPACE	otedy qokar / shedy qokal shedar dal / chedy daror	Mündung ⟦qokar⟧ / Flüssigkeit im Becken sammelt sich und / dort bleibt	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.25|G006	f77r.25	dal	und	COORDINATION	shedar	chedy	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE	otedy qokar / shedy qokal shedar dal / chedy daror	Mündung ⟦qokar⟧ / Flüssigkeit im Becken sammelt sich und / dort bleibt	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.25|G007	f77r.25	chedy	dort	LOCATION_ANAPHOR	dal	daror	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	otedy qokar / shedy qokal shedar dal / chedy daror	Mündung ⟦qokar⟧ / Flüssigkeit im Becken sammelt sich und / dort bleibt	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.25|G008	f77r.25	daror	bleibt	REMAIN	chedy		DEFINITE_SPACE	LINE_END	otedy qokar / shedy qokal shedar dal / chedy daror	Mündung ⟦qokar⟧ / Flüssigkeit im Becken sammelt sich und / dort bleibt	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.33|G002	f77r.33	chedy	dort	LOCATION_ANAPHOR	daiin	qol	DEFINITE_SPACE	DEFINITE_SPACE	daiin chedy qol / keedy qoteeedy sar oiiiin cheety dy	⟦daiin⟧ dort ⟦qol⟧ / ⟦keedy⟧ ⟦qoteeedy⟧ ⟦sar⟧ ⟦oiiiin⟧ ⟦cheety⟧ ⟦dy⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.34|G003	f77r.34	chedy	dort	LOCATION_ANAPHOR	shedy	qolchedy	DEFINITE_SPACE	DEFINITE_SPACE	qokaiin shedy chedy qolchedy qokaiin qokaiin checkhy raiin	aus dem Rohr Flüssigkeit dort ⟦qolchedy⟧ aus dem Rohr aus dem Rohr ⟦checkhy⟧ ⟦raiin⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.35|G003	f77r.35	chedy	dort	LOCATION_ANAPHOR	okaiin	qokain	DEFINITE_SPACE	DEFINITE_SPACE	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy	⟦solkeey⟧ Rohr dort ist ⟦sheedy⟧ aus dem Rohr ⟦chedaiin⟧ ⟦chealy⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.36|G004	f77r.36	chedy	dort	LOCATION_ANAPHOR	qotain	d[o:a]lchl	DEFINITE_SPACE	DEFINITE_SPACE	dshedy pchedy qotain chedy d[o:a]lchl qokeedy qokol / olchey	⟦dshedy⟧ ⟦pchedy⟧ ⟦qotain⟧ dort ⟦d[o:a]lchl⟧ fließt ⟦qokol⟧ / ⟦olchey⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.45|G004	f77r.45	dal	und	COORDINATION	lchear	chr	DEFINITE_SPACE	DEFINITE_SPACE	qokaiin ches lchear dal chr sl / s / ain ol raiin lod	aus dem Rohr ⟦ches⟧ ⟦lchear⟧ und ⟦chr⟧ ⟦sl⟧ / ⟦s⟧ / ⟦ain⟧ ⟦ol⟧ ⟦raiin⟧ ⟦lod⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	ZL3b	ZL3b|f77r.47|G002	f77r.47	dal	und	COORDINATION	ysheey	saiis[o:a]l	DEFINITE_SPACE	DEFINITE_SPACE	ysheey dal saiis[o:a]l sal dalo tain dary dalo	⟦ysheey⟧ und ⟦saiis[o:a]l⟧ ⟦sal⟧ ⟦dalo⟧ ⟦tain⟧ ⟦dary⟧ ⟦dalo⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	IT2a	IT2a|f77r.12|G005	f77r.12	chedy	dort	LOCATION_ANAPHOR	shedaiin	shedaiin	DEFINITE_SPACE	DEFINITE_SPACE	solteedy qoteedy qodeedy shedaiin chedy shedaiin sheol ol ched	⟦solteedy⟧ warm ⟦qodeedy⟧ ⟦shedaiin⟧ dort ⟦shedaiin⟧ ⟦sheol⟧ ⟦ol⟧ ⟦ched⟧	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
R	IT2a	IT2a|f77r.13|G005	f77r.13	chedy	dort	LOCATION_ANAPHOR	tedy	lsheedy	DEFINITE_SPACE	DEFINITE_SPACE	qokeedy qolsheedy shol tedy chedy lsheedy qokedy qolal chedy	fließt ⟦qolsheedy⟧ ⟦shol⟧ ⟦tedy⟧ dort ⟦lsheedy⟧ ⟦qokedy⟧ ⟦qolal⟧ dort	EXPOSED_HYPOTHESIS_NOT_CONFIRMED
