surface	opaque_head_class	eva_transcription_label	body_surface	inherited_gdt734_candidate_de	repaired_structural_candidate_de	old_literal_head_noun_detected	decision	eva_initial_semantic_credit	component_export_credit
laiin	H4	l	aiin	Holzdroge, Charge III	H4-Ganzform im Feld „Ordinalstufe III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lair	H4	l	air	Holzfraktion II	H4-Ganzform im Feld „Teil- oder Fraktionsstufe II“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lal	H4	l	al	Holzrohstoff I	H4-Ganzform im Feld „Rohstoff- oder Materialstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lam	H4	l	am	ein Maß Holzdroge	H4-Ganzform im Feld „Eintragsabschluss I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lar	H4	l	ar	Holzfraktion I	H4-Ganzform im Feld „Teil- oder Fraktionsstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lchdy	H4	l	chdy	getrocknete Holzdroge, Kompaktform	H4-Ganzform im Feld „getrocknetes Ergebnis, Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lchedy	H4	l	chedy	getrocknetes Drogenholz	H4-Ganzform im Feld „getrocknetes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lcheey	H4	l	cheey	trocken gebundenes Holz, Form II	H4-Ganzform im Feld „trockene Form II“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lcheo	H4	l	cheo	trockene Holzzubereitung	H4-Ganzform im Feld „trockener Ansatz oder Zubereitung“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lchey	H4	l	chey	Drogenholz, trocken gebunden, Form I	H4-Ganzform im Feld „trockene Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lchol	H4	l	chol	trockenes Holzmaterial	H4-Ganzform im Feld „Trockenmaterial“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lchy	H4	l	chy	Drogenholz, trockene Grundform	H4-Ganzform im Feld „trockene Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
loaiin	H4	l	oaiin	Drogenholzzubereitung, Charge III	H4-Ganzform im Feld „Zubereitung: Index III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lodaiin	H4	l	odaiin	drei Portionen Drogenholzzubereitung	H4-Ganzform im Feld „Zubereitung: Dosis oder Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lody	H4	l	ody	Drogenholz, fertig aufbereitet	H4-Ganzform im Feld „fertig aufbereitete Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
loiin	H4	l	oiin	Drogenholzzubereitung, Form III	H4-Ganzform im Feld „Zubereitungsform III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
