hypothesis_id	surface	hypothesis_role	working_realization_de	rank_within_candidate	evidence	positive_signature	negative_signature	decision	specific_medium_identity_selected	confirmed_lexeme	component_export_credit
H03	ckhy	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN	Zubereitung/Kompositum, Anfangsstufe	1	D1 dry=1, moist=2; outer dry=1, moist=0; R2 dry=1, moist=3	bestehende Ganzwortkarte und nominale Wiederkehr in einer Stufenfamilie	stabile Aktions- oder Flüssigkeitsrolle	SELECT_WORKING_WHOLE_ROLE	0	0	0
H04	ckhy	OPEN_RELAY_OR_OTHER	offenes Ganzwort mit Radius-zwei-Feuchtrelay	2	D1 dry=1, moist=2; outer dry=1, moist=0; R2 dry=1, moist=3	direkte Transfergates fehlen, mehrere Radius-zwei-Hinweise	starke gerichtete Direktkonstruktion	SELECT_RELATIONAL_DISPOSITION	0	0	0
H01	ckhy	AQUEOUS_OR_WINE_MEDIUM	Wasser- oder Weinmedium	3	D1 dry=1, moist=2; outer dry=1, moist=0; R2 dry=1, moist=3	direkte Feuchtkontakte in Präparations- und Materialrollen ohne Trockenkontakt	ein direkter Trockenkontakt oder nur Discovery-Treffer	REJECT_SPECIFIC_MEDIUM	0	0	0
H02	ckhy	OIL_OR_OLEAGINOUS_BASE	Öl oder ölige Grundlage	4	D1 dry=1, moist=2; outer dry=1, moist=0; R2 dry=1, moist=3	unabhängige Flüssigkeits-, Produkt-, Abzieh- oder Kühlsignatur	nur Zustandsnähe ohne Stoffsignal	UNSUPPORTED_SPECIFIC_MEDIUM	0	0	0
H12	ol	GENERAL_PREPARATION_OR_CARRIER	Ansatz-/Trägerfeld	1	D1 dry=58, moist=34; outer dry=54, moist=32; R2 dry=37, moist=25; 16 Mengenexpressionsstellen/17 Kanten auf 13 Seiten, 8 gerichtete Phrasenlizenzen	weite Wiederkehr über mindestens drei Rollenstrata und beide Polaritäten	eng gerichtete spezifische Konstruktion	SELECT_GENERAL_ROLE	0	0	0
H13	ol	MATERIAL_OR_PROPERTY_HEAD	Stoff- oder Eigenschaftsträger	2	D1 dry=58, moist=34; outer dry=54, moist=32; R2 dry=37, moist=25	parallele Trocken-/Feucht-Zustandszellen und Materialkontakte	selektive konkrete Flüssigkeitsrolle	LIVE_RIVAL	0	0	0
H11	ol	OIL_OR_OLEAGINOUS_BASE	Öl oder ölige Grundlage	3	D1 dry=58, moist=34; outer dry=54, moist=32; R2 dry=37, moist=25	unabhängige Flüssigkeits-, Produkt-, Abzieh- oder Kühlsignatur	bloße EVA-Ähnlichkeit oder breite polaritätsneutrale Trägerrolle	LIVE_C0_WHOLE_RIVAL_UNSELECTED	0	0	0
H14	ol	OPAQUE_OR_OTHER	opakes Ganzwort	4	D1 dry=58, moist=34; outer dry=54, moist=32; R2 dry=37, moist=25	keine stabile relationale Rolle	breite wiederholte Trägerkontakte	WEAK_RIVAL	0	0	0
H10	ol	AQUEOUS_OR_WINE_MEDIUM	Wasser- oder Weinmedium	5	D1 dry=58, moist=34; outer dry=54, moist=32; R2 dry=37, moist=25	klare relative Feuchtselektion und wiederholte Quellen-/Gefäßsignatur	nahezu symmetrische Trocken-/Feuchtkontakte	REJECT_SPECIFIC_MEDIUM	0	0	0
H08	pcheey	RECORD_FORM_FIELD	mediales Form-II- oder Listenfeld	1	D1 dry=0, moist=3; outer dry=0, moist=1; R2 dry=0, moist=0; 3/3 direkt nach sho|sheo, sämtliche anderen reader-exakten H1-Fälle 0/196; alle drei Zeilen enthalten mehrere H1-Recordformen	Auftreten neben verwandten Ganzformen und bestehende Record-Rollenanalyse	stabile Stoffquellenrelation in unabhängigen Konstruktionen	SELECT_PORTABLE_WHOLE_AND_CONSTRUCTION_ROLE	0	0	0
H06	pcheey	DRY_SOURCE_OR_COMPLEMENT	Trockengut, Form II als Quelle/Zutat einer Feuchtzubereitung	2	D1 dry=0, moist=3; outer dry=0, moist=1; R2 dry=0, moist=0; 3/3 direkt nach sho|sheo, sämtliche anderen reader-exakten H1-Fälle 0/196; alle drei Zeilen enthalten mehrere H1-Recordformen	alle Vorkommen unmittelbar rechts von sho oder sheo auf mehreren Seiten und formnahe Kontrollen ohne dieses Muster	gleich starke Trockenpräparations- oder umgekehrte Feuchtkontakte	LIVE_C1_EXACT_SPAN_SEMANTIC	0	0	0
H07	pcheey	POST_MOIST_RESULT	Trockenmasse oder Rückstand II nach Feuchtzubereitung	3	D1 dry=0, moist=3; outer dry=0, moist=1; R2 dry=0, moist=0; 3/3 direkt nach sho|sheo, sämtliche anderen reader-exakten H1-Fälle 0/196; alle drei Zeilen enthalten mehrere H1-Recordformen	gerichtete Folge nach Feuchtpräparation plus unabhängiges Ergebnis-/Abschlusssignal	kein geschriebenes Übergangs-, Trenn- oder Abschlusssignal	LIVE_CREATIVE_RIVAL	0	0	0
