ol_amount_contact_id	expression_id	page	physical_folio	locus	section	language	hand	expression_line_position	amount_mode	amount_expression_eva	amount_candidate_de	amount_rivals_de	amount_working_confidence	ol_sides_relative_to_amount	ol_directed_edges	position_expected_side	position_expected_side_present	opposite_neighbor_surface	opposite_neighbor_semantic_candidate_de	working_phrase_de	extended_working_phrase_de	ol_identity_rivals_de	decision	conditional_phrase_license	written_line_eva	specific_medium_selected	confirmed_plaintext	component_export_credit
G762-A01	G760-E0075	f112r	f112	f112r.36	S	B	3	FIRST	FUSED	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	R	1	R	1	LINE_EDGE	NONE	Ansatzstoff: zwei Drachmen	Ansatzstoff: zwei Drachmen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	1	sain ol checkhy olchain okeey olam	0	0	0
G762-A02	G760-E0070	f112r	f112	f112r.9	S	B	3	FIRST	FUSED	saiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	R	1	R	1	LINE_EDGE	NONE	Ansatzstoff: drei Drachmen	Ansatzstoff: drei Drachmen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	1	saiin ol okeey qokeey y chedy teedy qokchy qokar y	0	0	0
G762-A03	G760-E0155	f48v	f48	f48v.6	H	B	5	MIDDLE	SEPARATED	or ain	zwei Portionen	Dosis/Dosen || Teil/Teile	C1_BOUNDARY_SUPPORTED	L	1	L	1	otal	Rohstoffklasse I im Ansatz, kalt am Gradanfang	Ansatzstoff: zwei Portionen	Ansatzstoff: zwei Portionen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	1	shdy qokain okar otar or otees ol or ain otal ok y tar chedy am	0	0	0
G762-A04	G760-E0161	f55v	f55	f55v.10	H	B	2	MIDDLE	SEPARATED	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	L	1	L	1	okaiin	heiß, Grad III, im Ansatzrahmen	Ansatzstoff: drei Drachmen	Ansatzstoff: drei Drachmen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	1	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	0	0	0
G762-A05	G760-E0191	f76v	f76	f76v.39	B	B	2	MIDDLE	FUSED	san	eine Drachme	ein gleicher Teil || eine Unze	C0_BOUNDARY_FAMILY_EXPLORATORY	R	1	L	0	okedy	heißer Ansatz in der Mitte des Grades, abgeschlossen	Ansatzstoff: eine Drachme	Ansatzstoff: eine Drachme	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	0	sshey lshedy qokaiin shedy okedy san ol keedy sor qoky dedy	0	0	0
G762-A06	G760-E0201	f78r	f78	f78r.37	B	B	2	MIDDLE	SEPARATED	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	L	1	L	1	shee	vollständig anfeuchten	Ansatzstoff: drei Drachmen	Ansatzstoff: drei Drachmen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	1	osal ol s aiin shee aiin oly	0	0	0
G762-A07	G760-E0204	f78v	f78	f78v.29	B	B	2	MIDDLE	SEPARATED	s aiiin	vier Drachmen	vier gleiche Teile || vier Unzen	C0_SINGLETON_PAIR	R	1	L	0	al	Rohstoffklasse I	Ansatzstoff: vier Drachmen	Ansatzstoff: vier Drachmen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	0	lchedy otchey qol chedy lr al s aiiin ol shedy ary	0	0	0
G762-A08	G760-E0207	f79r	f79	f79r.13	B	B	2	MIDDLE	SEPARATED	or aiin	drei Portionen	Dosis/Dosen || Teil/Teile	C2_RECURRENT_BOUNDARY_SUPPORTED	R	1	L	0	qotar	kalte Drogenfraktion I	Ansatzstoff: drei Portionen	Ansatzstoff: drei Portionen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	0	pshorol shckhy qotshdy qokaldy opchedy qotar or aiin ol	0	0	0
G762-A09	G760-E0212	f79v	f79	f79v.25	B	B	2	MIDDLE	FUSED	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	R	1	L	0	otshey	kalt-feuchter Ansatz in der Mitte des Grades	Ansatzstoff: zwei Drachmen	Ansatzstoff: zwei Drachmen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	0	qokeey ol olshdy qotain oteedy olkain otshey sain ol	0	0	0
G762-A10	G760-E0217	f81r	f81	f81r.15	B	B	2	FIRST	FUSED	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	R	1	R	1	LINE_EDGE	NONE	Ansatzstoff: zwei Drachmen	Ansatzstoff: zwei Drachmen	Grundansatz|Stoff/Basis|Öl oder ölige Grundlage	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	1	sain ol cheedy qokeedy otedy	0	0	0
