audit_kind	surface_or_span	reader_exact_occurrences	reader_exact_pages	loci	body_relation	polarity_or_shell	interpretation	component_export_credit
SPACED_EXACT_BIGRAM	sho pcheey	1	1	f8r.9	PCHEEY_EXACT_BODY	MOIST	OBSERVED_DIRECT_CONSTRUCTION	0
SPACED_EXACT_BIGRAM	sheo pcheey	2	2	f10v.1|f105r.24	PCHEEY_EXACT_BODY	MOIST	OBSERVED_DIRECT_CONSTRUCTION	0
SPACED_EXACT_BIGRAM	cho pcheey	0	0	NONE	PCHEEY_EXACT_BODY	DRY	UNOBSERVED_POLARITY_CONTROL	0
SPACED_EXACT_BIGRAM	cheo pcheey	0	0	NONE	PCHEEY_EXACT_BODY	DRY	UNOBSERVED_POLARITY_CONTROL	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	shopcheey	0	0	NONE	CHEEY_OR_CHEY_NEIGHBORHOOD	MOIST_EXACT_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	sheopcheey	0	0	NONE	CHEEY_OR_CHEY_NEIGHBORHOOD	MOIST_EXACT_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	chopcheey	0	0	NONE	CHEEY_OR_CHEY_NEIGHBORHOOD	DRY_EXACT_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	cheopcheey	0	0	NONE	CHEEY_OR_CHEY_NEIGHBORHOOD	DRY_EXACT_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	shopchey	1	1	MULTIPLE_OR_SEE_CACHE	CHEEY_OR_CHEY_NEIGHBORHOOD	MOIST_NEAR_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	sheopchey	0	0	NONE	CHEEY_OR_CHEY_NEIGHBORHOOD	MOIST_NEAR_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	chopchey	1	1	MULTIPLE_OR_SEE_CACHE	CHEEY_OR_CHEY_NEIGHBORHOOD	DRY_NEAR_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	cheopchey	0	0	NONE	CHEEY_OR_CHEY_NEIGHBORHOOD	DRY_NEAR_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	opcheey	4	3	MULTIPLE_OR_SEE_CACHE	CHEEY_OR_CHEY_NEIGHBORHOOD	O_SHELL_EXACT_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	qopcheey	4	3	MULTIPLE_OR_SEE_CACHE	CHEEY_OR_CHEY_NEIGHBORHOOD	QO_SHELL_EXACT_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	pchedy	25	21	MULTIPLE_OR_SEE_CACHE	CHEEY_OR_CHEY_NEIGHBORHOOD	H1_DRY_NEAR_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
FUSED_WHOLE_OR_FORM_NEAR_CONTROL	tcheey	6	6	MULTIPLE_OR_SEE_CACHE	CHEEY_OR_CHEY_NEIGHBORHOOD	T_DRY_NEAR_BODY	BOUNDARY_SHELL_RIVAL_NOT_COMPONENT_LICENSE	0
