pair_id	pair_role	role_stratum	polarity	pair_side	pair_side_epistemic_status	surface	working_candidate_de	working_confidence	basis	reader_exact_occurrences	reader_exact_pages	reader_exact_loci	reader_exact_left_neighbor_opportunities	reader_exact_right_neighbor_opportunities	line_position_counts	pair_asymmetry_caveat	counterevidence	component_export_credit
SP01	PREPARATION_BASE	OUTER_CONTROL_PREPARATION	DRY	DRY_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	cho	Trockenansatz	W2_W3_MIXED_WORKING	GDT661_GDT734	45	33	45	35	36	FIRST:1|LAST:1|MIDDLE:43	SHO_LINE_INITIAL_BIASED_27_OF_93_VS_CHO_1_OF_45	Ganzwortwerte sind unbestätigt; Ansatz kann eine Feld- statt Stoffrolle sein	0
SP01	PREPARATION_BASE	OUTER_CONTROL_PREPARATION	MOIST	MOIST_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	sho	feuchter Ansatz	W2_W3_MIXED_WORKING	GDT661_GDT734	93	59	90	54	80	FIRST:27|MIDDLE:66	SHO_LINE_INITIAL_BIASED_27_OF_93_VS_CHO_1_OF_45	Ganzwortwerte sind unbestätigt; Ansatz kann eine Feld- statt Stoffrolle sein	0
SP02	BEGIN_SIMPLE	OUTER_CONTROL_STATE_STAGE	DRY	DRY_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	chy	trocken am Anfang des Grades	W1_W2_MIXED_WORKING	GDT647_GDT712	114	74	108	94	76	FIRST:2|LAST:11|MIDDLE:101	NONE	Y und CH/SH sind keine frei exportierbaren Komponenten	0
SP02	BEGIN_SIMPLE	OUTER_CONTROL_STATE_STAGE	MOIST	MOIST_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	shy	feucht, Anfangsstufe	W1_W2_MIXED_WORKING	GDT647_GDT712	67	48	66	54	51	FIRST:1|LAST:6|MIDDLE:60	NONE	Y und CH/SH sind keine frei exportierbaren Komponenten	0
SP03	MIDDLE_SIMPLE	OUTER_CONTROL_STATE_STAGE	DRY	DRY_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	chey	trocken in der Mitte des Grades	W2_PROVISIONAL_WORKING	GDT647	282	92	265	216	212	FIRST:5|LAST:17|MIDDLE:260	NONE	Achsen bleiben Ganzwort-Arbeitstheorie; keine freie CH/SH/E/Y-Zerlegung	0
SP03	MIDDLE_SIMPLE	OUTER_CONTROL_STATE_STAGE	MOIST	MOIST_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	shey	feucht in der Mitte des Grades	W2_PROVISIONAL_WORKING	GDT647	179	69	167	138	133	FIRST:3|LAST:10|MIDDLE:166	NONE	Achsen bleiben Ganzwort-Arbeitstheorie; keine freie CH/SH/E/Y-Zerlegung	0
SP04	END_SIMPLE_WEAK	OUTER_CONTROL_STATE_STAGE	DRY	DRY_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	cheey	trocken; genaue Funktion offen	K1_K2_WEAK_WORKING	GDT749_GDT712	137	59	131	102	109	FIRST:2|LAST:5|MIDDLE:130	NONE	Cheey verlor die starke Endstufenlesung; sheey bleibt nur W1	0
SP04	END_SIMPLE_WEAK	OUTER_CONTROL_STATE_STAGE	MOIST	MOIST_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	sheey	feucht, Endstufe	K1_K2_WEAK_WORKING	GDT749_GDT712	105	59	103	87	88	FIRST:4|LAST:3|MIDDLE:98	NONE	Cheey verlor die starke Endstufenlesung; sheey bleibt nur W1	0
SP05	BEGIN_CLOSED	OUTER_CONTROL_STATE_STAGE	DRY	DRY_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	chdy	trockene Anfangsstufe erreicht	W2_PROVISIONAL_WORKING	GDT689	89	47	85	71	59	LAST:11|MIDDLE:78	NONE	Abschluss- und Prozessrichtung sind nicht als freie Morpheme gesichert	0
SP05	BEGIN_CLOSED	OUTER_CONTROL_STATE_STAGE	MOIST	MOIST_SIDE	WORKING_PAIR_SIDE_NOT_CONFIRMED_LEXEME	shdy	feuchte Anfangsstufe erreicht	W2_PROVISIONAL_WORKING	GDT689	25	18	25	17	16	FIRST:2|LAST:1|MIDDLE:22	NONE	Abschluss- und Prozessrichtung sind nicht als freie Morpheme gesichert	0
