surface	body_surface	opaque_head_class	eva_transcription_label	source_universe	reader_exact_occurrences	reader_exact_pages	line_position_counts	left_sho_contacts	left_sheo_contacts	left_sho_or_sheo_contacts	selected_pcheey	head_class_is_analyst_variable	eva_p_letter_or_semantic_credit	component_export_credit	interpretation
pcheey	cheey	H1	p	GDT736_TRAINING_24_BODY_GRID	3	3	MIDDLE:3	1	2	3	1	1	0	0	TARGET_ACCOUNTS_FOR_ALL_3_READER_EXACT_H1_POST_MOIST_CONTACTS
paiin	aiin	H1	p	GDT736_TRAINING_24_BODY_GRID	6	6	FIRST:5|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
paiir	aiir	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:1|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pair	air	H1	p	GDT736_TRAINING_24_BODY_GRID	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pal	al	H1	p	GDT736_TRAINING_24_BODY_GRID	2	1	FIRST:1|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
palar	alar	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pam	am	H1	p	GDT736_TRAINING_24_BODY_GRID	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
par	ar	H1	p	GDT736_TRAINING_24_BODY_GRID	4	4	FIRST:2|MIDDLE:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchaiin	chaiin	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchal	chal	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchar	char	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:1|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchdaiin	chdaiin	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchdal	chdal	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchdol	chdol	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:1|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchdy	chdy	H1	p	GDT736_TRAINING_24_BODY_GRID	6	6	LAST:1|MIDDLE:5	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pcheam	cheam	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchear	chear	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:1|LAST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pched	ched	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchedair	chedair	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchedal	chedal	H1	p	GDT737_HELD_120_BODY_TRANSFER	4	4	FIRST:4	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchedar	chedar	H1	p	GDT737_HELD_120_BODY_TRANSFER	6	6	FIRST:6	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchedy	chedy	H1	p	GDT736_TRAINING_24_BODY_GRID	25	21	FIRST:7|LAST:1|MIDDLE:17	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pcheedy	cheedy	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pcheo	cheo	H1	p	GDT736_TRAINING_24_BODY_GRID	2	2	FIRST:1|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pcheody	cheody	H1	p	GDT737_HELD_120_BODY_TRANSFER	4	4	FIRST:2|MIDDLE:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pcheol	cheol	H1	p	GDT737_HELD_120_BODY_TRANSFER	10	8	FIRST:6|MIDDLE:4	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pcheor	cheor	H1	p	GDT737_HELD_120_BODY_TRANSFER	4	4	FIRST:4	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
