candidate_surface	pair_id	pair_role	role_stratum	dry_surface	moist_surface	direct_dry_edges	direct_moist_edges	direct_side_counts	radius2_dry_relays	radius2_moist_relays	radius2_side_counts	specific_medium_identity_credit	component_export_credit
ckhy	SP01	PREPARATION_BASE	OUTER_CONTROL_PREPARATION	cho	sho	0	0	NONE	0	2	L:1|R:1	0	0
ckhy	SP02	BEGIN_SIMPLE	OUTER_CONTROL_STATE_STAGE	chy	shy	0	0	NONE	0	1	L:1	0	0
ckhy	SP03	MIDDLE_SIMPLE	OUTER_CONTROL_STATE_STAGE	chey	shey	0	0	NONE	0	0	NONE	0	0
ckhy	SP04	END_SIMPLE_WEAK	OUTER_CONTROL_STATE_STAGE	cheey	sheey	0	0	NONE	0	0	NONE	0	0
ckhy	SP05	BEGIN_CLOSED	OUTER_CONTROL_STATE_STAGE	chdy	shdy	0	0	NONE	0	0	NONE	0	0
ckhy	SP06	MIDDLE_CLOSED	OUTER_CONTROL_STATE_STAGE	chedy	shedy	0	0	NONE	0	0	NONE	0	0
ckhy	SP07	END_CLOSED	OUTER_CONTROL_STATE_STAGE	cheedy	sheedy	0	0	NONE	0	0	NONE	0	0
ckhy	SP08	QUALITY_HEAD	OUTER_CONTROL_STATE_HOST	chol	shol	1	0	R:1	1	0	R:1	0	0
ckhy	SP09	MATERIAL_HEAD	OUTER_CONTROL_MATERIAL	cheol	sheol	0	0	NONE	0	0	NONE	0	0
ckhy	SP10	MATERIAL_PART	DISCOVERY_MATERIAL_PART	cheor	sheor	0	1	L:1	0	0	NONE	0	0
ckhy	SP11	PREPARATION_FULL	DISCOVERY_PREPARATION	cheo	sheo	0	1	R:1	0	0	NONE	0	0
pcheey	SP01	PREPARATION_BASE	OUTER_CONTROL_PREPARATION	cho	sho	0	1	L:1	0	0	NONE	0	0
pcheey	SP02	BEGIN_SIMPLE	OUTER_CONTROL_STATE_STAGE	chy	shy	0	0	NONE	0	0	NONE	0	0
pcheey	SP03	MIDDLE_SIMPLE	OUTER_CONTROL_STATE_STAGE	chey	shey	0	0	NONE	0	0	NONE	0	0
pcheey	SP04	END_SIMPLE_WEAK	OUTER_CONTROL_STATE_STAGE	cheey	sheey	0	0	NONE	0	0	NONE	0	0
pcheey	SP05	BEGIN_CLOSED	OUTER_CONTROL_STATE_STAGE	chdy	shdy	0	0	NONE	0	0	NONE	0	0
pcheey	SP06	MIDDLE_CLOSED	OUTER_CONTROL_STATE_STAGE	chedy	shedy	0	0	NONE	0	0	NONE	0	0
pcheey	SP07	END_CLOSED	OUTER_CONTROL_STATE_STAGE	cheedy	sheedy	0	0	NONE	0	0	NONE	0	0
pcheey	SP08	QUALITY_HEAD	OUTER_CONTROL_STATE_HOST	chol	shol	0	0	NONE	0	0	NONE	0	0
pcheey	SP09	MATERIAL_HEAD	OUTER_CONTROL_MATERIAL	cheol	sheol	0	0	NONE	0	0	NONE	0	0
pcheey	SP10	MATERIAL_PART	DISCOVERY_MATERIAL_PART	cheor	sheor	0	0	NONE	0	0	NONE	0	0
pcheey	SP11	PREPARATION_FULL	DISCOVERY_PREPARATION	cheo	sheo	0	2	L:2	0	0	NONE	0	0
ol	SP01	PREPARATION_BASE	OUTER_CONTROL_PREPARATION	cho	sho	1	2	L:2|R:1	0	0	NONE	0	0
ol	SP02	BEGIN_SIMPLE	OUTER_CONTROL_STATE_STAGE	chy	shy	3	0	R:3	2	0	R:2	0	0
ol	SP03	MIDDLE_SIMPLE	OUTER_CONTROL_STATE_STAGE	chey	shey	11	5	L:8|R:8	7	9	L:9|R:7	0	0
ol	SP04	END_SIMPLE_WEAK	OUTER_CONTROL_STATE_STAGE	cheey	sheey	9	9	L:2|R:16	7	4	L:6|R:5	0	0
ol	SP05	BEGIN_CLOSED	OUTER_CONTROL_STATE_STAGE	chdy	shdy	3	0	R:3	2	2	L:3|R:1	0	0
ol	SP06	MIDDLE_CLOSED	OUTER_CONTROL_STATE_STAGE	chedy	shedy	11	11	L:6|R:16	8	5	L:7|R:6	0	0
ol	SP07	END_CLOSED	OUTER_CONTROL_STATE_STAGE	cheedy	sheedy	4	2	R:6	0	0	NONE	0	0
ol	SP08	QUALITY_HEAD	OUTER_CONTROL_STATE_HOST	chol	shol	7	1	L:5|R:3	7	4	L:6|R:5	0	0
ol	SP09	MATERIAL_HEAD	OUTER_CONTROL_MATERIAL	cheol	sheol	5	2	L:2|R:5	4	1	L:4|R:1	0	0
ol	SP10	MATERIAL_PART	DISCOVERY_MATERIAL_PART	cheor	sheor	4	1	L:3|R:2	0	0	NONE	0	0
ol	SP11	PREPARATION_FULL	DISCOVERY_PREPARATION	cheo	sheo	0	1	L:1	0	0	NONE	0	0
