body_surface	opaque_head_class	eva_head_label	whole_surface	reader_exact_occurrences	reader_exact_pages	left_sho_or_sheo_contacts	left_any_moist_contacts	right_any_moist_contacts	direct_moist_occurrences	direct_dry_occurrences	selected_target	head_letter_semantic_credit	body_component_export_credit	interpretation
cheey	H1	p	pcheey	3	3	3	3	0	3	0	1	0	0	TARGET_POST_MOIST_CONSTRUCTION
cheey	H2	s	scheey	0	0	0	0	0	0	0	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
cheey	H3	r	rcheey	4	3	0	0	0	0	0	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
cheey	H4	l	lcheey	10	8	0	1	0	1	1	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chey	H1	p	pchey	6	6	0	1	0	1	0	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chey	H2	s	schey	4	4	0	0	0	0	0	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chey	H3	r	rchey	5	5	0	0	0	0	0	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chey	H4	l	lchey	37	27	0	1	0	1	8	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chy	H1	p	pchy	1	1	0	0	0	0	0	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chy	H2	s	schy	2	2	0	0	0	0	0	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chy	H3	r	rchy	2	2	0	0	0	0	1	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
chy	H4	l	lchy	7	7	0	1	0	1	1	0	0	0	WITHIN_BODY_OR_WITHIN_HEAD_CONTROL
