surface	historical_candidate_id	historical_expression	historical_working_gloss_de	historical_candidate_kind	historical_required_axes	historical_content_slot_axis	historical_source_ids	historical_attested_form	historical_locator	target_observed_signature	decision	eva_spelling_match_credit	target_assignment_credit	confirmed_lexeme	component_export_credit
ckhy	E015	siccum	trocken oder getrocknet	QUALITY_STATE	DRY	NONE	HX002|HX007	siccum	Wellcome MS.542 f118r and Alphita entries	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ckhy	E018	misce	mische	PROCESS_VERB	PROCESS|PREPARATION	NONE	HX004	misce	Durham f83v recipe 5	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ckhy	E022	cola	seihe oder filtere	PROCESS_VERB	PROCESS	NONE	HX005	deinde cola	BnF lat.8651 f88v	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ckhy	E023	temperando usque ad mane	weiche ueber Nacht ein	PROCESS_VERB	MOIST|PROCESS	NONE	HX005	temperando usque ad mane	BnF lat.8651 f88v	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ckhy	E025	preparatio	Zubereitung	PREPARATION_NOUN	PREPARATION|MATERIAL	PREPARATION	HX004|HX008	Preparationes; Preparatio	Durham f83v recipes 6-7	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	ROLE_COMPATIBLE_PREPARATION_NOUN_CATEGORY_ONLY	0	0	0	0
ckhy	E028	oleum	Oel	CONTENT_NOUN	OIL|LIQUID	OIL	HX004|HX007	Oleum de butero; oleum clarum	Durham f83v recipe 2; Alphita Ydroleon	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ckhy	E029	aqua	Wasser	CONTENT_NOUN	WATER|LIQUID	WATER	HX004|HX005|HX007	aqua pluviali; aqua vitae	Durham f83v; BnF lat.8651 f88v	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ckhy	E030	vinum	Wein	CONTENT_NOUN	WINE|LIQUID	WINE	HX004|HX005|HX006	vino bono albo et claro; vino rubeo	BnF lat.8651 f88v; Durham f83v recipe 11	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ckhy	E037	vas distillatorium	Destilliergefaess	CONTENT_NOUN	VESSEL	VESSEL	HX007	Alembicum est vas distillatorium	Alphita Alembicum entry	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
pcheey	E015	siccum	trocken oder getrocknet	QUALITY_STATE	DRY	NONE	HX002|HX007	siccum	Wellcome MS.542 f118r and Alphita entries	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	DRY_STATE_CATEGORY_COMPATIBLE__SOURCE_RELATION_UNSPOKEN	0	0	0	0
pcheey	E018	misce	mische	PROCESS_VERB	PROCESS|PREPARATION	NONE	HX004	misce	Durham f83v recipe 5	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
pcheey	E022	cola	seihe oder filtere	PROCESS_VERB	PROCESS	NONE	HX005	deinde cola	BnF lat.8651 f88v	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
pcheey	E023	temperando usque ad mane	weiche ueber Nacht ein	PROCESS_VERB	MOIST|PROCESS	NONE	HX005	temperando usque ad mane	BnF lat.8651 f88v	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	POST_MOIST_ECOLOGY_COMPATIBLE__PROCESS_NOT_ASSIGNED	0	0	0	0
pcheey	E025	preparatio	Zubereitung	PREPARATION_NOUN	PREPARATION|MATERIAL	PREPARATION	HX004|HX008	Preparationes; Preparatio	Durham f83v recipes 6-7	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	RECORD_PREPARATION_CATEGORY_COMPATIBLE_ONLY	0	0	0	0
pcheey	E028	oleum	Oel	CONTENT_NOUN	OIL|LIQUID	OIL	HX004|HX007	Oleum de butero; oleum clarum	Durham f83v recipe 2; Alphita Ydroleon	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
pcheey	E029	aqua	Wasser	CONTENT_NOUN	WATER|LIQUID	WATER	HX004|HX005|HX007	aqua pluviali; aqua vitae	Durham f83v; BnF lat.8651 f88v	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
pcheey	E030	vinum	Wein	CONTENT_NOUN	WINE|LIQUID	WINE	HX004|HX005|HX006	vino bono albo et claro; vino rubeo	BnF lat.8651 f88v; Durham f83v recipe 11	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
pcheey	E037	vas distillatorium	Destilliergefaess	CONTENT_NOUN	VESSEL	VESSEL	HX007	Alembicum est vas distillatorium	Alphita Alembicum entry	POST_MOIST_FORM_II_RECORD_FIELD; C1 dry-source rival; no independent PROCESS, LIQUID, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ol	E015	siccum	trocken oder getrocknet	QUALITY_STATE	DRY	NONE	HX002|HX007	siccum	Wellcome MS.542 f118r and Alphita entries	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ol	E018	misce	mische	PROCESS_VERB	PROCESS|PREPARATION	NONE	HX004	misce	Durham f83v recipe 5	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ol	E022	cola	seihe oder filtere	PROCESS_VERB	PROCESS	NONE	HX005	deinde cola	BnF lat.8651 f88v	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	PROCESS_NEIGHBOR_COMPATIBLE_AT_F94V9__NOT_OL_IDENTITY	0	0	0	0
ol	E023	temperando usque ad mane	weiche ueber Nacht ein	PROCESS_VERB	MOIST|PROCESS	NONE	HX005	temperando usque ad mane	BnF lat.8651 f88v	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
ol	E025	preparatio	Zubereitung	PREPARATION_NOUN	PREPARATION|MATERIAL	PREPARATION	HX004|HX008	Preparationes; Preparatio	Durham f83v recipes 6-7	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	GENERAL_PREPARATION_CARRIER_COMPATIBLE_ONLY	0	0	0	0
ol	E028	oleum	Oel	CONTENT_NOUN	OIL|LIQUID	OIL	HX004|HX007	Oleum de butero; oleum clarum	Durham f83v recipe 2; Alphita Ydroleon	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	LIVE_SPECIFIC_MEDIUM_RIVAL__LIQUID_AXIS_MISSING	0	0	0	0
ol	E029	aqua	Wasser	CONTENT_NOUN	WATER|LIQUID	WATER	HX004|HX005|HX007	aqua pluviali; aqua vitae	Durham f83v; BnF lat.8651 f88v	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	LIVE_SPECIFIC_MEDIUM_RIVAL__LIQUID_AXIS_MISSING	0	0	0	0
ol	E030	vinum	Wein	CONTENT_NOUN	WINE|LIQUID	WINE	HX004|HX005|HX006	vino bono albo et claro; vino rubeo	BnF lat.8651 f88v; Durham f83v recipe 11	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	LIVE_SPECIFIC_MEDIUM_RIVAL__LIQUID_AXIS_MISSING	0	0	0	0
ol	E037	vas distillatorium	Destilliergefaess	CONTENT_NOUN	VESSEL	VESSEL	HX007	Alembicum est vas distillatorium	Alphita Alembicum entry	QUANTITY_BEARING_CONTENT_CARRIER; no independent LIQUID, OIL, WATER, WINE, or VESSEL axis	HISTORICAL_CATEGORY_OR_RIVAL_ONLY__NO_TARGET_ASSIGNMENT	0	0	0	0
