unit_id	page	medical_fit	nonmedical_fit	local_direction	decisive_missing_or_present_clue	next_fixed_page_reading_focus
H1	f10r	4	3	MEDICAL	innerer Gebrauch oder Körperbeschwerde wäre medizinisch; das Bild zeigt nur Pflanze und Restfläche	look for body-use wording versus material/station wording inside the existing unit
H2	f10r	4	3	MEDICAL	Salbe und Schwellung gegen allgemeine Paste und Werkstückauftrag	look for body-use wording versus material/station wording inside the existing unit
H3	f11r	4	4	TIE	Trank/Augenanwendung gegen Farb-, Duft- oder Kosmetikprozess	look for body-use wording versus material/station wording inside the existing unit
H4	f55v	3	4	NONMEDICAL	Wundwäsche/Auflage gegen Textil- oder Lederwäsche und Klebeschicht	look for body-use wording versus material/station wording inside the existing unit
H5	f56r	3	4	NONMEDICAL	Warze/Husten gegen ätzenden, klebenden oder konservierenden Werkstoff	look for body-use wording versus material/station wording inside the existing unit
B1	f81v	5	4	MEDICAL	therapeutisches Gemeinschaftsbad gegen gewöhnlichen Wasch-/Färbebetrieb	look for body-use wording versus material/station wording inside the existing unit
B2	f82r	5	4	MEDICAL	Teilbäder und Körperstellen gegen allgemeine Becken- und Stationsbedienung	look for body-use wording versus material/station wording inside the existing unit
B3	f83r	4	4	TIE	Körperanwendung gegen lokale Flüssigkeits- und Gefäßwartung	look for body-use wording versus material/station wording inside the existing unit
B4	f83r	5	4	MEDICAL	warme Wundauflage gegen Tuchwäsche oder textile Ausrüstung	look for body-use wording versus material/station wording inside the existing unit
B5	f83r	2	4	NONMEDICAL	kein sichtbarer Körperanker; technischer Bediengang ist direkter	look for body-use wording versus material/station wording inside the existing unit
B6	f83r	2	5	NONMEDICAL	kein sichtbarer Patient; Filter- und Mehrportbetrieb ist bildnäher	look for body-use wording versus material/station wording inside the existing unit
A1	f67r2	4	4	TIE	iatromathematische Wahl gegen allgemeine Kalender- oder Lehrtafel	look for body-use wording versus material/station wording inside the existing unit
A2	f68r1	4	4	TIE	Mondstationsgebrauch gegen rein räumlichen Sternkatalog	look for body-use wording versus material/station wording inside the existing unit
A3	f69v	4	4	TIE	medizinische Wahlzeiten gegen allgemeinen Arbeits-, Wetter- oder Qualitätsalmanach	look for body-use wording versus material/station wording inside the existing unit
