unified_serial	register	page	unit_or_locus	source_group_identity	visible_identity	owner_or_namespace	construction_or_address	current_short_reading	content_layer	content_unit_id	medical_master_frame	nonmedical_master_frame	formal_reading_changed	surface_changed
1	HERBAL_PROSE	f10r	H1-S001	E001	dchey	H1	C01	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
2	HERBAL_PROSE	f10r	H1-S001	E002	cthoor	H1	C05	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
3	HERBAL_PROSE	f10r	H1-S001	E003	char	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
4	HERBAL_PROSE	f10r	H1-S001	E004	chty	H1	C06	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
5	HERBAL_PROSE	f10r	H1-S001	E005	os	H1	C01	Setze die gelernte Fachkarte: Mischgefäß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
6	HERBAL_PROSE	f10r	H1-S001	E006	chair	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
7	HERBAL_PROSE	f10r	H1-S001	E007	otytchol	H1	C02	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
8	HERBAL_PROSE	f10r	H1-S001	E008	oky	H1	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
9	HERBAL_PROSE	f10r	H1-S001	E009	daiin	H1	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
10	HERBAL_PROSE	f10r	H1-S001	E010	etyd	H1	C10	Setze Maß, Portion oder Stufe: kleiner Restteil.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
