page	locus	record	line	event_index	surface	exact_tuple_id	prior_default	selected_cross_register_default	register_side
f55v	f55v.11	1	f55v.11	4	oldy	1b1ffdd869fb1429ad03	boil gently; close the rubric	boil gently; close the rubric	HERBAL
f83r	f83r.28	2	f83r.28	6	oldy	1b1ffdd869fb1429ad03	boil gently; close the rubric	boil gently; close the rubric	BIO
f10r	f10r.2	1	f10r.2	8	oky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	HERBAL
f56r	f56r.7	1	f56r.7	4	choky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	HERBAL
f56r	f56r.8	1	f56r.8	3	choky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	HERBAL
f81v	f81v.18	1	f81v.18	10	qoky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	BIO
f82r	f82r.4	1	f82r.4	8	qoky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	BIO
f82r	f82r.7	1	f82r.7	7	qoky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	BIO
f83r	f83r.6	1	f83r.6	9	qoky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	BIO
f83r	f83r.8	1	f83r.8	4	qoky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	BIO
f83r	f83r.20	1	f83r.20	8	qoky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	BIO
f83r	f83r.26	2	f83r.26	3	qoky	276a7c2d74d1143446f4	apply or use this portion	apply or use this portion	BIO
f55v	f55v.11	1	f55v.11	3	cheeky	2c1a5fd92b9e3c762242	while still warm	while still warm	HERBAL
f83r	f83r.28	2	f83r.28	2	cheeky	2c1a5fd92b9e3c762242	while still warm	while still warm	BIO
f10r	f10r.2	1	f10r.2	9	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	in the stated or usual measure	HERBAL
f10r	f10r.6	2	f10r.6	8	taiin	2f1c5e56e8f0ff459065	in the stated or usual measure	in the stated or usual measure	HERBAL
f10r	f10r.8	2	f10r.8	7	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	in the stated or usual measure	HERBAL
f11r	f11r.4	1	f11r.4	5	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	in the stated or usual measure	HERBAL
f55v	f55v.5	1	f55v.5	2	chaiin	2f1c5e56e8f0ff459065	in the stated or usual measure	in the stated or usual measure	HERBAL
f55v	f55v.5	1	f55v.5	6	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	in the stated or usual measure	HERBAL
