exact_tuple_id	surface_realizations	events	herbal_events	bio_events	prior_default	selected_cross_register_default	source_class	confidence	disposition	selection_reason
1b1ffdd869fb1429ad03	oldy	2	1	1	boil gently; close the rubric	boil gently; close the rubric	COMMITTED_TECHNICAL_INSTRUCTION	.24	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
276a7c2d74d1143446f4	choky|oky|qoky	10	3	7	apply or use this portion	apply or use this portion	APPLICATION_ACTION	.61	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
2c1a5fd92b9e3c762242	cheeky	2	1	1	while still warm	while still warm	PORTABLE_TECHNICAL_PHRASE	.24	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	9	11	in the stated or usual measure	in the stated or usual measure	MEASURE_REFERENCE	.66	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
308e8ea2d5d190c498e8	okal|qokal	6	1	5	mix the two portions together	mix the two portions together	COMBINE_PORTIONS	.54	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
4d4559019a961b834aa1	char|dar|sar	5	2	3	from the same prepared batch	from the same prepared batch	SAME_PREPARED_BATCH_REFERENCE	.66	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
6f7ff8287eddf4da9fdb	chdy|chedy	11	1	10	stir until evenly mixed	stir until evenly mixed	MIXING_ACTION	.62	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
7a4bb8136330ee4e6e56	chor|or|shor|sor	7	5	2	the prepared decoction or working liquid	the prepared decoction or working liquid	PREPARED_LIQUID	.53	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
80ebbbbf238eee9f0aef	chety|chty	2	1	1	until evenly joined	work it until evenly homogeneous	PROCESS_CONDITION	.52	REVISED_CROSS_REGISTER_DEFAULT	covers pounding a Herbal mass and joining a Bio preparation without changing the operation
b5df9126607030b95175	cheey|shey	4	1	3	until the liquid runs clear	until the liquid runs clear	CLARITY_GATE	.57	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
b5fcea1eaed06b2f2291	okaiin|qokaiin	9	1	8	take up the next portion or instruction	begin the next measured entry	ENTRY_INSTRUCTION	.58	REVISED_CROSS_REGISTER_DEFAULT	combines the recurrent entry-head behavior with the Herbal measured-portion use
b921a237be883a820352	chey|chy|dy|shy|sy|y	18	9	9	this present portion	this present portion	CURRENT_PORTION	.56	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	3	16	with the foregoing preparation	with the foregoing preparation	PREPARATION_REFERENCE	.67	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	1	9	at the place indicated by the drawing	apply it at the place indicated by the drawing	APPLICATION_LOCATION	.55	REVISED_CROSS_REGISTER_DEFAULT	turns the common picture pointer into one executable Herbal/Bio instruction
dec401773c1f0347793d	cholor|olor	2	1	1	from the foregoing batch	from the foregoing batch	PORTABLE_TECHNICAL_PHRASE	.24	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	3	4	when the preparation is ready	when the preparation is ready	READINESS_CONDITION	.55	PRESERVED	existing concrete V18/V19 phrase remains executable in both registers
faf321940aed922846a9	otchey	2	1	1	mark the following share	take the final indicated share	FINAL_SHARE_INSTRUCTION	.42	REVISED_CROSS_REGISTER_DEFAULT	reconciles the final Herbal preparation with the marked Bio share
