model	edition	paragraph	at	word	hypothesis
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G001	pchall[a:o]rar	⟦pchall[a:o]rar⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G002	al	davon
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G003	ckhal	presse aus
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G004	rain	⟦rain⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G005	alolfchy	⟦alolfchy⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G006	rpchey	⟦rpchey⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G007	shfy	⟦shfy⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G008	ches	stampfe
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G009	ar	Teil
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G010	opchekan	⟦opchekan⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G011	dlr	⟦dlr⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G001	olkeey	⟦olkeey⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G002	rain	⟦rain⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G003	shey	Zubereitung B
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G004	qor	⟦qor⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G005	aiin	Maßzahl Q
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G006	shey	Zubereitung B
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G007	ol	mit
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G008	lchedy	⟦lchedy⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G009	rshey	⟦rshey⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G010	qokeedy	⟦qokeedy⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G011	chtain	⟦chtain⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.32|G012	oly	⟦oly⟧
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.33|G001	soraiin	⟦soraiin⟧
