model	edition	at	raw	hypothesis
NRC	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	prüfe · Mischung · ⟦q{cthh}y⟧
NRC	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NRC	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	mit · Mischung · erwärmte Dosis P
NRC	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NRC	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
NRC	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	prüfe · Mischung · ⟦qcthhy⟧
NRC	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NRC	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	mit · Mischung · erwärmte Dosis P
NRC	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NRC	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
NRV	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	nicht [Bereich offen] · Mischung · ⟦q{cthh}y⟧
NRV	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NRV	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	mit · Mischung · erwärmte Dosis P
NRV	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NRV	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
NRV	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	nicht [Bereich offen] · Mischung · ⟦qcthhy⟧
NRV	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NRV	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	mit · Mischung · erwärmte Dosis P
NRV	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NRV	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
NMC	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	prüfe · Mischung · ⟦q{cthh}y⟧
NMC	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NMC	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · Mischung · erwärmte Dosis P
NMC	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NMC	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
NMC	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	prüfe · Mischung · ⟦qcthhy⟧
NMC	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NMC	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · Mischung · erwärmte Dosis P
