swap_id	page	locus	section	language	hand	body	head_a	form_a	positions_a	head_b	form_b	positions_b	reader_exact_a	reader_exact_b	zl3b_line	working_contrast_de
G635-L01	f103r	f103r.5	S	B	3	kar	r	rkar	11	l	lkar	6	1	1	pocharal okedar shedy oteey qokey lkar sheeky okalor shedy yt rkar ota okdy	Wurzel/Wurzeldroge + kar ↔ Drogenholz/holziger Pflanzenteil + kar
G635-L02	f105r	f105r.19	S	B	3	aiin	s	saiin	4	l	laiin	6	0	1	dsechey oteol daiindy saiin chedy laiin okeeody okeeyteedy odaiin aiir al	Samen/Saatgut, Typ/Charge III ↔ Drogenholz, Typ/Charge III
G635-L03	f116r	f116r.27	S	B	3	shedy	p	pshedy	9	l	lshedy	4|10	1	2	daiin chey qokey lshedy orain chckhy lkain chy pshedy lshedy qoky ram	angefeuchtetes Pulver/Paste ↔ eingeweichtes Drogenholz
G635-L04	f116r	f116r.5	S	B	3	ol	r	rol	12	l	lol	11	1	1	dain sheed qokchdy otal chedy lkain oteedy otor aiin oty lol rol oly	Wurzelstoff ↔ Holzstoff
G635-L05	f116r	f116r.6	S	B	3	ain	s	sain	1	l	lain	7	0	0	sain ol lchedy chedy otey chedy lain otedy oteey	Samen/Saatgut + ain ↔ Drogenholz/holziger Pflanzenteil + ain
G635-L06	f66r	f66r.72	T	B	5	shedy	s	sshedy	1	l	lshedy	7	1	0	sshedy oteedy ykeeody sheocthy ol ld lshedy chokeey chekey chey	eingeweichte Samen/Saat ↔ eingeweichtes Drogenholz
G635-L07	f78r	f78r.43	B	B	2	chedy	p	pchedy	2	l	lchedy	1	1	0	lchedy pchedy qokaiin dar	getrocknetes Pulver ↔ getrocknetes Drogenholz
G635-L08	f82r	f82r.29	B	B	2	chedy	r	rchedy	6	l	lchedy	3|5	1	1	d cheey lchedy qokeedy lchedy rchedy oky qotedy qoty qoty	getrocknete Wurzel ↔ getrocknetes Drogenholz
G635-L09	f82v	f82v.15	B	B	2	chedy	p	pchedy	8	r	rchedy	7	1	1	tar sheckhy qokal qokain cheol tedy rchedy pchedy rsheol dal	getrocknetes Pulver ↔ getrocknete Wurzel
G635-L10	f83r	f83r.6	B	B	2	chedy	s	schedy	1	l	lchedy	8	1	1	schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky	getrocknete Samen/Saat ↔ getrocknetes Drogenholz
G635-L11	f83r	f83r.7	B	B	2	sheedy	r	rsheedy	7	l	lsheedy	2	0	1	solshed lsheedy qeeedy qoky o qol rsheedy qokedy qoteedy qoteedy	Wurzel/Wurzeldroge + sheedy ↔ Drogenholz/holziger Pflanzenteil + sheedy
G635-L12	f96r	f96r.6	H	A	1	or	s	sor	7	l	lor	1	0	1	lor ckheey chol cholody cheol ctheor sor	Samenportion ↔ Holzportion
