body	head_occupancy	heads	forms	occurrences_by_head	total_headed_occurrences	pages_by_head	loci_by_head	reader_exact_by_head	bare_body_occurrences	exact_v11_dictionary_body
aiin	4	p|s|r|l	p:paiin|s:saiin|r:raiin|l:laiin	p:7|s:109|r:62|l:13	191	p:7|s:64|r:33|l:12	p:7|s:108|r:61|l:13	p:6|s:89|r:45|l:7	432	1
chedy	4	p|s|r|l	p:pchedy|s:schedy|r:rchedy|l:lchedy	p:35|s:7|r:10|l:116	168	p:28|s:7|r:9|l:37	p:34|s:7|r:10|l:112	p:25|s:4|r:6|l:75	470	1
ol	4	p|s|r|l	p:pol|s:sol|r:rol|l:lol	p:16|s:57|r:20|l:35	128	p:12|s:37|r:15|l:23	p:16|s:57|r:18|l:35	p:13|s:49|r:14|l:31	463	1
or	4	p|s|r|l	p:por|s:sor|r:ror|l:lor	p:7|s:43|r:12|l:38	100	p:6|s:37|r:10|l:28	p:7|s:43|r:12|l:38	p:5|s:34|r:10|l:30	321	1
ar	4	p|s|r|l	p:par|s:sar|r:rar|l:lar	p:6|s:62|r:14|l:8	90	p:6|s:44|r:10|l:7	p:6|s:62|r:14|l:8	p:4|s:45|r:11|l:5	321	0
chey	4	p|s|r|l	p:pchey|s:schey|r:rchey|l:lchey	p:8|s:5|r:8|l:46	67	p:8|s:5|r:5|l:30	p:8|s:5|r:7|l:46	p:6|s:4|r:5|l:37	314	0
al	4	p|s|r|l	p:pal|s:sal|r:ral|l:lal	p:2|s:37|r:16|l:6	61	p:1|s:28|r:14|l:6	p:2|s:37|r:16|l:6	p:2|s:33|r:12|l:6	204	0
y	4	p|s|r|l	p:py|s:sy|r:ry|l:ly	p:3|s:28|r:10|l:12	53	p:3|s:27|r:9|l:11	p:3|s:28|r:10|l:12	p:1|s:26|r:8|l:12	270	0
shedy	4	p|s|r|l	p:pshedy|s:sshedy|r:rshedy|l:lshedy	p:3|s:6|r:5|l:38	52	p:3|s:6|r:5|l:24	p:3|s:6|r:5|l:36	p:3|s:4|r:3|l:24	390	0
air	4	p|s|r|l	p:pair|s:sair|r:rair|l:lair	p:4|s:22|r:4|l:1	31	p:3|s:17|r:3|l:1	p:4|s:22|r:4|l:1	p:2|s:16|r:3|l:1	56	0
chdy	4	p|s|r|l	p:pchdy|s:schdy|r:rchdy|l:lchdy	p:10|s:2|r:1|l:18	31	p:10|s:2|r:1|l:14	p:10|s:2|r:1|l:18	p:6|s:1|r:0|l:14	133	0
oiin	4	p|s|r|l	p:poiin|s:soiin|r:roiin|l:loiin	p:2|s:15|r:4|l:4	25	p:2|s:14|r:4|l:4	p:2|s:15|r:4|l:4	p:1|s:12|r:3|l:1	26	0
shey	4	p|s|r|l	p:pshey|s:sshey|r:rshey|l:lshey	p:1|s:5|r:2|l:17	25	p:1|s:5|r:2|l:12	p:1|s:5|r:2|l:17	p:0|s:4|r:1|l:14	232	1
am	4	p|s|r|l	p:pam|s:sam|r:ram|l:lam	p:1|s:7|r:11|l:5	24	p:1|s:6|r:11|l:5	p:1|s:7|r:11|l:5	p:0|s:4|r:9|l:3	67	0
cheey	4	p|s|r|l	p:pcheey|s:scheey|r:rcheey|l:lcheey	p:3|s:1|r:5|l:13	22	p:3|s:1|r:4|l:11	p:3|s:1|r:5|l:13	p:3|s:0|r:4|l:10	158	0
chy	4	p|s|r|l	p:pchy|s:schy|r:rchy|l:lchy	p:2|s:2|r:3|l:8	15	p:2|s:2|r:3|l:8	p:2|s:2|r:3|l:8	p:1|s:2|r:2|l:7	162	1
olchedy	4	p|s|r|l	p:polchedy|s:solchedy|r:rolchedy|l:lolchedy	p:7|s:6|r:1|l:1	15	p:6|s:6|r:1|l:1	p:7|s:6|r:1|l:1	p:3|s:2|r:0|l:0	34	0
chol	4	p|s|r|l	p:pchol|s:schol|r:rchol|l:lchol	p:5|s:3|r:1|l:3	12	p:5|s:3|r:1|l:3	p:5|s:3|r:1|l:3	p:5|s:3|r:0|l:3	343	1
odaiin	4	p|s|r|l	p:podaiin|s:sodaiin|r:rodaiin|l:lodaiin	p:4|s:3|r:2|l:3	12	p:4|s:3|r:2|l:3	p:4|s:3|r:2|l:3	p:4|s:2|r:1|l:2	55	0
oraiin	4	p|s|r|l	p:poraiin|s:soraiin|r:roraiin|l:loraiin	p:2|s:8|r:1|l:1	12	p:2|s:7|r:1|l:1	p:2|s:8|r:1|l:1	p:2|s:6|r:0|l:0	26	1
ody	4	p|s|r|l	p:pody|s:sody|r:rody|l:lody	p:2|s:4|r:2|l:3	11	p:2|s:4|r:2|l:3	p:2|s:4|r:2|l:3	p:1|s:4|r:2|l:3	37	0
cheo	4	p|s|r|l	p:pcheo|s:scheo|r:rcheo|l:lcheo	p:3|s:2|r:1|l:3	9	p:3|s:2|r:1|l:3	p:3|s:2|r:1|l:3	p:2|s:1|r:0|l:3	54	1
oaiin	4	p|s|r|l	p:poaiin|s:soaiin|r:roaiin|l:loaiin	p:1|s:3|r:1|l:1	6	p:1|s:3|r:1|l:1	p:1|s:3|r:1|l:1	p:0|s:2|r:0|l:1	22	1
oral	4	p|s|r|l	p:poral|s:soral|r:roral|l:loral	p:1|s:3|r:1|l:1	6	p:1|s:3|r:1|l:1	p:1|s:3|r:1|l:1	p:0|s:3|r:1|l:1	10	0
