cell_id	paradigm	body	body_value_de	head	head_value_de	form	working_default_de	occurrences	pages	loci	reader_exact_occurrences	section_counts	language_counts	basis	confidence	live_rival_de	status
G635-C01	AIIN	aiin	Typ/Charge III	p	Pulver/Pulverform	paiin	Pulver, Typ/Charge III	7	7	7	6	B:1|H:3|S:2|T:1	A:2|B:5	KOPF_PLUS_AIII_CLASS	LOW_MEDIUM	potio oder pilula	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C02	AIIN	aiin	Typ/Charge III	s	Samen/Saatgut	saiin	Samen/Saatgut, Typ/Charge III	109	64	108	89	B:27|C:1|H:31|P:5|S:37|T:8	A:27|B:82	KOPF_PLUS_AIII_CLASS	LOW_MEDIUM	sal; danach succus oder species	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C03	AIIN	aiin	Typ/Charge III	r	Wurzel/Wurzeldroge	raiin	Wurzel, Typ/Charge III	62	33	61	45	B:11|C:1|H:3|P:2|S:41|T:4	A:4|B:58	KOPF_PLUS_AIII_CLASS	LOW_MEDIUM	resina	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C04	AIIN	aiin	Typ/Charge III	l	Drogenholz/holziger Pflanzenteil	laiin	Drogenholz, Typ/Charge III	13	12	13	7	B:2|H:3|S:7|T:1	B:13	KOPF_PLUS_AIII_CLASS	LOW_MEDIUM	liquor oder Auszug	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C05	CHEDY	chedy	getrockneter Zustand	p	Pulver/Pulverform	pchedy	getrocknetes Pulver	35	28	34	25	B:14|H:3|S:13|T:5	B:35	INHERITED_DRY_STATE	LOW_MEDIUM	potio oder pilula	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C06	CHEDY	chedy	getrockneter Zustand	s	Samen/Saatgut	schedy	getrocknete Samen/Saat	7	7	7	4	B:5|H:1|S:1	B:7	INHERITED_DRY_STATE	LOW_MEDIUM	sal; danach succus oder species	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C07	CHEDY	chedy	getrockneter Zustand	r	Wurzel/Wurzeldroge	rchedy	getrocknete Wurzel	10	9	10	6	B:6|H:1|S:3	B:10	INHERITED_DRY_STATE	LOW_MEDIUM	resina	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C08	CHEDY	chedy	getrockneter Zustand	l	Drogenholz/holziger Pflanzenteil	lchedy	getrocknetes Drogenholz	116	37	112	75	B:51|H:3|S:53|T:9	A:1|B:115	INHERITED_DRY_STATE	LOW_MEDIUM	liquor oder Auszug	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C09	SHEDY	shedy	angefeuchteter/eingeweichter Zustand	p	Pulver/Pulverform	pshedy	angefeuchtetes Pulver/Paste	3	3	3	3	S:2|T:1	B:3	INHERITED_MOIST_STATE	LOW_MEDIUM	potio oder pilula	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C10	SHEDY	shedy	angefeuchteter/eingeweichter Zustand	s	Samen/Saatgut	sshedy	eingeweichte Samen/Saat	6	6	6	4	B:4|S:1|T:1	B:6	INHERITED_MOIST_STATE	LOW_MEDIUM	sal; danach succus oder species	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C11	SHEDY	shedy	angefeuchteter/eingeweichter Zustand	r	Wurzel/Wurzeldroge	rshedy	eingeweichte Wurzel	5	5	5	3	B:5	B:5	INHERITED_MOIST_STATE	LOW_MEDIUM	resina	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C12	SHEDY	shedy	angefeuchteter/eingeweichter Zustand	l	Drogenholz/holziger Pflanzenteil	lshedy	eingeweichtes Drogenholz	38	24	36	24	B:19|H:2|S:14|T:3	B:38	INHERITED_MOIST_STATE	LOW_MEDIUM	liquor oder Auszug	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C13	OL	ol	Stoff/Material	p	Pulver/Pulverform	pol	Pulverstoff	16	12	16	13	B:7|H:1|S:7|T:1	A:1|B:15	INHERITED_OL_CARRIER	LOW_MEDIUM	potio oder pilula	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C14	OL	ol	Stoff/Material	s	Samen/Saatgut	sol	Samenmaterial/Saatgut	57	37	57	49	B:33|H:12|P:5|S:6|T:1	A:16|B:41	INHERITED_OL_CARRIER	LOW_MEDIUM	sal; danach succus oder species	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
G635-C15	OL	ol	Stoff/Material	r	Wurzel/Wurzeldroge	rol	Wurzelstoff	20	15	18	14	B:11|H:2|S:6|T:1	A:2|B:18	INHERITED_OL_CARRIER	LOW_MEDIUM	resina	ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM
