shared_id	body	head_occupancy	heads	forms	occurrences_by_head	total_headed_occurrences	pages_by_head	loci_by_head	reader_exact_by_head	bare_body_occurrences	exact_v11_dictionary_body	inherited_or_working_body_value_de	semantic_status
G635-R001	aiin	4	p|s|r|l	p:paiin|s:saiin|r:raiin|l:laiin	p:7|s:109|r:62|l:13	191	p:7|s:64|r:33|l:12	p:7|s:108|r:61|l:13	p:6|s:89|r:45|l:7	432	1	Typ/Charge III	KOPF_PLUS_AIII_CLASS
G635-R002	chedy	4	p|s|r|l	p:pchedy|s:schedy|r:rchedy|l:lchedy	p:35|s:7|r:10|l:116	168	p:28|s:7|r:9|l:37	p:34|s:7|r:10|l:112	p:25|s:4|r:6|l:75	470	1	getrockneter Zustand	INHERITED_DRY_STATE
G635-R003	ol	4	p|s|r|l	p:pol|s:sol|r:rol|l:lol	p:16|s:57|r:20|l:35	128	p:12|s:37|r:15|l:23	p:16|s:57|r:18|l:35	p:13|s:49|r:14|l:31	463	1	Stoff/Material	INHERITED_OL_CARRIER
G635-R004	or	4	p|s|r|l	p:por|s:sor|r:ror|l:lor	p:7|s:43|r:12|l:38	100	p:6|s:37|r:10|l:28	p:7|s:43|r:12|l:38	p:5|s:34|r:10|l:30	321	1	Teil/Portion	INHERITED_OR_CARRIER
G635-R005	ar	4	p|s|r|l	p:par|s:sar|r:rar|l:lar	p:6|s:62|r:14|l:8	90	p:6|s:44|r:10|l:7	p:6|s:62|r:14|l:8	p:4|s:45|r:11|l:5	321	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R006	chey	4	p|s|r|l	p:pchey|s:schey|r:rchey|l:lchey	p:8|s:5|r:8|l:46	67	p:8|s:5|r:5|l:30	p:8|s:5|r:7|l:46	p:6|s:4|r:5|l:37	314	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R007	al	4	p|s|r|l	p:pal|s:sal|r:ral|l:lal	p:2|s:37|r:16|l:6	61	p:1|s:28|r:14|l:6	p:2|s:37|r:16|l:6	p:2|s:33|r:12|l:6	204	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R008	y	4	p|s|r|l	p:py|s:sy|r:ry|l:ly	p:3|s:28|r:10|l:12	53	p:3|s:27|r:9|l:11	p:3|s:28|r:10|l:12	p:1|s:26|r:8|l:12	270	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R009	shedy	4	p|s|r|l	p:pshedy|s:sshedy|r:rshedy|l:lshedy	p:3|s:6|r:5|l:38	52	p:3|s:6|r:5|l:24	p:3|s:6|r:5|l:36	p:3|s:4|r:3|l:24	390	0	angefeuchteter/eingeweichter Zustand	INHERITED_MOIST_STATE
G635-R010	air	4	p|s|r|l	p:pair|s:sair|r:rair|l:lair	p:4|s:22|r:4|l:1	31	p:3|s:17|r:3|l:1	p:4|s:22|r:4|l:1	p:2|s:16|r:3|l:1	56	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R011	chdy	4	p|s|r|l	p:pchdy|s:schdy|r:rchdy|l:lchdy	p:10|s:2|r:1|l:18	31	p:10|s:2|r:1|l:14	p:10|s:2|r:1|l:18	p:6|s:1|r:0|l:14	133	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R012	oiin	4	p|s|r|l	p:poiin|s:soiin|r:roiin|l:loiin	p:2|s:15|r:4|l:4	25	p:2|s:14|r:4|l:4	p:2|s:15|r:4|l:4	p:1|s:12|r:3|l:1	26	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R013	shey	4	p|s|r|l	p:pshey|s:sshey|r:rshey|l:lshey	p:1|s:5|r:2|l:17	25	p:1|s:5|r:2|l:12	p:1|s:5|r:2|l:17	p:0|s:4|r:1|l:14	232	1	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-R014	am	4	p|s|r|l	p:pam|s:sam|r:ram|l:lam	p:1|s:7|r:11|l:5	24	p:1|s:6|r:11|l:5	p:1|s:7|r:11|l:5	p:0|s:4|r:9|l:3	67	0	noch keine konkrete Restbedeutung	ATLAS_ONLY
