frame_id	body	previous	following	heads	forms	occurrences_by_head	loci_by_head	reader_exact_by_head	register_matched_all_heads	shared_registers	pages	working_contrast_de
G635-F01	or	<BOS>	ar	p|s|l	por|sor|lor	p:1|s:2|l:1	p:f79v.33|s:f112r.32&f78v.31|l:f80v.13	p:1|s:2|l:1	1	B/B/2	f112r|f78v|f79v|f80v	Pulverportion ↔ Samenportion ↔ Holzportion
G635-F02	aiin	<BOS>	daiin	p|s	paiin|saiin	p:1|s:1	p:f10v.1|s:f81v.3	p:1|s:1	0	NONE	f10v|f81v	Pulver, Typ/Charge III ↔ Samen/Saatgut, Typ/Charge III
G635-F03	ar	<BOS>	or	p|s	par|sar	p:1|s:1	p:f86v6.17|s:f33v.9	p:1|s:1	0	NONE	f33v|f86v6	Pulver/Pulverform + ar ↔ Samen/Saatgut + ar
G635-F04	ar	<BOS>	shey	p|s	par|sar	p:1|s:2	p:f81v.1|s:f103r.17&f111v.15	p:1|s:1	0	NONE	f103r|f111v|f81v	Pulver/Pulverform + ar ↔ Samen/Saatgut + ar
G635-F05	aral	<BOS>	<EOS>	s|r	saral|raral	s:1|r:1	s:f75v.19|r:f66r.15	s:1|r:1	0	NONE	f66r|f75v	Samen/Saatgut + aral ↔ Wurzel/Wurzeldroge + aral
G635-F06	ary	<BOS>	<EOS>	s|r	sary|rary	s:1|r:1	s:f99v.17|r:f66r.1	s:0|r:1	0	NONE	f66r|f99v	Samen/Saatgut + ary ↔ Wurzel/Wurzeldroge + ary
G635-F07	chedy	<BOS>	keedy	p|s	pchedy|schedy	p:1|s:1	p:f75r.13|s:f78r.9	p:1|s:0	1	B/B/2	f75r|f78r	getrocknetes Pulver ↔ getrocknete Samen/Saat
G635-F08	ol	<BOS>	chey	s|l	sol|lol	s:3|l:2	s:f111v.46&f82v.37&f89v1.20|l:f80r.24&f80r.50	s:3|l:2	1	B/B/2	f111v|f80r|f82v|f89v1	Samenmaterial/Saatgut ↔ Holzstoff
G635-F09	ol	<BOS>	ol	p|s	pol|sol	p:2|s:1	p:f79v.37&f80v.42|s:f83r.42	p:2|s:1	1	B/B/2	f79v|f80v|f83r	Pulverstoff ↔ Samenmaterial/Saatgut
G635-F10	ol	<BOS>	olkeeey	p|s	pol|sol	p:1|s:1	p:f79r.38|s:f80r.37	p:1|s:1	1	B/B/2	f79r|f80r	Pulverstoff ↔ Samenmaterial/Saatgut
G635-F11	ol	<BOS>	shar	p|l	pol|lol	p:1|l:1	p:f79r.21|l:f80r.27	p:1|l:1	1	B/B/2	f79r|f80r	Pulverstoff ↔ Holzstoff
G635-F12	ol	<BOS>	shedy	p|s	pol|sol	p:1|s:4	p:f77r.38|s:f76v.40&f78r.20&f81r.31&f95v2.2	p:1|s:4	1	B/B/2	f76v|f77r|f78r|f81r|f95v2	Pulverstoff ↔ Samenmaterial/Saatgut
G635-F13	ol	cheo	aiin	r|l	rol|lol	r:1|l:1	r:f106v.8|l:f111v.10	r:1|l:0	1	S/B/3	f106v|f111v	Wurzelstoff ↔ Holzstoff
G635-F14	ol	qokeey	<EOS>	r|l	rol|lol	r:1|l:1	r:f105r.3|l:f79v.24	r:1|l:0	0	NONE	f105r|f79v	Wurzelstoff ↔ Holzstoff
G635-F15	or	<BOS>	chey	s|l	sor|lor	s:3|l:1	s:f115r.32&f37r.7&f75r.8|l:f55r.11	s:3|l:0	0	NONE	f115r|f37r|f55r|f75r	Samenportion ↔ Holzportion
G635-F16	or	<BOS>	shedy	s|l	sor|lor	s:1|l:1	s:f83r.11|l:f81v.16	s:1|l:0	1	B/B/2	f81v|f83r	Samenportion ↔ Holzportion
G635-F17	or	<BOS>	shey	p|s	por|sor	p:1|s:1	p:f75v.49|s:f76r.43	p:1|s:1	0	NONE	f75v|f76r	Pulverportion ↔ Samenportion
G635-F18	or	qokeedy	<EOS>	r|l	ror|lor	r:1|l:1	r:f79v.13|l:f103r.21	r:1|l:1	0	NONE	f103r|f79v	Wurzelportion ↔ Holzportion
