cell_id	body	body_value_de	head	form	working_default_de	occurrences	pages	loci	reader_exact_occurrences	attested	status
G635-S01	chy	trocken, Grundform	p	pchy	Pulver: trocken, Grundform	2	2	2	1	1	ATTESTED_CONCRETE_DEFAULT
G635-S02	chy	trocken, Grundform	s	schy	Samen/Saatgut: trocken, Grundform	2	2	2	2	1	ATTESTED_CONCRETE_DEFAULT
G635-S03	chy	trocken, Grundform	r	rchy	Wurzel: trocken, Grundform	3	3	3	2	1	ATTESTED_CONCRETE_DEFAULT
G635-S04	chy	trocken, Grundform	l	lchy	Drogenholz: trocken, Grundform	8	8	8	7	1	ATTESTED_CONCRETE_DEFAULT
G635-S05	chey	trocken, Bindungsstufe I	p	pchey	Pulver: trocken, Bindungsstufe I	8	8	8	6	1	ATTESTED_CONCRETE_DEFAULT
G635-S06	chey	trocken, Bindungsstufe I	s	schey	Samen/Saatgut: trocken, Bindungsstufe I	5	5	5	4	1	ATTESTED_CONCRETE_DEFAULT
G635-S07	chey	trocken, Bindungsstufe I	r	rchey	Wurzel: trocken, Bindungsstufe I	8	5	7	5	1	ATTESTED_CONCRETE_DEFAULT
G635-S08	chey	trocken, Bindungsstufe I	l	lchey	Drogenholz: trocken, Bindungsstufe I	46	30	46	37	1	ATTESTED_CONCRETE_DEFAULT
G635-S09	cheey	trocken, Bindungsstufe II	p	pcheey	Pulver: trocken, Bindungsstufe II	3	3	3	3	1	ATTESTED_CONCRETE_DEFAULT
G635-S10	cheey	trocken, Bindungsstufe II	s	scheey	Samen/Saatgut: trocken, Bindungsstufe II	1	1	1	0	1	ATTESTED_CONCRETE_DEFAULT
G635-S11	cheey	trocken, Bindungsstufe II	r	rcheey	Wurzel: trocken, Bindungsstufe II	5	4	5	4	1	ATTESTED_CONCRETE_DEFAULT
G635-S12	cheey	trocken, Bindungsstufe II	l	lcheey	Drogenholz: trocken, Bindungsstufe II	13	11	13	10	1	ATTESTED_CONCRETE_DEFAULT
G635-S13	chdy	getrocknet, kompakte Form	p	pchdy	Pulver: getrocknet, kompakte Form	10	10	10	6	1	ATTESTED_CONCRETE_DEFAULT
G635-S14	chdy	getrocknet, kompakte Form	s	schdy	Samen/Saatgut: getrocknet, kompakte Form	2	2	2	1	1	ATTESTED_CONCRETE_DEFAULT
G635-S15	chdy	getrocknet, kompakte Form	r	rchdy	Wurzel: getrocknet, kompakte Form	1	1	1	0	1	ATTESTED_CONCRETE_DEFAULT
G635-S16	chdy	getrocknet, kompakte Form	l	lchdy	Drogenholz: getrocknet, kompakte Form	18	14	18	14	1	ATTESTED_CONCRETE_DEFAULT
G635-S17	chedy	getrockneter Zustand	p	pchedy	getrocknetes Pulver	35	28	34	25	1	ATTESTED_CONCRETE_DEFAULT
