quad_id	body	forms	occurrences_by_head	total_headed_occurrences	reader_exact_by_head	bare_body_occurrences	working_body_value_de	semantic_status
G635-Q01	aiin	p:paiin|s:saiin|r:raiin|l:laiin	p:7|s:109|r:62|l:13	191	p:6|s:89|r:45|l:7	432	Typ/Charge III	KOPF_PLUS_AIII_CLASS
G635-Q02	chedy	p:pchedy|s:schedy|r:rchedy|l:lchedy	p:35|s:7|r:10|l:116	168	p:25|s:4|r:6|l:75	470	getrockneter Zustand	INHERITED_DRY_STATE
G635-Q03	ol	p:pol|s:sol|r:rol|l:lol	p:16|s:57|r:20|l:35	128	p:13|s:49|r:14|l:31	463	Stoff/Material	INHERITED_OL_CARRIER
G635-Q04	or	p:por|s:sor|r:ror|l:lor	p:7|s:43|r:12|l:38	100	p:5|s:34|r:10|l:30	321	Teil/Portion	INHERITED_OR_CARRIER
G635-Q05	ar	p:par|s:sar|r:rar|l:lar	p:6|s:62|r:14|l:8	90	p:4|s:45|r:11|l:5	321	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q06	chey	p:pchey|s:schey|r:rchey|l:lchey	p:8|s:5|r:8|l:46	67	p:6|s:4|r:5|l:37	314	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q07	al	p:pal|s:sal|r:ral|l:lal	p:2|s:37|r:16|l:6	61	p:2|s:33|r:12|l:6	204	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q08	y	p:py|s:sy|r:ry|l:ly	p:3|s:28|r:10|l:12	53	p:1|s:26|r:8|l:12	270	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q09	shedy	p:pshedy|s:sshedy|r:rshedy|l:lshedy	p:3|s:6|r:5|l:38	52	p:3|s:4|r:3|l:24	390	angefeuchteter/eingeweichter Zustand	INHERITED_MOIST_STATE
G635-Q10	air	p:pair|s:sair|r:rair|l:lair	p:4|s:22|r:4|l:1	31	p:2|s:16|r:3|l:1	56	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q11	chdy	p:pchdy|s:schdy|r:rchdy|l:lchdy	p:10|s:2|r:1|l:18	31	p:6|s:1|r:0|l:14	133	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q12	oiin	p:poiin|s:soiin|r:roiin|l:loiin	p:2|s:15|r:4|l:4	25	p:1|s:12|r:3|l:1	26	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q13	shey	p:pshey|s:sshey|r:rshey|l:lshey	p:1|s:5|r:2|l:17	25	p:0|s:4|r:1|l:14	232	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q14	am	p:pam|s:sam|r:ram|l:lam	p:1|s:7|r:11|l:5	24	p:0|s:4|r:9|l:3	67	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q15	cheey	p:pcheey|s:scheey|r:rcheey|l:lcheey	p:3|s:1|r:5|l:13	22	p:3|s:0|r:4|l:10	158	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q16	chy	p:pchy|s:schy|r:rchy|l:lchy	p:2|s:2|r:3|l:8	15	p:1|s:2|r:2|l:7	162	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q17	olchedy	p:polchedy|s:solchedy|r:rolchedy|l:lolchedy	p:7|s:6|r:1|l:1	15	p:3|s:2|r:0|l:0	34	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q18	chol	p:pchol|s:schol|r:rchol|l:lchol	p:5|s:3|r:1|l:3	12	p:5|s:3|r:0|l:3	343	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q19	odaiin	p:podaiin|s:sodaiin|r:rodaiin|l:lodaiin	p:4|s:3|r:2|l:3	12	p:4|s:2|r:1|l:2	55	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q20	oraiin	p:poraiin|s:soraiin|r:roraiin|l:loraiin	p:2|s:8|r:1|l:1	12	p:2|s:6|r:0|l:0	26	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q21	ody	p:pody|s:sody|r:rody|l:lody	p:2|s:4|r:2|l:3	11	p:1|s:4|r:2|l:3	37	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q22	cheo	p:pcheo|s:scheo|r:rcheo|l:lcheo	p:3|s:2|r:1|l:3	9	p:2|s:1|r:0|l:3	54	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q23	oaiin	p:poaiin|s:soaiin|r:roaiin|l:loaiin	p:1|s:3|r:1|l:1	6	p:0|s:2|r:0|l:1	22	noch keine konkrete Restbedeutung	ATLAS_ONLY
G635-Q24	oral	p:poral|s:soral|r:roral|l:loral	p:1|s:3|r:1|l:1	6	p:0|s:3|r:1|l:1	10	noch keine konkrete Restbedeutung	ATLAS_ONLY
