event_serial	record_unit_id	statement_id	page	visible_surface	master_card_id	drawer	nomenclator_value_de	local_clause_de
1	H1	H1-S001	f10r	dchey	MC071	N1_MATERIAL_AND_TOOL	Pflanzengrundteil	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
4	H1	H1-S001	f10r	chty	MC086	N1_MATERIAL_AND_TOOL	abgeteilter Anteil	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
5	H1	H1-S001	f10r	os	MC159	N2_CONTAINER_AND_PLACE	Aufnahmegefaess	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
41	H3	H3-S001	f11r	cfhy	MC129	N3_SEPARATE_AND_CLARIFY	Auswringen	Wringe das ausgekochte Kraut aus.
43	H3	H3-S001	f11r	cphy	MC156	N3_SEPARATE_AND_CLARIFY	Nachseihen	Seihe die abgesetzte Fluessigkeit nochmals.
47	H3	H3-S003	f11r	dchol	MC142	N5_LINK_AND_ADMINISTER	vom vorigen Posten	Nimm vom vorigen klaren Ansatz.
60	H4	H4-S001	f55v	ody	MC100	N3_SEPARATE_AND_CLARIFY	Abkuehlen	Lass beide Portionen abkuehlen und schliesse den Schritt.
63	H4	H4-S002	f55v	talam	MC160	N2_CONTAINER_AND_PLACE	Verwahrort	Stelle sie am vorgesehenen Verwahrort ab.
83	H5	H5-S002	f56r	schol	MC142	N5_LINK_AND_ADMINISTER	vom vorigen Posten	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.
97	H5	H5-S005	f56r	sotodan	MC068	N5_LINK_AND_ADMINISTER	Folgeanwendung	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.
112	B1	B1-S002	f81v	dl	MC012	N1_MATERIAL_AND_TOOL	kleiner Zusatz	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
129	B1	B1-S006	f81v	dl	MC012	N1_MATERIAL_AND_TOOL	kleiner Zusatz	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.
141	B1	B1-S012	f81v	lsho	MC130	N4_WASH_AND_CLOSE	Waschgang	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.
143	B1	B1-S012	f81v	lshedy	MC038	N4_WASH_AND_CLOSE	Waschgang abschliessen	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.
144	B1	B1-S013	f81v	lshedy	MC038	N4_WASH_AND_CLOSE	Waschgang abschliessen	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Waschgang; Schluss.
206	B2	B2-S012	f82r	lcheey	MC066	N3_SEPARATE_AND_CLARIFY	Klarabzug	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.
212	B2	B2-S015	f82r	tshey	MC141	N3_SEPARATE_AND_CLARIFY	Klarlauf	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »lokale Randstationen des unteren Feldes«: Klarlauf — lange einwirken; Schluss.
216	B2	B2-S016	f82r	ches	MC152	N3_SEPARATE_AND_CLARIFY	Teilen	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.
