lesson_order	drawer	master_card_id	master_form	registered_surfaces	event_count	records	current_value_de	concise_nomenclator_value_de	productive_frame	memorized_body	master_gesture_de	reading_rule_de
1	N1_MATERIAL_AND_TOOL	MC071	dchey	dchey	1	H1	Grundteil	Pflanzengrundteil	Y	DCHE	auf den unteren Teil des Pflanzenbilds zeigen	Rahmen lesen Innenkoerper lernen
2	N1_MATERIAL_AND_TOOL	MC086	chety	chety|chty	2	B3|H1	Anteil	abgeteilter Anteil	TY	PARTITION	eine Handvoll sichtbar in zwei Teile teilen	Rahmen lesen Innenkoerper lernen
3	N1_MATERIAL_AND_TOOL	MC012	dl	dl	2	B1	Zusatz	kleiner Zusatz	NONE	LOCAL_WHOLE	eine Prise in das aktive Gefaess geben	als unteilbare Ganzkarte lernen
4	N1_MATERIAL_AND_TOOL	MC059	dain	dain	2	B4|B6	Einlage	Einlage oder Filterpolster	NONE	DAIN	ein gefaltetes Tuch in die Oeffnung legen	als unteilbare Ganzkarte lernen
5	N2_CONTAINER_AND_PLACE	MC159	os	os	1	H1	Aufnahmegefäß	Aufnahmegefaess	NONE	OS	auf das leere Empfaengergefaess zeigen	als unteilbare Ganzkarte lernen
6	N2_CONTAINER_AND_PLACE	MC160	talam	talam	1	H4	Verwahrort	Verwahrort	AL	AM	das Gefaess an seinen Regal- oder Lagerplatz stellen	Rahmen lesen Innenkoerper lernen
7	N3_SEPARATE_AND_CLARIFY	MC129	cfhy	cfhy	1	H3	Auswringen	Auswringen	Y	CFH	ein nasses Tuch mit beiden Haenden drehen	Rahmen lesen Innenkoerper lernen
8	N3_SEPARATE_AND_CLARIFY	MC156	cphy	cphy	1	H3	Nachseihen	Nachseihen	Y	CPH	die Fluessigkeit ein zweites Mal durch Tuch geben	Rahmen lesen Innenkoerper lernen
9	N3_SEPARATE_AND_CLARIFY	MC141	tshey	tshey	1	B2	Klarlauf	Klarlauf	NONE	CHEEY	auf den klaren ausfliessenden Strom zeigen	als unteilbare Ganzkarte lernen
10	N3_SEPARATE_AND_CLARIFY	MC066	lcheey	lcheey	1	B2	Klarabzug	Klarabzug	L	CHEEY	nur die klare obere Fluessigkeit abziehen	Rahmen lesen Innenkoerper lernen
11	N3_SEPARATE_AND_CLARIFY	MC100	ody	ody	1	H4	Abkühlen	Abkuehlen	NONE	ODY	Hand vom warmen Gefaess wegnehmen und warten	als unteilbare Ganzkarte lernen
12	N3_SEPARATE_AND_CLARIFY	MC152	ches	ches	1	B2	Teilen	Teilen	NONE	PARTITION	einen Posten auf zwei Gefaesse verteilen	als unteilbare Ganzkarte lernen
13	N4_WASH_AND_CLOSE	MC130	lsho	lsho	1	B1	Waschgang	Waschgang	NONE	WASH	Stelle oder Gefaess einmal waschen	als unteilbare Ganzkarte lernen
14	N4_WASH_AND_CLOSE	MC038	lshedy	lshedy	2	B1	Waschgang; Schluss	Waschgang abschliessen	CLOSE	WASH	waschen und die Zelle sichtbar schliessen	Rahmen lesen Innenkoerper lernen
15	N4_WASH_AND_CLOSE	MC084	rshedy	rshedy	1	B2	Waschschluss	Waschfolge abschliessen	CLOSE	WASH	letzte Waschung ausfuehren und absetzen	Rahmen lesen Innenkoerper lernen
16	N5_LINK_AND_ADMINISTER	MC142	dchol	dchol|schol	2	H3|H5	vom vorigen	vom vorigen Posten	NONE	DCHOL	mit dem Griffel auf den vorherigen Ansatz zurueckzeigen	als unteilbare Ganzkarte lernen
17	N5_LINK_AND_ADMINISTER	MC089	skar	skar	1	B4	Quellausguss	aus der Quelle zugiessen	AR	SK	vom Quellgefaess in die Zielstation giessen	Rahmen lesen Innenkoerper lernen
18	N5_LINK_AND_ADMINISTER	MC068	sotodan	sotodan	1	H5	Folgeanwendung	Folgeanwendung	OT	DAN	vom ersten zum naechsten Ziel weiterzeigen	Rahmen lesen Innenkoerper lernen
19	N5_LINK_AND_ADMINISTER	MC164	qokylddy	qokylddy	1	B4	Festsetzen; Schluss	Einlage oder Arbeitsstelle festsetzen	OK+Y	LDDY	Einlage anlegen festbinden und die Zelle schliessen	Rahmen lesen Innenkoerper lernen
