field_id	statement_id	record_unit_id	visible_owner	field_frame_mode	visible_sequence	normalized_sequence	card_sequence	literal_values	terminal
F006	H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOW_DATA	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	MC098 MC049 MC129 MC111 MC156 MC119 MC037	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	NO
F007	H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOW_DATA	shoyty	shoyty	MC062	Zugabeteil	NO
F008	H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	D	dchol chy kchy dy daiin	dchol chey kchy chey aiin	MC142 MC123 MC117 MC123 MC039	vom vorigen | dies | Bearbeiten | dies | Sollmaß	NO
F009	H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MIXED	qotchy okchol cthy dy	qotchy okchol checthy chey	MC107 MC041 MC161 MC123	Folgeposten | Weiterverarbeitung | bereit | dies	NO
F071	B3-S001	B3	obere offene Fächer-Randstation	LOW_DATA	olkeedy	olkeedy	MC045	lange sammeln; Schluss	NO
F072	B3-S002	B3	obere offene Fächer-Randstation	LOW_DATA	qotal chkeedy	otal chkeedy	MC093 MC110	danach dorthin | Langwärmen; Schluss	NO
F073	B3-S003	B3	obere offene Fächer-Randstation	CH	chey daiin chey lchedy	chey aiin chey lchedy	MC123 MC039 MC123 MC155	dies | Sollmaß | dies | abführen; Schluss	NO
F074	B3-S004	B3	obere offene Fächer-Randstation	Q	qokaiin qotal dar	okaiin otal char	MC120 MC093 MC055	bemessen | danach dorthin | davon	NO
F075	B3-S005	B3	mittlere runde Gefäß-Randstation	LOW_DATA	schedy	dchedy	MC025	überführen; Schluss	NO
F076	B3-S006	B3	mittlere runde Gefäß-Randstation	MIXED	chedchy qokal olchedy	chedchy okal olchedy	MC064 MC040 MC028	Postentransfer | dorthin einsetzen | weiterführen; Schluss	NO
F077	B3-S007	B3	mittlere runde Gefäß-Randstation	MIXED	qokaiin chedy qokeedy	okaiin chdy qokeedy	MC120 MC074 MC082	bemessen | überführen | lange einwirken; Schluss	NO
F078	B3-S008	B3	mittlere runde Gefäß-Randstation	LOW_DATA	lchedy	lchedy	MC155	abführen; Schluss	NO
F079	B3-S009	B3	mittlere runde Gefäß-Randstation	LOW_DATA	qoky	choky	MC026	einsetzen	NO
F080	B3-S010	B3	untere korbartige Gefäß-Randstation	LOW_DATA	pchedal otedy	pchedal otedy	MC126 MC135	Zielzuführung | Kurzfolge; Schluss	NO
F081	B3-S011	B3	untere korbartige Gefäß-Randstation	MIXED	shecthedchy qoky chedy chary	shecthedchy choky chdy chary	MC043 MC026 MC074 MC009	Vorbereitungstransfer | einsetzen | überführen | Quellposten	NO
F082	B3-S012	B3	untere korbartige Gefäß-Randstation	S	sor shedy	chor cheedy	MC080 MC128	Ansatz | kurz absetzen; Schluss	NO
F083	B3-S013	B3	untere korbartige Gefäß-Randstation	MIXED	qokaiin chkain shcthey qokedy	okaiin chkain qcthey qokedy	MC120 MC105 MC073 MC083	bemessen | Anteil | kurz vorbereiten | kurz einwirken; Schluss	NO
F084	B3-S014	B3	untere korbartige Gefäß-Randstation	LOW_DATA	okair sheedy	okair sheedy	MC081 MC003	Laufeinsatz | Langabsetzen; Schluss	NO
F085	B3-S015	B3	untere korbartige Gefäß-Randstation	LOW_DATA	lchedy	lchedy	MC155	abführen; Schluss	NO
F086	B3-S016	B3	untere korbartige Gefäß-Randstation	LOW_DATA	lo	lo	MC030	Abzug	NO
F087	B3-S016	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	qokchedy	okchedy	MC005	einführen; Schluss	NO
F088	B3-S017	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	qokeedy	qokeedy	MC082	lange einwirken; Schluss	NO
F089	B3-S018	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	shedy	cheedy	MC128	kurz absetzen; Schluss	NO
F090	B3-S019	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	qokshedy	qokshedy	MC151	Einsatzabsetzen; Schluss	NO
F091	B3-S020	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	dal lchedy	al lchedy	MC154 MC155	dorthin | abführen; Schluss	NO
