statement_id	record_unit_id	visible_owner	field_ids	frame_modes	visible_sequence	normalized_sequence	literal_card_reading	previous_fluent_expansion	revised_fluent_translation_de	revision_reason
H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F006	LOW_DATA	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	Nimm das bestimmte Kochgut vom blau bluehenden Waschkraut.	Das Kochgut in einem Sud ansetzen, ausdrücken, eine Stehzeit abwarten, nachseihen, den klaren Auszug abnehmen und die Endzugabe einsetzen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F007	LOW_DATA	shoyty	shoyty	Zugabeteil	Lege den weiteren Zugabeteil bereit.	Den weiteren Zugabeteil bereitlegen.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F008	D	dchol chy kchy dy daiin	dchol chey kchy chey aiin	vom vorigen | dies | Bearbeiten | dies | Sollmaß	Nimm vom vorigen klaren Ansatz.	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.	D_FRAME_CARRY_READING
H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F009	MIXED	qotchy okchol cthy dy	qotchy okchol checthy chey	Folgeposten | Weiterverarbeitung | bereit | dies	Wechsle zum Folgeposten.	Zum Folgeposten wechseln, ihn weiterverarbeiten, Bereitschaft prüfen und als aktuellen Posten halten.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S001	B3	obere offene Fächer-Randstation	F071	LOW_DATA	olkeedy	olkeedy	lange sammeln; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Besitzer »obere offene Fächer-Randstation«: lange sammeln; Schluss.	An der oberen offenen Randstation länger auffangen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S002	B3	obere offene Fächer-Randstation	F072	LOW_DATA	qotal chkeedy	otal chkeedy	danach dorthin | Langwärmen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: danach dorthin — Langwärmen; Schluss.	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S003	B3	obere offene Fächer-Randstation	F073	CH	chey daiin chey lchedy	chey aiin chey lchedy	dies | Sollmaß | dies | abführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dies — Sollmaß — dies — abführen; Schluss.	Diesen Posten auf Sollmaß bringen und abführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S004	B3	obere offene Fächer-Randstation	F074	Q	qokaiin qotal dar	okaiin otal char	bemessen | danach dorthin | davon	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — danach dorthin — davon.	Davon eine Menge abmessen und zur folgenden Stelle bringen.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S005	B3	mittlere runde Gefäß-Randstation	F075	LOW_DATA	schedy	dchedy	überführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Besitzer »mittlere runde Gefäß-Randstation«: überführen; Schluss.	In die mittlere runde Randstation überführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S006	B3	mittlere runde Gefäß-Randstation	F076	MIXED	chedchy qokal olchedy	chedchy okal olchedy	Postentransfer | dorthin einsetzen | weiterführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Postentransfer — dorthin einsetzen — weiterführen; Schluss.	Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S007	B3	mittlere runde Gefäß-Randstation	F077	MIXED	qokaiin chedy qokeedy	okaiin chdy qokeedy	bemessen | überführen | lange einwirken; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — überführen — lange einwirken; Schluss.	Bemessen, überführen und länger einwirken lassen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S008	B3	mittlere runde Gefäß-Randstation	F078	LOW_DATA	lchedy	lchedy	abführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: abführen; Schluss.	Aus der Station abführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S009	B3	mittlere runde Gefäß-Randstation	F079	LOW_DATA	qoky	choky	einsetzen	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: einsetzen.	Den Posten einsetzen.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S010	B3	untere korbartige Gefäß-Randstation	F080	LOW_DATA	pchedal otedy	pchedal otedy	Zielzuführung | Kurzfolge; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Besitzer »untere korbartige Gefäß-Randstation«: Zielzuführung — Kurzfolge; Schluss.	Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S011	B3	untere korbartige Gefäß-Randstation	F081	MIXED	shecthedchy qoky chedy chary	shecthedchy choky chdy chary	Vorbereitungstransfer | einsetzen | überführen | Quellposten	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Vorbereitungstransfer — einsetzen — überführen — Quellposten.	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S012	B3	untere korbartige Gefäß-Randstation	F082	S	sor shedy	chor cheedy	Ansatz | kurz absetzen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: mit dem aus der Quelle überführten Posten weiter: Ansatz — kurz absetzen; Schluss.	Den Ansatz kurz absetzen lassen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S013	B3	untere korbartige Gefäß-Randstation	F083	MIXED	qokaiin chkain shcthey qokedy	okaiin chkain qcthey qokedy	bemessen | Anteil | kurz vorbereiten | kurz einwirken; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — Anteil — kurz vorbereiten — kurz einwirken; Schluss.	Einen Anteil bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S014	B3	untere korbartige Gefäß-Randstation	F084	LOW_DATA	okair sheedy	okair sheedy	Laufeinsatz | Langabsetzen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Laufeinsatz — Langabsetzen; Schluss.	In den Lauf einsetzen und länger absetzen lassen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S015	B3	untere korbartige Gefäß-Randstation	F085	LOW_DATA	lchedy	lchedy	abführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: abführen; Schluss.	Aus der Station abführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S016	B3	untere korbartige Gefäß-Randstation	F086|F087	LOW_DATA|LOW_DATA	lo qokchedy	lo okchedy	Abzug | einführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Abzug — einführen; Schluss.	Abziehen und in die nächste Station einführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S017	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F088	LOW_DATA	qokeedy	qokeedy	lange einwirken; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: lange einwirken; Schluss.	Länger einwirken lassen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S018	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F089	LOW_DATA	shedy	cheedy	kurz absetzen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: kurz absetzen; Schluss.	Kurz absetzen lassen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S019	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F090	LOW_DATA	qokshedy	qokshedy	Einsatzabsetzen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Einsatzabsetzen; Schluss.	Nach dem Einsatz absetzen lassen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S020	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F091	LOW_DATA	dal lchedy	al lchedy	dorthin | abführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dorthin — abführen; Schluss.	Dorthin führen und abführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S021	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F092|F093	S|S	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	okaiin checthy al chey aiin shedal shecthy chey al checthy dalchdy	bemessen | bereit | dorthin | dies | Sollmaß | am Ziel absetzen | Kurzvorbereitung | dies | dorthin | bereit | Zieltransfer; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	Den Posten bemessen und, sobald er bereit ist, dorthin bringen. Für den zweiten Zustand das Sollmaß am Ziel absetzen, kurz vorbereiten, den aktuellen Posten dorthin bringen, die Bereitschaft prüfen und den Zieltransfer schließen.	S_FRAME_TWO_STATE_READING
B3-S022	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F094	LOW_DATA	qotchedy	otchedy	Folgetransfer; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Folgetransfer; Schluss.	Zur folgenden Station übertragen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S023	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F095	LOW_DATA	lchedy	lchedy	abführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: abführen; Schluss.	Aus der Station abführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S024	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F096	LOW_DATA	tchedy	dchedy	überführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: überführen; Schluss.	Überführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S025	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F097	LOW_DATA	qokchdy	qokchdy	einführen; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: einführen; Schluss.	In die nächste Station einführen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S026	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F098|F099	CH|LOW_DATA	cheedar chldaiin chedy qokain checthy chealror solkeedy	cheedar chldaiin chdy okain checthy chealror olkeedy	Quelltransfer | Sollabsetzung | überführen | Anteil zugeben | bereit | Zielbereitung | lange sammeln; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Quelltransfer — Sollabsetzung — überführen — Anteil zugeben — bereit — Zielbereitung — lange sammeln; Schluss.	Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S027	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F100	LOW_DATA	qoteedy	qoteedy	lange Folgestufe; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: lange Folgestufe; Schluss.	Die folgende Stufe länger halten; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
B3-S028	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F101	LOW_DATA	qokeey qokedy	okeey qokedy	lange einwirken | kurz einwirken; Schluss	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: lange einwirken — kurz einwirken; Schluss.	Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE
