rank	clause_id	physical_page	register	events	instructions	phases	phase_ids	crosses_physical_line	end_reason	natural_paragraph_de
1	P915-C013	f55v	HERBAL	56	35	25	P925-P001|P925-P002|P925-P003|P925-P004|P925-P005|P925-P006|P925-P007|P925-P008|P925-P009|P925-P010|P925-P011|P925-P012|P925-P013|P925-P014|P925-P015|P925-P016|P925-P017|P925-P018|P925-P019|P925-P020|P925-P021|P925-P022|P925-P023|P925-P024|P925-P025	YES	LICENSED_DY_CLOSE	Nimm den aktuellen Posten nach Sollmaß in Arbeit: setze um. Dann nimm den bezeichneten Arbeitsgang in Arbeit: stelle ein. Führe ihn zur Ziel- oder Anschlussstelle und zur Innenstelle. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: gib zu (2×). Führe ihn entlang des Laufs. Dann nimm den aktuellen Posten in Arbeit: behandle. Arbeite kurz. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: setze an und setze um. Dann nimm den aktuellen Posten als Portion in Arbeit: gib zu. Dann nimm den aktuellen Posten in Arbeit: halte und setze an. Arbeite kurz. Dann nimm den Ansatz als Portion in Arbeit: entnimm. Dann nimm den aktuellen Posten in Arbeit: gib zu und setze um. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze ein und entnimm. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten von der Entnahmestelle aus dem bezeichneten Teil auf der zweiten Stufe in Arbeit: kennzeichne. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: stelle ein. Dann nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle nach Sollmaß in Arbeit: setze an (2×). Dann nimm den Teil und den aktuellen Posten von der Entnahmestelle aus dem bezeichneten Teil in Arbeit: stelle ein und führe den Gang aus. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten von der Entnahmestelle von der lokalen Stelle in Arbeit: setze an (3×) und gib zu (2×). Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten und den Ansatz von der lokalen Stelle nach Sollmaß als Portion in Arbeit: setze an und gib zu (2×). Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: wähle aus. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze an (2×). Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: stelle ein. Dann nimm den aktuellen Posten von der Entnahmestelle nach Sollmaß in Arbeit: gib zu (3×). Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: entnimm und führe den Gang aus. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: behandle. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang in Arbeit: arbeite damit weiter. Schließe den Schritt.
2	P915-C017	f56r	HERBAL	54	40	27	P925-P026|P925-P027|P925-P028|P925-P029|P925-P030|P925-P031|P925-P032|P925-P033|P925-P034|P925-P035|P925-P036|P925-P037|P925-P038|P925-P039|P925-P040|P925-P041|P925-P042|P925-P043|P925-P044|P925-P045|P925-P046|P925-P047|P925-P048|P925-P049|P925-P050|P925-P051|P925-P052	YES	PAGE_END_OPEN	Dann nimm den aktuellen Posten in Arbeit: stelle ein, setze an und gib zu. Dann nimm den bezeichneten Arbeitsgang in Arbeit: halte. Dann nimm den aktuellen Posten in Arbeit: entnimm (2×). Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: stelle ein (2×). Dann nimm den Ansatz und den aktuellen Posten in Arbeit: entnimm (2×). Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: stelle ein. Dann nimm den aktuellen Posten in Arbeit: kennzeichne. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze an, gib zu und entnimm. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: stelle bereit. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm, führe den Gang aus und wähle aus. Dann nimm den Ansatz in Arbeit: setze an. Dann nimm den bezeichneten Arbeitsgang in Arbeit: halte. Dann nimm den Teil, den aktuellen Posten und den Auszug in Arbeit: gib zu, entnimm (2×) und setze an (4×). Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: gib zu und entnimm. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang in Arbeit: wähle aus und entnimm. Dann nimm den aktuellen Posten in Arbeit: stelle ein (2×), entnimm und führe den Gang aus. Dann nimm den aktuellen Posten in Arbeit: stelle bereit. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: entnimm und führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: stelle bereit, führe den Gang aus und kennzeichne. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: gib zu, entnimm (2×) und setze an (2×). Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: wähle aus und entnimm. Arbeite kurz. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: halte und führe den Gang aus. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: setze an, entnimm (2×), gib zu und führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil in Arbeit: wähle aus und führe den Gang aus. Dann nimm den aktuellen Posten in Arbeit: gib zu. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: arbeite damit weiter.
3	P915-C002	f10r	HERBAL	53	29	21	P925-P053|P925-P054|P925-P055|P925-P056|P925-P057|P925-P058|P925-P059|P925-P060|P925-P061|P925-P062|P925-P063|P925-P064|P925-P065|P925-P066|P925-P067|P925-P068|P925-P069|P925-P070|P925-P071|P925-P072|P925-P073	YES	PAGE_END_OPEN	Nimm den aktuellen Posten in Arbeit: setze an. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm. Dann nimm den aktuellen Posten und den Auszug in Arbeit: stelle bereit (2×) und kennzeichne. Dann nimm den Ansatz in Arbeit: entnimm. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: stelle bereit (2×) und führe den Gang aus. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: stelle ein. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: setze an, gib zu und entnimm. Dann nimm den aktuellen Posten in Arbeit: stelle ein. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: stelle bereit. Dann nimm den Ansatz aus dem bezeichneten Teil als Portion in Arbeit: entnimm (2×). Führe ihn entlang des Laufs und zur Innenstelle. Dann nimm den Ansatz und den aktuellen Posten aus dem bezeichneten Teil von der Entnahmestelle nach Sollmaß in Arbeit: führe den Gang aus, gib zu und entnimm. Dann nimm den Ansatz in Arbeit: halte. Dann nimm den Ansatz in Arbeit: entnimm. Dann nimm den aktuellen Posten von der lokalen Stelle auf der angegebenen Stufe in Arbeit: gib zu. Dann nimm den aktuellen Posten und den Ansatz aus dem bezeichneten Teil nach Sollmaß in Arbeit: entnimm und führe den Gang aus (2×). Dann nimm den Ansatz und den aktuellen Posten in Arbeit: trenne. Dann nimm den Ansatz in Arbeit: stelle bereit. Dann nimm den aktuellen Posten als Portion auf der angegebenen Stufe in Arbeit: führe den Gang aus (2×), wähle aus und stelle ein. Dann nimm den Ansatz und den aktuellen Posten aus dem bezeichneten Teil in Arbeit: entnimm, führe den Gang aus, halte und stelle bereit. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle aus dem bezeichneten Teil nach Sollmaß in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten und den Ansatz nach Sollmaß in Arbeit: arbeite damit weiter.
4	P915-C004	f11r	HERBAL	52	29	23	P925-P074|P925-P075|P925-P076|P925-P077|P925-P078|P925-P079|P925-P080|P925-P081|P925-P082|P925-P083|P925-P084|P925-P085|P925-P086|P925-P087|P925-P088|P925-P089|P925-P090|P925-P091|P925-P092|P925-P093|P925-P094|P925-P095|P925-P096	YES	PAGE_END_OPEN	Nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: halte, führe den Gang aus (3×), stelle ein, wähle aus und stelle bereit. Dann nimm den Ansatz aus dem bezeichneten Teil in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten in Arbeit: gib zu und halte. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: stelle ein. Dann nimm den aktuellen Posten in Arbeit: stelle ein, setze an und gib zu. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: stelle bereit. Dann nimm den Ansatz und den aktuellen Posten aus dem bezeichneten Teil in Arbeit: gib zu und entnimm. Dann nimm den aktuellen Posten als Portion nach Sollmaß in Arbeit: entnimm (2×). Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil nach Sollmaß in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: gib zu. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: stelle ein. Dann nimm den Ansatz in Arbeit: halte (2×). Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: gib zu. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: stelle bereit. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: entnimm und führe den Gang aus (2×). Führe ihn in den nächsten Lauf. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: wähle aus und entnimm. Dann nimm den aktuellen Posten und den Ansatz in Arbeit: gib zu und entnimm. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: entnimm und führe den Gang aus. Führe ihn entlang des Laufs. Dann nimm den aktuellen Posten in Arbeit: stelle bereit. Dann nimm den bezeichneten Arbeitsgang in Arbeit: wähle aus. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: stelle bereit. Dann nimm den aktuellen Posten in Arbeit: arbeite damit weiter.
5	P915-C055	f75r	BIOLOGICAL	50	33	29	P925-P097|P925-P098|P925-P099|P925-P100|P925-P101|P925-P102|P925-P103|P925-P104|P925-P105|P925-P106|P925-P107|P925-P108|P925-P109|P925-P110|P925-P111|P925-P112|P925-P113|P925-P114|P925-P115|P925-P116|P925-P117|P925-P118|P925-P119|P925-P120|P925-P121|P925-P122|P925-P123|P925-P124|P925-P125	YES	LICENSED_DY_CLOSE	Dann nimm den aktuellen Posten in Arbeit: halte. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: halte. Arbeite kurz. Dann nimm den aktuellen Posten als Portion in Arbeit: setze an. Arbeite kurz. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: kennzeichne und halte. Arbeite kurz. Dann nimm den Ansatz und den aktuellen Posten in Arbeit: führe den Gang aus. Führe ihn in den nächsten Lauf. Dann nimm den aktuellen Posten als Portion in Arbeit: halte. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: setze an (2×) und führe den Gang aus. Dann nimm den aktuellen Posten und den Ansatz in Arbeit: halte. Führe ihn durch den Durchlass. Arbeite kurz. Dann nimm den Ansatz aus dem bezeichneten Teil von der Entnahmestelle in Arbeit: führe den Gang aus. Führe ihn in den nächsten Lauf und zur Innenstelle. Dann nimm den aktuellen Posten in Arbeit: halte. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den Ansatz und den aktuellen Posten in Arbeit: halte. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: gib zu. Dann nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: wähle aus. Dann nimm den aktuellen Posten in Arbeit: setze ein. Dann nimm den aktuellen Posten in Arbeit: gib zu und halte. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: setze an (2×). Führe ihn zur Ziel- oder Anschlussstelle. Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: wähle aus und halte. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: setze um und setze an. Führe ihn zur Innenstelle. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: setze an. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: fange auf (2×). Arbeite länger. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: wähle aus. Dann nimm den aktuellen Posten in Arbeit: stelle bereit. Dann nimm den Ansatz als Portion in Arbeit: wähle aus. Führe ihn in den nächsten Lauf. Dann nimm den aktuellen Posten in Arbeit: halte. Führe ihn durch den Durchlass. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Arbeite länger. Schließe den Schritt.
6	P915-C350	f88r	PHARMA	47	30	23	P925-P126|P925-P127|P925-P128|P925-P129|P925-P130|P925-P131|P925-P132|P925-P133|P925-P134|P925-P135|P925-P136|P925-P137|P925-P138|P925-P139|P925-P140|P925-P141|P925-P142|P925-P143|P925-P144|P925-P145|P925-P146|P925-P147|P925-P148	YES	NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY	Dann nimm den Ansatz und den aktuellen Posten aus dem bezeichneten Teil in Arbeit: halte, führe den Gang aus und stelle bereit. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus. Führe ihn durch den Durchlass. Arbeite kurz. Dann nimm den Ansatz und den aktuellen Posten aus dem bezeichneten Teil in Arbeit: halte (2×), entnimm (2×), stelle bereit und kennzeichne. Führe ihn zur Ziel- oder Anschlussstelle. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: halte und führe den Gang aus. Führe ihn zur Innenstelle. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: gib zu. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: entnimm. Arbeite kurz. Dann nimm den Ansatz in Arbeit: halte und gib zu. Arbeite kurz. Dann nimm den Ansatz in Arbeit: setze an. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle nach Sollmaß in Arbeit: wähle aus (2×). Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze an. Dann nimm den bezeichneten Arbeitsgang in Arbeit: wähle aus. Führe ihn zur Innenstelle. Dann nimm den Ansatz als Portion in Arbeit: führe den Gang aus (2×). Führe ihn zur Innenstelle. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an und führe den Gang aus. Führe ihn zur Innenstelle. Arbeite kurz. Dann nimm den Ansatz in Arbeit: entnimm. Arbeite länger. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: setze an und führe den Gang aus. Arbeite kurz. Dann nimm den Ansatz aus dem bezeichneten Teil von der Entnahmestelle in Arbeit: führe den Gang aus. Führe ihn zur Innenstelle. Dann nimm den Auszug und den aktuellen Posten in Arbeit: setze an. Arbeite kurz. Dann nimm den Auszug nach Sollmaß in Arbeit: wähle aus (2×). Führe ihn in den nächsten Lauf. Dann nimm den Auszug, den aktuellen Posten und den Ansatz aus dem bezeichneten Teil von der lokalen Stelle in Arbeit: setze an und führe den Gang aus. Führe ihn in den nächsten Lauf und zur Innenstelle. Arbeite vollständig und kurz. Dann nimm den Auszug und den Ansatz in Arbeit: führe den Gang aus. Führe ihn zur Innenstelle. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm. Arbeite länger. Dann nimm den aktuellen Posten und den Ansatz in Arbeit: gib zu. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: wähle aus. Führe ihn zur Innenstelle.
7	P915-C016	f56r	HERBAL	45	28	21	P925-P149|P925-P150|P925-P151|P925-P152|P925-P153|P925-P154|P925-P155|P925-P156|P925-P157|P925-P158|P925-P159|P925-P160|P925-P161|P925-P162|P925-P163|P925-P164|P925-P165|P925-P166|P925-P167|P925-P168|P925-P169	YES	LICENSED_DY_CLOSE	Nimm den aktuellen Posten in Arbeit: entnimm, führe den Gang aus und leite um. Dann nimm den Ansatz und den aktuellen Posten in Arbeit: entnimm (2×). Dann nimm den aktuellen Posten und den Ansatz in Arbeit: setze an, entnimm (3×) und gib zu (2×). Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: entnimm. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: halte und setze an. Dann nimm den aktuellen Posten in Arbeit: setze an (3×) und gib zu. Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: setze an und wähle aus. Dann nimm den Ansatz in Arbeit: entnimm (2×). Dann nimm den Ansatz in Arbeit: setze an. Dann nimm den Ansatz in Arbeit: behandle. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den Teil und den Ansatz in Arbeit: entnimm. Dann nimm den Teil und den aktuellen Posten nach Sollmaß in Arbeit: gib zu, entnimm und führe den Gang aus. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten in Arbeit: entnimm. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: gib zu. Arbeite länger. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: halte und führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: gib zu. Dann nimm den Ansatz in Arbeit: entnimm. Dann nimm den aktuellen Posten und den Teil in Arbeit: setze an (2×). Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm und führe den Gang aus. Führe ihn durch den Durchlass. Arbeite länger. Schließe den Schritt.
8	P915-C005	f13r	HERBAL	42	30	23	P925-P170|P925-P171|P925-P172|P925-P173|P925-P174|P925-P175|P925-P176|P925-P177|P925-P178|P925-P179|P925-P180|P925-P181|P925-P182|P925-P183|P925-P184|P925-P185|P925-P186|P925-P187|P925-P188|P925-P189|P925-P190|P925-P191|P925-P192	YES	LICENSED_DY_CLOSE	Nimm den Ansatz in Arbeit: stelle ein und halte. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus und setze ein. Dann nimm den bezeichneten Arbeitsgang in Arbeit: halte. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus und setze ein. Dann nimm den bezeichneten Arbeitsgang in Arbeit: halte. Dann nimm den Ansatz und den aktuellen Posten aus dem bezeichneten Teil in Arbeit: führe den Gang aus, setze ein (2×) und entnimm. Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil in Arbeit: entnimm. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: halte und gib zu. Dann nimm den aktuellen Posten in Arbeit: gib zu. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten und den Ansatz aus dem bezeichneten Teil nach Sollmaß in Arbeit: wähle aus (2×) und entnimm. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: halte. Dann nimm den bezeichneten Arbeitsgang in Arbeit: führe den Gang aus und wähle aus. Arbeite vollständig. Dann nimm den aktuellen Posten und den Ansatz in Arbeit: gib zu. Dann nimm den Ansatz in Arbeit: entnimm. Dann nimm den aktuellen Posten in Arbeit: stelle ein. Dann nimm den aktuellen Posten in Arbeit: gib zu (2×). Dann nimm den aktuellen Posten aus dem bezeichneten Teil von der Entnahmestelle in Arbeit: führe den Gang aus und stelle ein. Dann nimm den Ansatz in Arbeit: entnimm. Dann nimm den Ansatz aus dem bezeichneten Teil in Arbeit: halte und führe den Gang aus (2×). Dann nimm den aktuellen Posten in Arbeit: stelle ein. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: gib zu, setze ein (2×) und führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm. Dann nimm den bezeichneten Arbeitsgang in Arbeit: trenne. Schließe den Schritt.
9	P915-C354	f88r	PHARMA	41	22	16	P925-P193|P925-P194|P925-P195|P925-P196|P925-P197|P925-P198|P925-P199|P925-P200|P925-P201|P925-P202|P925-P203|P925-P204|P925-P205|P925-P206|P925-P207|P925-P208	YES	PAGE_END_OPEN	Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an (3×). Dann nimm den aktuellen Posten in Arbeit: halte. Arbeite länger. Dann nimm den Ansatz und den aktuellen Posten von der Entnahmestelle nach Sollmaß auf der zweiten Stufe in Arbeit: gib zu. Führe ihn in den nächsten Lauf. Dann nimm den Auszug und den aktuellen Posten in Arbeit: wähle aus. Führe ihn in den nächsten Lauf und durch den Durchlass. Arbeite kurz. Dann nimm den Ansatz von der Entnahmestelle in Arbeit: halte. Arbeite kurz. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: wähle aus. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den Ansatz und den aktuellen Posten in Arbeit: gib zu und setze an. Dann nimm den Auszug und den aktuellen Posten aus dem bezeichneten Teil in Arbeit: entnimm und führe den Gang aus. Führe ihn in den nächsten Lauf. Dann nimm den Ansatz und den aktuellen Posten in Arbeit: setze an, gib zu (2×) und entnimm. Führe ihn zur Ziel- oder Anschlussstelle. Arbeite vollständig. Dann nimm den Auszug in Arbeit: kennzeichne. Dann nimm den Auszug und den aktuellen Posten in Arbeit: stelle ein. Arbeite kurz. Dann nimm den Auszug und den Ansatz in Arbeit: setze an. Führe ihn in den nächsten Lauf. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: entnimm (2×), stelle ein und führe den Gang aus. Führe ihn zur Ziel- oder Anschlussstelle. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil von der Entnahmestelle in Arbeit: entnimm. Arbeite kurz. Dann nimm den Ansatz aus dem bezeichneten Teil in Arbeit: führe den Gang aus und gib zu. Arbeite kurz. Dann nimm den Auszug in Arbeit: arbeite damit weiter. Führe ihn zur Innenstelle.
10	P915-C001	f10r	HERBAL	39	26	17	P925-P209|P925-P210|P925-P211|P925-P212|P925-P213|P925-P214|P925-P215|P925-P216|P925-P217|P925-P218|P925-P219|P925-P220|P925-P221|P925-P222|P925-P223|P925-P224|P925-P225	YES	LICENSED_DY_CLOSE	Nimm den aktuellen Posten und den Ansatz aus dem bezeichneten Teil in Arbeit: setze ein, entnimm, führe den Gang aus (3×), stelle bereit (2×) und halte. Dann nimm den Ansatz und den aktuellen Posten in Arbeit: entnimm (2×). Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: setze ein (3×), entnimm (4×), führe den Gang aus (3×) und gib zu. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten in Arbeit: entnimm. Arbeite kurz. Dann nimm den Ansatz in Arbeit: stelle bereit und führe den Gang aus. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: entnimm und stelle ein. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm. Führe ihn entlang des Laufs. Dann nimm den aktuellen Posten in Arbeit: stelle ein und entnimm. Dann nimm den aktuellen Posten in Arbeit: setze an. Dann nimm den aktuellen Posten und den Ansatz nach Sollmaß in Arbeit: stelle ein (2×) und führe den Gang aus. Arbeite kurz. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: entnimm, führe den Gang aus und stelle bereit. Dann nimm den aktuellen Posten und den Ansatz in Arbeit: stelle ein. Dann nimm den aktuellen Posten und den Ansatz nach Sollmaß in Arbeit: wähle aus und entnimm. Dann nimm den aktuellen Posten in Arbeit: entnimm, stelle bereit (2×) und führe den Gang aus. Dann nimm den aktuellen Posten und den Ansatz nach Sollmaß in Arbeit: entnimm (2×) und stelle ein. Führe ihn durch den Durchlass. Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil auf der angegebenen Stufe in Arbeit: führe den Gang aus und kennzeichne. Dann nimm den bezeichneten Arbeitsgang in Arbeit: führe den Gang aus. Schließe den Schritt.
