event_id	phase_id	clause_id	physical_page	locus	surface	component_recipe	current_spoken_unit	current_reading_de
P912-E0264	P925-P001	P915-C013	f55v	f55v.5	daiin	AIIN	P917-I0171	Nach Sollmaß diesen Posten umsetzen.
P912-E0265	P925-P001	P915-C013	f55v	f55v.5	chedy	CHD+Y	P917-I0171	Nach Sollmaß diesen Posten umsetzen.
P912-E0266	P925-P002	P915-C013	f55v	f55v.5	talam	T+AL+AM_ADDR	P917-I0172	Einstellen zur Ziel- oder Anschlussstelle zur Innenstelle.
P912-E0267	P925-P003	P915-C013	f55v	f55v.6	ykaiin	Y+K+AIIN	P917-I0173	Nach Sollmaß diesen Posten zugeben.
P912-E0268	P925-P003	P915-C013	f55v	f55v.6	daiin	AIIN	P917-I0174	Nach Sollmaß diesen Posten zugeben entlang des Laufs.
P912-E0269	P925-P003	P915-C013	f55v	f55v.6	ykair	Y+K+AIR	P917-I0174	Nach Sollmaß diesen Posten zugeben entlang des Laufs.
P912-E0270	P925-P004	P915-C013	f55v	f55v.6	cheky	CHK+E+Y	P917-I0175	Diesen Posten kurz behandeln.
P912-E0271	P925-P005	P915-C013	f55v	f55v.6	daiiny	D_ADDR+AIIN+Y	P917-I0176	Aus diesem Teil nach Sollmaß diesen Posten ansetzen und umsetzen.
P912-E0272	P925-P005	P915-C013	f55v	f55v.7	okchd	OK+CHD	P917-I0176	Aus diesem Teil nach Sollmaß diesen Posten ansetzen und umsetzen.
P912-E0273	P925-P006	P915-C013	f55v	f55v.7	ykain	Y+K+AIN	P917-I0177	Als eine Portion diesen Posten zugeben.
P912-E0274	P925-P007	P915-C013	f55v	f55v.7	sheokey	SH+E+OK+E+Y	P917-I0178	Diesen Posten kurz halten und ansetzen.
P912-E0275	P925-P008	P915-C013	f55v	f55v.7	or	OR	P917-I0179	Als eine Portion den Ansatz entnehmen.
P912-E0276	P925-P008	P915-C013	f55v	f55v.7	ain	AIN	P917-I0179	Als eine Portion den Ansatz entnehmen.
P912-E0277	P925-P008	P915-C013	f55v	f55v.7	ch	CH	P917-I0179	Als eine Portion den Ansatz entnehmen.
P912-E0278	P925-P009	P915-C013	f55v	f55v.7	kchdy	K+CHD+Y	P917-I0180	Diesen Posten zugeben und umsetzen.
P912-E0279	P925-P010	P915-C013	f55v	f55v.7	pchal	P+CH+AL	P917-I0181	Einsetzen und entnehmen zur Ziel- oder Anschlussstelle.
P912-E0280	P925-P011	P915-C013	f55v	f55v.7	ar	AR	P917-I0182	Von der Entnahmestelle aus diesem Teil auf der zweiten Stufe diesen Posten kennzeichnen zur Ziel- oder Anschlussstelle.
P912-E0281	P925-P011	P915-C013	f55v	f55v.7	aldy	AL+D_ADDR+Y	P917-I0182	Von der Entnahmestelle aus diesem Teil auf der zweiten Stufe diesen Posten kennzeichnen zur Ziel- oder Anschlussstelle.
P912-E0282	P925-P011	P915-C013	f55v	f55v.7	dary	DA+R+Y	P917-I0182	Von der Entnahmestelle aus diesem Teil auf der zweiten Stufe diesen Posten kennzeichnen zur Ziel- oder Anschlussstelle.
P912-E0283	P925-P012	P915-C013	f55v	f55v.8	tar	T+AR	P917-I0183	Von der Entnahmestelle einstellen.
