phase_id	ranked_clause	clause_id	physical_page	register	phase_order	phase_type	instruction_ids	instructions	start_event	end_event	component_sequence	natural_phase_de
P925-P001	1	P915-C013	f55v	HERBAL	1	TRANSFER	P917-I0171	1	P912-E0264	P912-E0265	AIIN | CHD+Y	Nimm den aktuellen Posten nach Sollmaß in Arbeit: setze um.
P925-P002	1	P915-C013	f55v	HERBAL	2	EXECUTE	P917-I0172	1	P912-E0266	P912-E0266	T+AL+AM_ADDR	Dann nimm den bezeichneten Arbeitsgang in Arbeit: stelle ein. Führe ihn zur Ziel- oder Anschlussstelle und zur Innenstelle.
P925-P003	1	P915-C013	f55v	HERBAL	3	PREPARE	P917-I0173|P917-I0174	2	P912-E0267	P912-E0269	Y+K+AIIN | AIIN | Y+K+AIR	Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: gib zu (2×). Führe ihn entlang des Laufs.
P925-P004	1	P915-C013	f55v	HERBAL	4	CONDITION	P917-I0175	1	P912-E0270	P912-E0270	CHK+E+Y	Dann nimm den aktuellen Posten in Arbeit: behandle. Arbeite kurz.
P925-P005	1	P915-C013	f55v	HERBAL	5	TRANSFER	P917-I0176	1	P912-E0271	P912-E0272	D_ADDR+AIIN+Y | OK+CHD	Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: setze an und setze um.
P925-P006	1	P915-C013	f55v	HERBAL	6	PREPARE	P917-I0177	1	P912-E0273	P912-E0273	Y+K+AIN	Dann nimm den aktuellen Posten als Portion in Arbeit: gib zu.
P925-P007	1	P915-C013	f55v	HERBAL	7	CONDITION	P917-I0178	1	P912-E0274	P912-E0274	SH+E+OK+E+Y	Dann nimm den aktuellen Posten in Arbeit: halte und setze an. Arbeite kurz.
P925-P008	1	P915-C013	f55v	HERBAL	8	SELECT	P917-I0179	1	P912-E0275	P912-E0277	OR | AIN | CH	Dann nimm den Ansatz als Portion in Arbeit: entnimm.
P925-P009	1	P915-C013	f55v	HERBAL	9	TRANSFER	P917-I0180	1	P912-E0278	P912-E0278	K+CHD+Y	Dann nimm den aktuellen Posten in Arbeit: gib zu und setze um.
P925-P010	1	P915-C013	f55v	HERBAL	10	PREPARE	P917-I0181	1	P912-E0279	P912-E0279	P+CH+AL	Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze ein und entnimm. Führe ihn zur Ziel- oder Anschlussstelle.
P925-P011	1	P915-C013	f55v	HERBAL	11	CONDITION	P917-I0182	1	P912-E0280	P912-E0282	AR | AL+D_ADDR+Y | DA+R+Y	Dann nimm den aktuellen Posten von der Entnahmestelle aus dem bezeichneten Teil auf der zweiten Stufe in Arbeit: kennzeichne. Führe ihn zur Ziel- oder Anschlussstelle.
P925-P012	1	P915-C013	f55v	HERBAL	12	EXECUTE	P917-I0183	1	P912-E0283	P912-E0283	T+AR	Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: stelle ein.
P925-P013	1	P915-C013	f55v	HERBAL	13	TRANSFER	P917-I0184	1	P912-E0284	P912-E0284	CHD+Y	Dann nimm den aktuellen Posten in Arbeit: setze um.
P925-P014	1	P915-C013	f55v	HERBAL	14	PREPARE	P917-I0185|P917-I0186	2	P912-E0285	P912-E0286	OK+AIIN | OK+AR	Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle nach Sollmaß in Arbeit: setze an (2×).
P925-P015	1	P915-C013	f55v	HERBAL	15	EXECUTE	P917-I0187	1	P912-E0287	P912-E0291	OL | OT+AR | HO | AR | T+AL+O+D_ADDR+Y	Dann nimm den Teil und den aktuellen Posten von der Entnahmestelle aus dem bezeichneten Teil in Arbeit: stelle ein und führe den Gang aus. Führe ihn zur Ziel- oder Anschlussstelle.
