source_position	surface	joint_tuple_id	owner_code	microcycle	read_route	strict_composition_or_whole_card	atomic_reading_de	picture_argument_required	picture_supplied_argument	owner_expanded_reading_de	board_call_used	fluent_domain_noun_from_card
1	sho	2cc054357a929df85f64	H4	C1	COMPONENT_DIRECT	ENTRY_S+HO	Zutat	YES	H4_PICTURED_PLANT	Zutat der abgebildeten H4-Pflanze	NO	NO
2	or	7a4bb8136330ee4e6e56	H4	C1	COMPONENT_DIRECT	BARE+OR	Ansatz	YES	H4_PICTURED_PLANT	Ansatz zur abgebildeten H4-Pflanze	NO	NO
3	cheoar	807591efc3d3f7ddbfab	H4	C1	WHOLE_CARD_MEMORY	CHEOAR	Auszugnahme	YES	H4_PICTURED_PLANT	Aus dem H4-Pflanzenansatz einen Auszug nehmen	NO	NO
4	cheky	d904bf7b044dd3922781	H4	C1	WHOLE_CARD_MEMORY	CHEKY	Kurzwärme	YES	H4_PICTURED_PLANT	Den H4-Ansatz kurz wärmen	NO	NO
5	lcheey	5fca8fc3dee57e1d8c1f	H4	C2	WHOLE_CARD_MEMORY	LCHEEY	Klarabzug	YES	H4_PICTURED_PLANT	Den klaren Anteil des H4-Ansatzes abziehen	NO	NO
6	cphy	deb377381ceaf55ea310	H4	C2	WHOLE_CARD_MEMORY	CPHY	Nachseihen	YES	H4_PICTURED_PLANT	Den H4-Auszug nachseihen	NO	NO
7	checthy	e0b630cb1b5df5e7105b	H4	C2	COMPONENT_DIRECT	ENTRY_CHE+CTHY	Bereit	YES	H4_PICTURED_PLANT	Den H4-Auszug bereitstellen	NO	NO
8	dy	b921a237be883a820352	B3	C3	COMPONENT_DIRECT	ENTRY_D+Y	Diesposten	YES	B3_VISIBLE_BASIN_CONNECTION_STATION	Diesen Posten der B3-Station	NO	NO
9	daiin	2f1c5e56e8f0ff459065	B3	C3	COMPONENT_DIRECT	ENTRY_D+AIIN	Sollmaß	YES	B3_VISIBLE_BASIN_CONNECTION_STATION	Im Sollmaß der B3-Station	NO	NO
10	shckhy	2cc8bb3c2af19607888f	B3	C3	COMPONENT_DIRECT	ENTRY_SH+CKH+Y	durchleiten	YES	B3_VISIBLE_BASIN_CONNECTION_STATION	Durch die sichtbare B3-Verbindung leiten	NO	NO
11	qoky	276a7c2d74d1143446f4	B3	C3	COMPONENT_DIRECT	ENTRY_Q+OK+Y	Einsetzen	YES	B3_VISIBLE_BASIN_CONNECTION_STATION	In der sichtbaren B3-Station einsetzen	NO	NO
12	qokeey	0275fbf14e07935b0a45	B3	C4	COMPONENT_DIRECT	ENTRY_Q+OK+EE+Y	Langkontakt	YES	B3_VISIBLE_BASIN_CONNECTION_STATION	An der B3-Station länger in Kontakt halten	NO	NO
13	qokedy	7db18b2f0fb7ed0fcfd3	B3	C4	COMPONENT_DIRECT	ENTRY_Q+OK+E+DY	Kurzkontakt	YES	B3_VISIBLE_BASIN_CONNECTION_STATION	Kurz in Kontakt bringen und den B3-Schritt schließen	NO	NO
14	talam	e026af581c99322fbd46	B3	C4	WHOLE_CARD_MEMORY	TALAM	Verwahren	YES	B3_VISIBLE_BASIN_CONNECTION_STATION	Das Ergebnis der B3-Station verwahren	NO	NO
