action_case_id	page	locus	action_clause_id	action_clause_start	action_clause_end	action_clause_surfaces	action_ordinal	action_surface	action_gloss_de	right_clause_id	right_clause_start	right_clause_end	right_first_ordinal	right_first_surface	right_first_gloss_de	right_dispatch	right_confidence	prior_candidate_id	prior_candidate_decision	operation_agreement	degree_agreement	material_agreement	completion_agreement	result_role	competing_or_missing_patient	decision	decision_reason_de	portable_default	full_clause_then_first_item_exact	word_delta	status
A002	f104v	f104v.2	2	2	2	qoteed	2	qoteed	Auszug vollständig abkühlen und abziehen	3	3	5	3	chockhy	trockene Arzneizubereitung, Gradanfang	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Abkühlen und Abziehen erzeugen nicht den geschriebenen trockenen Gradanfang.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A003	f104v	f104v.2	4	6	6	qokamdy	6	qokamdy	ein Maß nehmen und erhitzen	5	7	10	7	otarar	Unteranteil I des Anteils I des kalten Ansatzes	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Erhitzen steht einem unmittelbar kalten Unteranteil gegenüber.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	7	10	7	ches	trockenes Drogenmaterial, Mittelstufe	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	OPEN_PARTIAL	Abmessen erklärt weder Trockenstand noch Mittelstufe des rechten Materials.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A005	f105r	f105r.2	4	11	11	odar	11	odar	Anteil I des Ansatzes abmessen	5	12	13	12	cheody	getrocknete Masse	NOMINAL_FINISHED_RESULT_STATE	HIGH	F001	HOLD_OPEN	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	RETAIN_PRIOR_HOLD	Der gemessene Ansatzanteil kann vor der Trockenmasse stehen; die Trocknung bleibt ungeschrieben.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A006	f105r	f105r.31	2	5	5	aiijy	5	aiijy	in drei Bündel abfüllen und schließen	3	6	13	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	UNRESOLVED	EXACT	RESULT_PRODUCT	LEFT_OPEN	HOLD_NEW	Abschluss passt; Abfüllen in drei Bündel und die Bündelzahl verschwinden im Kompositum.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A007	f105v	f105v.1	2	4	4	ykaiin	4	ykaiin	erhitze hiervon auf Stufe III	3	5	7	5	olpchedy	fertiges Holzextraktpulver	NOMINAL_FINISHED_RESULT_STATE	HIGH	F002	ADMIT_INHERITED	PRIOR_LOCAL_BINDING	EXACT	CURRENTLY_BOUND	RELATED	RESULT_PRODUCT	CURRENTLY_BOUND	REPLAY_ADMITTED	C012 bleibt durch den vorgeschalteten Holzpulver-Anker und die unmittelbare Ergebnislage gebunden.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A008	f105v	f105v.1	4	8	8	ypcheddy	8	ypcheddy	hieraus Pulver bis zur Mittelstufe trocknen	5	9	9	9	sairy	Samenanteil II, abgeschlossen	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	CONFLICT	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Getrocknetes Pulver wechselt ohne Brücke zu abgeschlossenem Samenanteil II.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A009	f105v	f105v.14	2	3	3	qokaiir	3	qokaiir	nimm den heißen Drogenanteil III	3	4	7	4	olpchedy	fertiges Holzextraktpulver	NOMINAL_FINISHED_RESULT_STATE	HIGH	F003	HOLD_OPEN	NONPRODUCTIVE	UNSPECIFIED	CONFLICT	UNSPECIFIED	RESULT_PRODUCT	NONE	RETAIN_PRIOR_HOLD	Nehmen produziert kein Holzextraktpulver; Drogenanteil und Holzpulver brechen sichtbar.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A010	f105v	f105v.14	4	8	8	odar	8	odar	Anteil I des Ansatzes abmessen	5	9	9	9	kard	erhitzter Drogenanteil I, abgezogen	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Abmessen erklärt weder Erhitzung noch Abziehen des rechten Anteils.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A012	f106r	f106r.23	2	2	2	qckhedy	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	3	3	10	3	dair	abgemessener Anteil II	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	CONFLICT	CONFLICT	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Aufbereitetes Arzneikompositum und abgemessener Anteil II teilen keinen geschriebenen Ergebniskopf.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
