rank	card_no	surface_example	component_parse	current_command_de	events_inside_awkward_instructions	next_question
1	PROC009	daiin	AIIN	das Maß setzen	20	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
2	PROC019	dy	Y	diesen Posten übernehmen	17	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
3	PROC013	chol	OL	den Posten fortsetzen	16	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
4	PROC008	oky	OK+Y	diesen Posten ansetzen	10	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
5	PROC042	chedy	CHD+Y	diesen Posten umsetzen	8	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
6	PROC055	dal	AL	die Zielstelle setzen	8	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
7	PROC120	lchedy	L+CHD+DY	den Posten führen und umsetzen und den Schritt schließen	8	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
8	PROC014	cthy	CTH+Y	diesen Posten bis bereit halten	7	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
9	PROC016	chor	OR	den Ansatz verwenden	7	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
10	PROC038	qokaiin	OK+AIIN	den Posten nach Maß ansetzen	7	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
11	PROC080	qokain	OK+AIN	eine Portion ansetzen	7	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
12	PROC048	okal	OK+AL	den Posten an der Zielstelle ansetzen	6	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
13	PROC003	char	AR	von dort nehmen	5	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
14	PROC092	okeey	OK+EE+Y	diesen Posten länger ansetzen	5	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
15	PROC078	shedy	SHED+DY	den Posten absetzen und den Schritt schließen	5	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
16	PROC031	shey	SH+EE+Y	diesen Posten länger halten	4	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
17	PROC052	cho	HO	die Gabe nehmen	4	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
18	PROC075	chckhy	CKH+Y	diesen Posten übernehmen	4	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
19	PROC011	qokchy	OK+Y	diesen Posten ansetzen	3	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
20	PROC069	kain	K+AIN	eine Portion zuführen	3	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
21	PROC100	qokeedy	OK+EE+DY	den Posten länger ansetzen und den Schritt schließen	3	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
22	PROC067	qokedy	OK+E+DY	den Posten kurz ansetzen und den Schritt schließen	3	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
23	PROC004	chty	T+Y	diesen Posten eintragen	2	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
24	PROC020	qotchor	OT+CH+OR	danach den Ansatz abziehen	2	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
25	PROC022	cholor	OL+OR	den Ansatz fortsetzen	2	Braucht diese Karte ein engeres Fachverb oder ist sie nur Argument/Verweis?
