instruction_id	page	record	source_statement_ids	source_position_ids	visible_event_ids	formula_units	single_card_units	idiomatic_instruction_de	reading_status	awkwardness_reason	end_type	crosses_owner_boundary	component_values_unchanged
I001	f10r	H1	H1-S001|H1-S002	SRC_E001|SRC_E002|SRC_E003|SRC_E004|SRC_E005|SRC_E006|SRC_E007|SRC_E008|SRC_E009|SRC_E010|SRC_E011|SRC_E012|SRC_E013|SRC_E014	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010|E011|E012|E013|E014	1	12	diesen Posten kurz abziehen; dann den Arbeitsgang ausführen; dann von dort weiterarbeiten; dann diesen Posten eintragen; dann das Arbeitsfach wählen; dann den Posten aus dem Lauf abziehen; dann danach diesen Posten eintragen und abziehen und fortsetzen; dann den Posten nach Maß ansetzen; dann diesen Posten kurz eintragen; dann diesen Posten ansetzen; dann danach den Posten abziehen und fortsetzen; dann damit fortfahren; dann diesen Posten bis bereit halten.	REPETITIVE_OPERATION	Mehrfaches ansetzen, fortsetzen, abziehen, eintragen verlangt wahrscheinlich ein engeres Fachverb.	RECORD_FINAL_OPEN	NO	YES
I002	f10r	H2	H2-S001|H2-S002|H2-S003	SRC_E015|SRC_E016|SRC_E017|SRC_E018|SRC_E019|SRC_E020|SRC_E021|SRC_E022|SRC_E023|SRC_E024|SRC_E025|SRC_E026|SRC_E027|SRC_E028|SRC_E029|SRC_E030|SRC_E031|SRC_E032|SRC_E033|SRC_E034|SRC_E035|SRC_E036|SRC_E037|SRC_E038	E015|E016|E017|E018|E019|E020|E021|E022|E023|E024|E025|E026|E027|E028|E029|E030|E031|E032|E033|E034|E035|E036|E037|E038	3	17	diesen Posten kurz abziehen; dann diesen Posten bis bereit halten; dann mit dem Ansatz arbeiten; dann das Maß setzen; dann diesen Posten bis bereit fortsetzen; dann den aktuellen Posten beibehalten; dann denselben Posten unter dem gesetzten Maß weiterführen; dann danach den Ansatz abziehen; dann mit dem Ansatz arbeiten; dann danach den Posten fortsetzen; dann damit fortfahren; dann mit dem Ansatz fortfahren; dann das vorgeschriebene Maß übernehmen; dann von dort weiterarbeiten; dann diesen Posten zuführen; dann mit dem Ansatz arbeiten; dann den Ansatz als aktuellen Posten übernehmen; dann den Posten Sollstufe zuführen; dann den aktuellen Posten beibehalten; dann den Arbeitsgang nach Maß abziehen.	REPETITIVE_OPERATION	Mehrfaches fortsetzen, zuführen, abziehen, übernehmen verlangt wahrscheinlich ein engeres Fachverb.	RECORD_FINAL_OPEN	NO	YES
I003	f11r	H3	H3-S001	SRC_E039|SRC_E040|SRC_E041|SRC_E042|SRC_E043|SRC_E044|SRC_E045	E039|E040|E041|E042|E043|E044|E045	0	7	den Posten eintragen und halten und fortsetzen; dann den Arbeitsgang an der Zielstelle halten; dann diesen Posten auswringen; dann diesen Posten nach Maß halten; dann diesen Posten hineingeben; dann diesen Posten länger halten; dann den Arbeitsgang eintragen und abziehen und den Schritt schließen.	REPETITIVE_OPERATION	Mehrfaches halten, eintragen verlangt wahrscheinlich ein engeres Fachverb.	COMMITTED_CLOSE	NO	YES
I004	f11r	H3	H3-S002|H3-S003|H3-S004	SRC_E046|SRC_E047|SRC_E048|SRC_E049|SRC_E050|SRC_E051|SRC_E052|SRC_E053|SRC_E054|SRC_E055	E046|E047|E048|E049|E050|E051|E052|E053|E054|E055	1	8	diesen Posten halten und eintragen; dann den Posten fortsetzen; dann den aktuellen Posten beibehalten; dann diesen Posten zuführen; dann den aktuellen Posten auf das Maß beziehen; dann danach diesen Posten übernehmen; dann den Posten ansetzen und fortsetzen; dann diesen Posten bis bereit halten; dann den aktuellen Posten beibehalten.	REPETITIVE_OPERATION	Mehrfaches fortsetzen, halten verlangt wahrscheinlich ein engeres Fachverb.	RECORD_FINAL_OPEN	NO	YES
I005	f55v	H4	H4-S001	SRC_E056|SRC_E057|SRC_E058|SRC_E059|SRC_E060	E056|E057|E058|E059|E060	0	5	den Posten nach Maß ansetzen; dann das vorgeschriebene Maß übernehmen; dann diesen Posten zuführen; dann diesen Posten zuführen; dann den Arbeitsgang ausführen und den Schritt schließen.	REPETITIVE_OPERATION	Mehrfaches zuführen verlangt wahrscheinlich ein engeres Fachverb.	COMMITTED_CLOSE	NO	YES
I006	f55v	H4	H4-S002|H4-S003	SRC_E061|SRC_E062|SRC_E063|SRC_E064|SRC_E065|SRC_E066|SRC_E067	E061|E062|E063|E064|E065|E066|E067	0	7	das vorgeschriebene Maß übernehmen; dann diesen Posten umsetzen; dann den Posten verwahren; dann diesen Posten nach Maß zuführen; dann den Arbeitsgang von dort kurz abziehen; dann diesen Posten länger wärmen; dann den Posten fortsetzen und den Schritt schließen.	GENERIC_OPERATION	Die Lesung benutzt noch generische Arbeitswörter: Arbeitsgang, führen, übernehmen.	COMMITTED_CLOSE	NO	YES
I007	f55v	H4	H4-S004	SRC_E068|SRC_E069|SRC_E070|SRC_E071|SRC_E072|SRC_E073	E068|E069|E070|E071|E072|E073	1	4	das vorgeschriebene Maß übernehmen; dann den Posten an der Zielstelle ansetzen; dann diesen Posten fortsetzen und eintragen; dann den Ansatz als aktuellen Posten übernehmen; dann eine Portion nehmen.	REPETITIVE_OPERATION	Mehrfaches übernehmen verlangt wahrscheinlich ein engeres Fachverb.	RECORD_FINAL_OPEN	NO	YES
I008	f56r	H5	H5-S001|H5-S002	SRC_E074|SRC_E075|SRC_E076|SRC_E077|SRC_E078|SRC_E079|SRC_E080|SRC_E081|SRC_E082|SRC_E083|SRC_E084|SRC_E085|SRC_E086	E074|E075|E076|E077|E078|E079|E080|E081|E082|E083|E084|E085|E086	0	13	die Gabe abziehen; dann die Gabe nehmen; dann die Zielstelle setzen; dann das vorgeschriebene Maß übernehmen; dann die Gabe nehmen; dann den Posten zuführen und fortsetzen; dann danach den Ansatz abziehen; dann diesen Posten ansetzen; dann die bezeichnete Stelle wählen; dann den Posten fortsetzen; dann diesen Posten übernehmen; dann diesen Posten ansetzen; dann den Arbeitsgang am Durchlass länger abziehen und den Schritt schließen.	REPETITIVE_OPERATION	Mehrfaches ansetzen, fortsetzen, abziehen, übernehmen verlangt wahrscheinlich ein engeres Fachverb.	COMMITTED_CLOSE	NO	YES
I009	f56r	H5	H5-S003|H5-S004|H5-S005|H5-S006	SRC_E087|SRC_E088|SRC_E089|SRC_E090|SRC_E091|SRC_E092|SRC_E093|SRC_E094|SRC_E095|SRC_E096|SRC_E097|SRC_E098|SRC_E099|SRC_E100	E087|E088|E089|E090|E091|E092|E093|E094|E095|E096|E097|E098|E099|E100	0	14	den Posten halten; dann die Gabe nehmen; dann diesen Posten kurz zuführen; dann diesen Posten ansetzen und ansetzen; dann diesen Posten ansetzen; dann den Arbeitsgang kurz ansetzen und abziehen; dann den Posten an der Zielstelle zuführen; dann die Gabe nehmen; dann diesen Posten ansetzen; dann die Gabe von dort zuführen; dann danach eine Portion nehmen; dann danach diesen Posten übernehmen; dann den Posten kurz zuführen und fortsetzen; dann das vorgeschriebene Maß übernehmen.	REPETITIVE_OPERATION	Mehrfaches ansetzen, zuführen, übernehmen verlangt wahrscheinlich ein engeres Fachverb.	RECORD_FINAL_OPEN	NO	YES
I010	f81v	B1	B1-S001	SRC_E101	E101	0	1	den Posten kurz ansetzen und den Schritt schließen.	SMOOTH	Die Folge ist mit dem jetzigen Werkstattwortschatz knapp lesbar.	COMMITTED_CLOSE	NO	YES
