instruction_id	record	unit_no	unit_type	unit_id	card_sequence	source_position_ids	visible_event_ids	surface_sequence	idiomatic_unit_de	component_values_unchanged	instruction_reading_status
I001	H1	1	SINGLE_CARD	PROC001	PROC001	SRC_E001	E001	dchey	diesen Posten kurz abziehen	YES	REPETITIVE_OPERATION
I001	H1	2	SINGLE_CARD	PROC002	PROC002	SRC_E002	E002	cthoor	den Arbeitsgang ausführen	YES	REPETITIVE_OPERATION
I001	H1	3	SINGLE_CARD	PROC003	PROC003	SRC_E003	E003	char	von dort weiterarbeiten	YES	REPETITIVE_OPERATION
I001	H1	4	SINGLE_CARD	PROC004	PROC004	SRC_E004	E004	chty	diesen Posten eintragen	YES	REPETITIVE_OPERATION
I001	H1	5	SINGLE_CARD	PROC005	PROC005	SRC_E005	E005	os	das Arbeitsfach wählen	YES	REPETITIVE_OPERATION
I001	H1	6	SINGLE_CARD	PROC006	PROC006	SRC_E006	E006	chair	den Posten aus dem Lauf abziehen	YES	REPETITIVE_OPERATION
I001	H1	7	SINGLE_CARD	PROC007	PROC007	SRC_E007	E007	otytchol	danach diesen Posten eintragen und abziehen und fortsetzen	YES	REPETITIVE_OPERATION
I001	H1	8	OBSERVED_PAIRING	WF06	PROC008+PROC009	SRC_E008|SRC_E009	E008|E009	oky daiin	den Posten nach Maß ansetzen	YES	REPETITIVE_OPERATION
I001	H1	9	SINGLE_CARD	PROC010	PROC010	SRC_E010	E010	etyd	diesen Posten kurz eintragen	YES	REPETITIVE_OPERATION
I001	H1	10	SINGLE_CARD	PROC011	PROC011	SRC_E011	E011	qokchy	diesen Posten ansetzen	YES	REPETITIVE_OPERATION
I001	H1	11	SINGLE_CARD	PROC012	PROC012	SRC_E012	E012	qotchol	danach den Posten abziehen und fortsetzen	YES	REPETITIVE_OPERATION
I001	H1	12	SINGLE_CARD	PROC013	PROC013	SRC_E013	E013	chol	damit fortfahren	YES	REPETITIVE_OPERATION
I001	H1	13	SINGLE_CARD	PROC014	PROC014	SRC_E014	E014	cthy	diesen Posten bis bereit halten	YES	REPETITIVE_OPERATION
I002	H2	1	SINGLE_CARD	PROC015	PROC015	SRC_E015	E015	ycheor	diesen Posten kurz abziehen	YES	REPETITIVE_OPERATION
I002	H2	2	SINGLE_CARD	PROC014	PROC014	SRC_E016	E016	cthy	diesen Posten bis bereit halten	YES	REPETITIVE_OPERATION
I002	H2	3	SINGLE_CARD	PROC016	PROC016	SRC_E017	E017	chor	mit dem Ansatz arbeiten	YES	REPETITIVE_OPERATION
I002	H2	4	SINGLE_CARD	PROC017	PROC017	SRC_E018	E018	cthaiin	das Maß setzen	YES	REPETITIVE_OPERATION
I002	H2	5	SINGLE_CARD	PROC018	PROC018	SRC_E019	E019	qoctholy	diesen Posten bis bereit fortsetzen	YES	REPETITIVE_OPERATION
I002	H2	6	SINGLE_CARD	PROC019	PROC019	SRC_E020	E020	dy	den aktuellen Posten beibehalten	YES	REPETITIVE_OPERATION
I002	H2	7	TEACH_FORMULA	WF05	PROC019+PROC009+PROC019	SRC_E021|SRC_E022|SRC_E023	E021|E022|E023	chy taiin shy	denselben Posten unter dem gesetzten Maß weiterführen	YES	REPETITIVE_OPERATION
I002	H2	8	SINGLE_CARD	PROC020	PROC020	SRC_E024	E024	qotchor	danach den Ansatz abziehen	YES	REPETITIVE_OPERATION
I002	H2	9	SINGLE_CARD	PROC016	PROC016	SRC_E025	E025	chor	mit dem Ansatz arbeiten	YES	REPETITIVE_OPERATION
I002	H2	10	SINGLE_CARD	PROC021	PROC021	SRC_E026	E026	otol	danach den Posten fortsetzen	YES	REPETITIVE_OPERATION
I002	H2	11	SINGLE_CARD	PROC013	PROC013	SRC_E027	E027	chol	damit fortfahren	YES	REPETITIVE_OPERATION
I002	H2	12	OBSERVED_PAIRING	WF09	PROC022+PROC013	SRC_E028|SRC_E029	E028|E029	cholor chol	mit dem Ansatz fortfahren	YES	REPETITIVE_OPERATION
I002	H2	13	SINGLE_CARD	PROC009	PROC009	SRC_E030	E030	daiin	das vorgeschriebene Maß übernehmen	YES	REPETITIVE_OPERATION
I002	H2	14	SINGLE_CARD	PROC003	PROC003	SRC_E031	E031	dar	von dort weiterarbeiten	YES	REPETITIVE_OPERATION
I002	H2	15	SINGLE_CARD	PROC023	PROC023	SRC_E032	E032	oykchor	diesen Posten zuführen	YES	REPETITIVE_OPERATION
I002	H2	16	SINGLE_CARD	PROC016	PROC016	SRC_E033	E033	shor	mit dem Ansatz arbeiten	YES	REPETITIVE_OPERATION
I002	H2	17	TEACH_FORMULA	WF04	PROC016+PROC019	SRC_E034|SRC_E035	E034|E035	chor chy	den Ansatz als aktuellen Posten übernehmen	YES	REPETITIVE_OPERATION
I002	H2	18	SINGLE_CARD	PROC024	PROC024	SRC_E036	E036	kaiiin	den Posten Sollstufe zuführen	YES	REPETITIVE_OPERATION
I002	H2	19	SINGLE_CARD	PROC019	PROC019	SRC_E037	E037	dy	den aktuellen Posten beibehalten	YES	REPETITIVE_OPERATION
I002	H2	20	SINGLE_CARD	PROC025	PROC025	SRC_E038	E038	chodaiin	den Arbeitsgang nach Maß abziehen	YES	REPETITIVE_OPERATION
I003	H3	1	SINGLE_CARD	PROC026	PROC026	SRC_E039	E039	tshol	den Posten eintragen und halten und fortsetzen	YES	REPETITIVE_OPERATION
I003	H3	2	SINGLE_CARD	PROC027	PROC027	SRC_E040	E040	schoal	den Arbeitsgang an der Zielstelle halten	YES	REPETITIVE_OPERATION
I003	H3	3	SINGLE_CARD	PROC028	PROC028	SRC_E041	E041	cfhy	diesen Posten auswringen	YES	REPETITIVE_OPERATION
I003	H3	4	SINGLE_CARD	PROC029	PROC029	SRC_E042	E042	shfydaiin	diesen Posten nach Maß halten	YES	REPETITIVE_OPERATION
I003	H3	5	SINGLE_CARD	PROC030	PROC030	SRC_E043	E043	cphy	diesen Posten hineingeben	YES	REPETITIVE_OPERATION
I003	H3	6	SINGLE_CARD	PROC031	PROC031	SRC_E044	E044	shey	diesen Posten länger halten	YES	REPETITIVE_OPERATION
I003	H3	7	SINGLE_CARD	PROC032	PROC032	SRC_E045	E045	tchody	den Arbeitsgang eintragen und abziehen und den Schritt schließen	YES	REPETITIVE_OPERATION
I004	H3	1	SINGLE_CARD	PROC033	PROC033	SRC_E046	E046	shoyty	diesen Posten halten und eintragen	YES	REPETITIVE_OPERATION
