dimension	value	count	component_ids	note	status
TOPOLOGY	ACTION_STATE_FORK_WITH_DOWNSTREAM_ACTION_CHAIN	1	M009	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ACTION_TO_TERMINAL_PRODUCT_AFTER_THREE_ATTRIBUTE_CARRIERS	1	M014	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ACTION_TO_THREE_ITEM_MATERIAL_QUALITY_DEGREE_RESULT	1	M013	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ACTION_WRITTEN_FINISHED_PORTION_PAIR	1	M012	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ACTION_WRITTEN_FINISHED_PREPARATION_PAIR	1	M010	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ACTION_WRITTEN_PROCESSED_MATERIAL_PAIR	1	M011	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	INPUT_ACTION_WRITTEN_RESULT_CHAIN	1	M002	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	1	M006	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	SERIAL_ACTION_OUTPUT_CHAIN_WITH_DELAYED_RESULT	1	M007	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	SINGLE_EDGE	4	M001|M003|M004|M005	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	SINGLE_EDGE_WITH_UNBOUND_QUANTITY_HULL	1	M008	current exact component topology	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
VARIABLE_BUNDLE_DECISION	ADMIT_C021	1	M014	A012 only	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
VARIABLE_BUNDLE_DECISION	LIVE_HOLD	8	NONE	all other candidates	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
SELECTED_LENGTH	ONE_ITEM	1	NONE	A043	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
SELECTED_LENGTH	TWO_ITEMS	5	NONE	all shorter prefixes	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
SELECTED_LENGTH	THREE_ITEMS	1	NONE	A014	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
SELECTED_LENGTH	FOUR_ITEMS	2	M014	A012 A024	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
POSITION_CLASS	EDGE_NODE	37	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010|M011|M012|M013|M014	unique occurrence nodes	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
POSITION_CLASS	HULL_ONLY_NOT_NODE	8	M007|M008|M009|M013|M014	three new C021 attributes	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
POSITION_CLASS	RENDER_ONLY_STRUCTURAL	0	NONE	none	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
STRUCTURAL_ROLE	CLAUSE_CLOSURE_NONNODE	1	M009	unchanged	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
GRAPH_COUNT	EDGE_INCIDENCE	43	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010|M011|M012|M013|M014	sum of incidences	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
GRAPH_COUNT	MINIMAL_HULL_POSITION	45	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010|M011|M012|M013|M014	sum of hull sizes	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
GRAPH_COUNT	RENDER_POSITION	45	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010|M011|M012|M013|M014	sum of render sizes	PASS_V81_9_VARIABLE_BUNDLES__1_NEW_C021_8_LIVE_HOLDS__20_EDGES_14_COMPONENTS__ZERO_WORD_DELTA
