record	page	record_kind	statements	resets	committed_cells	machine_start_object	natural_start_material_de	main_transformations_de	machine_final_object	natural_end_product_or_rest_de	natural_record_summary_de	linear_whole_process_claim
H1	f10r	OPEN_HERBAL_ARTICLE	2	1	0	PICTURED_PLANT_MATTER	sichtbarer Pflanzenteil	abnehmen, übertragen, Flüssigkeit ablaufen lassen, in einen Ansatz eintragen und nach Sollmaß beschicken	PREPARATION_BATCH	offener Pflanzenansatz	Von der ersten abgebildeten Pflanze wird ein Teil abgenommen, übertragen und in einen Ansatz eingearbeitet. Der Absatz fügt ein Sollmaß hinzu und bleibt als laufende Zubereitung offen.	LOCAL_ARTICLE_SEQUENCE
H2	f10r	OPEN_HERBAL_ARTICLE	3	1	0	PICTURED_PLANT_MATTER	weiterer Teil derselben abgebildeten Pflanze	abziehen, weiter vorbereiten und eine gemessene Zugabe einarbeiten	PREPARATION_BATCH	offener Pflanzenansatz	Ein weiterer Pflanzenteil wird abgezogen und im bestehenden Ansatz weiterbearbeitet. Danach kommt eine gemessene Zugabe hinzu; der Ansatz bleibt offen für die nächste Arbeitsstufe.	LOCAL_ARTICLE_SEQUENCE
H3	f11r	OPEN_HERBAL_ARTICLE	4	2	1	PICTURED_PLANT_MATTER	Material der abgebildeten Blütenpflanze	eintragen, halten, auswringen, ziehen lassen und weitere Mengen zugeben	PREPARATION_BATCH	offener Blütenpflanzenansatz	Das Blütenmaterial wird eingetragen, gehalten, ausgewrungen und ziehen gelassen. Die erste lange Folge schließt, danach werden weitere gemessene Mengen in den Pflanzenansatz gegeben; der Artikel endet offen.	LOCAL_ARTICLE_SEQUENCE
H4	f55v	OPEN_HERBAL_ARTICLE	4	3	2	PICTURED_PLANT_MATTER	Material der breitblättrigen Pflanze	bis Sollmaß beschicken, Portion abmessen, verwahren, temperieren und anlegen	PREPARATION_BATCH	offener Ansatz mit Anwendungsportion	Das Pflanzenmaterial wird bis zum Sollmaß beschickt. Eine Portion wird abgemessen und verwahrt, eine weitere temperiert; zuletzt wird Material an einer bildlich bezeichneten Stelle angelegt.	LOCAL_ARTICLE_SEQUENCE
H5	f56r	OPEN_HERBAL_ARTICLE	6	2	1	PICTURED_PLANT_MATTER	Material der mehrköpfigen Pflanze	Ansatz abziehen, Portion anlegen und weiterführen, weitere Pflanzenanteile und Mengen zugeben	PREPARATION_BATCH	offener Pflanzenansatz	Aus dem Pflanzenstoff wird ein Ansatz abgezogen. Eine Portion wird angelegt und weitergeführt; danach werden weitere Pflanzenanteile und eine gemessene Portion in den laufenden Ansatz gegeben.	LOCAL_ARTICLE_SEQUENCE
B1	f81v	CELLULAR_BASIN_REGISTER	21	18	17	WORKING_LIQUID	Flüssigkeit im gemeinsamen Becken	beschicken, durchleiten, kühlen, waschen, umschöpfen, anwenden, absetzen und auffangen	WORKING_LIQUID	offene Beckenflüssigkeit an einer Zielstelle	Ein gemeinsames Becken wird in 21 kurzen Arbeitszellen beschrieben. Die Flüssigkeit wird gemessen, geführt, gekühlt, gewaschen, umgeschöpft, stellenweise angewendet und abgesetzt; 17 Zellen schließen, die letzte hält nur eine Zielstelle offen.	NO
B2	f82r	CELLULAR_MULTI_STATION_REGISTER	22	22	19	WORKING_LIQUID	Flüssigkeit in oberem Becken, Handgerät, unterem Becken und Randstationen	weitergeben, anlegen, einwirken, ruhen, abführen, umfüllen, kühlen und absetzen	TARGETED_TRANSFER_PORTION	geschlossene Zielportion an den Randstationen	Vier sichtbare Stationsgruppen liefern 22 weitgehend selbständige Zellen. Oben wird Flüssigkeit weitergegeben und angelegt, am Handgerät ruht sie, unten wird sie abgeleitet, und an den Randstationen wirkt, kühlt und setzt sie sich ab; 19 Zellen schließen.	NO
B3	f83r	CELLULAR_VESSEL_APPLICATION_REGISTER	34	32	31	WORKING_LIQUID	Arbeitsflüssigkeit, Gefäßansätze, getrennte Portionen und Figurenpaar-Anwendungen	auffangen, temperieren, messen, umfüllen, absetzen, weiterleiten und anwenden	APPLICATION_CHARGE	geschlossene Anwendungsladung	Die 34 Zellen wechseln sichtbar zwischen Fächerstation, zwei Gefäßen, getrenntem Zwischenbereich und Figurenpaar. Sie messen, temperieren, halten, setzen ab und führen Portionen weiter; 31 Zellen schließen. Das Ende ist eine verbuchte Anwendungsladung, kein globaler Kreislauf.	NO
B4	f83r	CELLULAR_APPLICATION_AND_STATION_REGISTER	16	16	16	APPLICATION_CHARGE	Anwendung am Figurenpaar sowie Flüssigkeit an linker und rechter Hauptstation	einwirken, anlegen, festbinden, durch einen Lauf halten, messen, absetzen und weiterführen	TARGETED_TRANSFER_PORTION	geschlossene Zielportion	Alle 16 Zellen schließen. Die erste Gruppe behandelt eine Anwendung am Figurenpaar mit Halten, Anlegen und Festbinden; danach folgen zwei technische Stationen mit Messen, Durchlass, Absetzen und Weiterführung zu einer Zielportion.	NO
B5	f83r	TECHNICAL_APPENDIX	3	3	2	WORKING_LIQUID	Flüssigkeit der linken Nachtragsstation	weiterführen, Portion einfüllen, ablagern und erneut beschicken	WORKING_LIQUID	offene Stationsflüssigkeit	Der linke Nachtrag enthält drei technische Zellen. Zwei führen und schließen Portionen; die letzte lagert eine Flüssigkeit ab, führt sie weiter und beschickt den lokalen Bestand, bleibt aber offen.	LOCAL_ARTICLE_SEQUENCE
B6	f83r	TECHNICAL_APPENDIX	1	1	0	WORKING_LIQUID	Flüssigkeit im rechten S-Lauf	auffangen, beschicken, temperieren und zur nächsten Stelle führen	TARGETED_TRANSFER_PORTION	offene Zielportion	Der rechte Nachtrag ist eine einzige offene Folge: Flüssigkeit wird aufgefangen, beschickt, temperiert und als Zielportion weitergeführt.	LOCAL_ARTICLE_SEQUENCE
