headword_id	headword_de	exact_card_types	occurrences	surface_families	exact_readings_de	codebook_rule	variant_menu_de	apprentice_mnemonic_de
W01_ZUSATZ	ZUSATZ	1	2	dl	Zusatz	offene gelernte Gegenstandskarte	allgemeiner Zusatz	Gib den Zusatz zum laufenden Ansatz.
W02_GEFAESS	GEFAESS	3	3	os;ly;oykchor	Gefaess|Gefaess|Gefaess	drei gelernte Gefaesskarten	allgemein | Empfaenger | Zubereitungsgefaess	Das Bild und die Stelle waehlen die Gefaessform.
W03_KUEHLEN	KUEHLEN	2	2	tchody;ody	kalt stellen|kühlen	gelernter Schlussbefehl	fertiger Klarauszug | abgemessene Portion	Kuehle den bezeichneten Posten und schliesse.
W04_ROH	ROH	1	1	qekey	roh	offene gelernte Zustandskarte	unbehandelter Ausgangsposten	Nimm den Posten im rohen Zustand.
W05_TUCH	TUCH	1	2	dain	Tuch	offene gelernte Gegenstandskarte	allgemeines Arbeitstuch	Lege das Tuch am bezeichneten Posten ein.
W06_SCHWENKEN	SCHWENKEN	1	1	sshkchdy	schwenken	gelernter Schlussbefehl	einmal schwenken oder bewegen	Schwenke den Posten und schliesse.
W07_PFLANZENTEIL	PFLANZENTEIL	2	2	dchey;sh	Wurzel|Staengel	zwei bildgebundene Karten	Wurzel | Staengel	Die Zeichnung waehlt Wurzel oder Staengel.
W08_WASCHEN	WASCHEN	2	2	rshedy;lkedy	Waschgang|nachwaschen	gelernter Schlussbefehl	Waschgang | nachwaschen	Fuehre den Waschgang aus und schliesse.
W09_AUFTRAGEN	AUFTRAGEN	1	1	cheeckhody	auftragen	gelernter Schlussbefehl	bereiteten Posten auftragen	Trage den Posten auf und schliesse.
W10_FUELLEN	FUELLEN	1	1	ytey	fuellen	offene gelernte Handlungskarte	aktives Gefaess oder Station fuellen	Fuelle den bezeichneten Empfaenger.
W11_KLARLAUF	KLARLAUF	1	4	cheey|shey	Klarlauf	wiederkehrende gelernte Produktkarte	klarer Ablauf oder Klarauszug	Nimm den klaren Lauf als neuen Posten.
W12_TRENNEN	TRENNEN	2	2	cfhy;cphy	auswringen|nachseihen	gepaart gelernte Handlungskarten	auswringen | nachseihen	Trenne zuerst grob und danach fein.
W13_FRISCHWASSER	FRISCHWASSER	1	1	dshedy	Frischwasser	gelernter Schlussbefehl	Frischwasser zugeben und schliessen	Gib Frischwasser zu und schliesse.
W14_VORIGES	VORIGES	1	2	dchol|schol	Voriges	wiederkehrende gelernte Verweiskarte	vorigen Posten wiederaufnehmen	Nimm den im Record zuletzt aktiven Posten.
W15_TEILEN	TEILEN	1	1	ches	teilen	offene gelernte Handlungskarte	aktuellen Posten teilen	Teile den aktuellen Posten.
W16_BEFESTIGEN	BEFESTIGEN	1	1	qokylddy	befestigen	gelernter Schlussbefehl	aktuellen Posten befestigen und schliessen	Befestige den Posten und schliesse.
