exercise	headword_id	headword_de	statement_id	page	source_instruction_de	target_surface_sequence	target_architecture_sequence	focus_surface_present	compare_variants	variant_menu_de	dictation_task_de	readback_answer_de
U01	W01_ZUSATZ	ZUSATZ	B1-S002	f81v	Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse.	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	P P P P P P P P P p W P P P P P P P P	dl	dl	allgemeiner Zusatz	Schreibe die Anweisung und markiere die Ganzkarte ZUSATZ vor dem Vergleich.	Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse.
U02	W02_GEFAESS	GEFAESS	H1-S001	f10r	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	dchey cthoor char chty os chair otytchol oky daiin etyd	W P P P W P p P P P	os	os;ly;oykchor	allgemein | Empfaenger | Zubereitungsgefaess	Schreibe die Anweisung und markiere die Ganzkarte GEFAESS vor dem Vergleich.	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.
U03	W03_KUEHLEN	KUEHLEN	H3-S001	f11r	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	tshol schoal cfhy shfydaiin cphy shey tchody	p P W P W W W	tchody	tchody;ody	fertiger Klarauszug | abgemessene Portion	Schreibe die Anweisung und markiere die Ganzkarte KUEHLEN vor dem Vergleich.	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.
U04	W04_ROH	ROH	B6-S001	f83r	Sammle den rohen Posten laenger, fuehre diesen Posten dorthin, stelle das Sollmass ein, lege das Tuch ein und fuehre den Posten zum Endziel.	solkeey qekey raly ol daiin ol dain chey ldalor	P W P P P P W P P	qekey	qekey	unbehandelter Ausgangsposten	Schreibe die Anweisung und markiere die Ganzkarte ROH vor dem Vergleich.	Sammle den rohen Posten laenger, fuehre diesen Posten dorthin, stelle das Sollmass ein, lege das Tuch ein und fuehre den Posten zum Endziel.
U05	W05_TUCH	TUCH	B4-S005	f83r	Lege das Tuch ein, setze um, setze länger an und schließe	dain chedy qokeedy	W P P	dain	dain	allgemeines Arbeitstuch	Schreibe die Anweisung und markiere die Ganzkarte TUCH vor dem Vergleich.	Lege das Tuch ein, setze um, setze länger an und schließe
U06	W06_SCHWENKEN	SCHWENKEN	B1-S003	f81v	Führe weiter, schwenke den Posten und schließe	qol sshkchdy	P W	sshkchdy	sshkchdy	einmal schwenken oder bewegen	Schreibe die Anweisung und markiere die Ganzkarte SCHWENKEN vor dem Vergleich.	Führe weiter, schwenke den Posten und schließe
U07	W07_PFLANZENTEIL	PFLANZENTEIL	H5-S003	f56r	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	sh cho kchey qokokchy	W P P P	sh	dchey;sh	Wurzel | Staengel	Schreibe die Anweisung und markiere die Ganzkarte PFLANZENTEIL vor dem Vergleich.	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.
U08	W08_WASCHEN	WASCHEN	B2-S019	f82r	Führe den Waschgang aus und schließe.	rshedy	W	rshedy	rshedy;lkedy	Waschgang | nachwaschen	Schreibe die Anweisung und markiere die Ganzkarte WASCHEN vor dem Vergleich.	Führe den Waschgang aus und schließe.
U09	W09_AUFTRAGEN	AUFTRAGEN	H5-S002	f56r	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	schol choy choky cheeckhody	W P P W	cheeckhody	cheeckhody	bereiteten Posten auftragen	Schreibe die Anweisung und markiere die Ganzkarte AUFTRAGEN vor dem Vergleich.	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.
U10	W10_FUELLEN	FUELLEN	B1-S015	f81v	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	ytey okchedy	W P	ytey	ytey	aktives Gefaess oder Station fuellen	Schreibe die Anweisung und markiere die Ganzkarte FUELLEN vor dem Vergleich.	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
U11	W11_KLARLAUF	KLARLAUF	B2-S010	f82r	Setze laenger an, fuehre den Posten durch den Auslass und nimm den Klarlauf.	qokeey qoky ls cheey	P P p W	cheey	cheey|shey	klarer Ablauf oder Klarauszug	Schreibe die Anweisung und markiere die Ganzkarte KLARLAUF vor dem Vergleich.	Setze laenger an, fuehre den Posten durch den Auslass und nimm den Klarlauf.
U12	W12_TRENNEN	TRENNEN	H3-S001	f11r	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	tshol schoal cfhy shfydaiin cphy shey tchody	p P W P W W W	cfhy|cphy	cfhy;cphy	auswringen | nachseihen	Schreibe die Anweisung und markiere die Ganzkarte TRENNEN vor dem Vergleich.	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.
U13	W13_FRISCHWASSER	FRISCHWASSER	B2-S007	f82r	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	dshedy	W	dshedy	dshedy	Frischwasser zugeben und schliessen	Schreibe die Anweisung und markiere die Ganzkarte FRISCHWASSER vor dem Vergleich.	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe
