statement_id	record_unit_id	page	loci	lesson_level	surface_sequence	architecture_sequence	whole_headword_ids	whole_card_count	card_reading_sequence_de	source_instruction_de	copy_instruction_de	readback_instruction_de	teaching_note_en
H1-S001	H1	f10r	f10r.2	L3_CODEBOOK	dchey cthoor char chty os chair otytchol oky daiin etyd	W P P P W P p P P P	W07_PFLANZENTEIL|W02_GEFAESS	2	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
H1-S002	H1	f10r	f10r.5	L1_PRODUCTIVE	qokchy qotchol chol cthy	P P P P	NONE	0	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H2-S001	H2	f10r	f10r.6	L1_PRODUCTIVE	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	P P P P P P P P P	NONE	0	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H2-S002	H2	f10r	f10r.8	L1_PRODUCTIVE	qotchor chor otol chol cholor chol daiin dar	P P P P P P P P	NONE	0	Folgeansatz -> Ansatz -> danach fortsetzen -> fortsetzen -> Fortsetzungsansatz -> fortsetzen -> Sollmaß -> daraus	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H2-S003	H2	f10r	f10r.9	L3_CODEBOOK	oykchor shor chor chy kaiiin dy chodaiin	W P P P P P P	W02_GEFAESS	1	Gefaess -> Ansatz -> Ansatz -> dieser Posten -> Weichstufe -> dieser Posten -> Zutatenmaß	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
H3-S001	H3	f11r	f11r.1	L3_CODEBOOK	tshol schoal cfhy shfydaiin cphy shey tchody	p P W P W W W	W12_TRENNEN|W11_KLARLAUF|W03_KUEHLEN	4	Zutat entnehmen -> Zutat dorthin -> auswringen -> Standmaß -> nachseihen -> Klarlauf -> kalt stellen [SCHLUSS]	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
H3-S002	H3	f11r	f11r.1	L1_PRODUCTIVE	shoyty	P	NONE	0	Zutatenteil	Lege einen Zutatenteil zurueck.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H3-S003	H3	f11r	f11r.4	L3_CODEBOOK	dchol chy kchy dy daiin	W P P P P	W14_VORIGES	1	Voriges -> dieser Posten -> diesen Posten bearbeiten -> dieser Posten -> Sollmaß	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
H3-S004	H3	f11r	f11r.7	L1_PRODUCTIVE	qotchy okchol cthy dy	P P P P	NONE	0	Folgeposten -> Fortsetzung einsetzen -> bereit -> dieser Posten	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H4-S001	H4	f55v	f55v.5	L3_CODEBOOK	qokaiin chaiin ykain ykan ody	P P P P W	W03_KUEHLEN	1	auf Sollmaß einstellen -> Sollmaß -> Postenportion -> dieser Anteil -> kühlen [SCHLUSS]	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
H4-S002	H4	f55v	f55v.5	L2_BOUND_CARRIERS	daiin chedy talam	P P p	NONE	0	Sollmaß -> umsetzen -> am Ziel verwahren	Setze den Posten nach Sollmass um und verwahre ihn am Ziel.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
H4-S003	H4	f55v	f55v.11	L1_PRODUCTIVE	ykaiin cheoar cheeky oldy	P P P P	NONE	0	Postenmaß -> Auszug entnehmen -> länger wärmen -> fortsetzen [SCHLUSS]	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H4-S004	H4	f55v	f55v.11	L1_PRODUCTIVE	aiin okal oltchy or y orain	P P P P P P	NONE	0	Sollmaß -> dort ansetzen -> bereit weiterfuehren -> Ansatz -> dieser Posten -> Ansatzportion	Stelle das Sollmass ein, setze dort an, fuehre den bereiten Ansatz weiter und nimm davon eine Portion.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H5-S001	H5	f56r	f56r.5|f56r.7	L1_PRODUCTIVE	chochor cho chodaly daiin sho kchol otchor choky dal	P P P P P P P P P	NONE	0	Zutatenansatz -> Zutat -> Zutat dorthin -> Sollmaß -> Zutat -> weiter bearbeiten -> Folgeansatz -> Posten ansetzen -> dorthin	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmass, bearbeite die naechste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
