namespace_id	page	page_role	locus_count	group_count	common_core_groups	other_known_prose_groups	local_label_groups	teaching_rule
F67_LEFT_WHEEL_NS	f67r2	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	50	121	25	7	89	point to this namespace; reuse known cards and copy remaining local labels
F67_PAIRED_LEGEND_QUARANTINE_NS	f67r2	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	1	13	1	0	12	point to this namespace; reuse known cards and copy remaining local labels
F67_RIGHT_WHEEL_NS	f67r2	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	23	56	3	3	50	point to this namespace; reuse known cards and copy remaining local labels
F68_CENTRAL_LEGEND_QUARANTINE_NS	f68r1	MEHRPANEEL_STERNATLAS_MIT_28_LOKALEN_STERNPLAETZEN	1	5	1	0	4	point to this namespace; reuse known cards and copy remaining local labels
F68_CENTRE_KEY_QUARANTINE_NS	f68r1	MEHRPANEEL_STERNATLAS_MIT_28_LOKALEN_STERNPLAETZEN	1	1	0	0	1	point to this namespace; reuse known cards and copy remaining local labels
F68_LEFT_PANEL_HEADER_NS	f68r1	MEHRPANEEL_STERNATLAS_MIT_28_LOKALEN_STERNPLAETZEN	1	9	0	0	9	point to this namespace; reuse known cards and copy remaining local labels
F68_LOCAL_STAR_SLOT_NS	f68r1	MEHRPANEEL_STERNATLAS_MIT_28_LOKALEN_STERNPLAETZEN	28	28	1	2	25	point to this namespace; reuse known cards and copy remaining local labels
F68_MIDDLE_PANEL_HEADER_NS	f68r1	MEHRPANEEL_STERNATLAS_MIT_28_LOKALEN_STERNPLAETZEN	1	9	1	1	7	point to this namespace; reuse known cards and copy remaining local labels
F68_MULTIPANEL_HEADER_QUARANTINE_NS	f68r1	MEHRPANEEL_STERNATLAS_MIT_28_LOKALEN_STERNPLAETZEN	4	5	0	0	5	point to this namespace; reuse known cards and copy remaining local labels
F68_RIGHT_PANEL_HEADER_NS	f68r1	MEHRPANEEL_STERNATLAS_MIT_28_LOKALEN_STERNPLAETZEN	1	8	1	1	6	point to this namespace; reuse known cards and copy remaining local labels
F69_LEFT_WHEEL_NS	f69v	DREI_GETRENNTE_HETEROGENE_RAEDER_MIT_28_LOKALEN_LINKEN_PLAETZEN	29	73	12	4	57	point to this namespace; reuse known cards and copy remaining local labels
F69_MIDDLE_WHEEL_NS	f69v	DREI_GETRENNTE_HETEROGENE_RAEDER_MIT_28_LOKALEN_LINKEN_PLAETZEN	1	38	17	2	19	point to this namespace; reuse known cards and copy remaining local labels
F69_RIGHT_WHEEL_NS	f69v	DREI_GETRENNTE_HETEROGENE_RAEDER_MIT_28_LOKALEN_LINKEN_PLAETZEN	1	29	4	3	22	point to this namespace; reuse known cards and copy remaining local labels
