master_card_id	registered_surfaces_seen	portable_value_de	curriculum_layer	astro_group_count	pages	namespaces	value_invariant
MC002	okeey	lange einwirken	KNOWN_PROSE_CARD_IN_ASTRO	4	f68r1|f69v	F68_RIGHT_PANEL_HEADER_NS|F69_LEFT_WHEEL_NS	YES
MC007	okey	kurz einwirken	KNOWN_PROSE_CARD_IN_ASTRO	2	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	YES
MC017	okain	Anteil zugeben	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_LEFT_WHEEL_NS	YES
MC019	oldy	fertig	THREE_REGISTER_COMMON_CORE	1	f67r2	F67_RIGHT_WHEEL_NS	YES
MC026	oky|choky	einsetzen	THREE_REGISTER_COMMON_CORE	2	f68r1|f69v	F68_CENTRAL_LEGEND_QUARANTINE_NS|F69_MIDDLE_WHEEL_NS	YES
MC034	cho	weitere Zutat	KNOWN_PROSE_CARD_IN_ASTRO	2	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_RIGHT_WHEEL_NS	YES
MC039	daiin|aiin|saiin	Sollwert	THREE_REGISTER_COMMON_CORE	11	f67r2|f69v	F67_LEFT_WHEEL_NS|F67_PAIRED_LEGEND_QUARANTINE_NS|F69_MIDDLE_WHEEL_NS	YES
MC040	okal	dorthin einsetzen	THREE_REGISTER_COMMON_CORE	1	f67r2	F67_LEFT_WHEEL_NS	YES
MC053	otol	Fortgang	KNOWN_PROSE_CARD_IN_ASTRO	1	f68r1	F68_LOCAL_STAR_SLOT_NS	YES
MC055	dar|sar|char	davon	THREE_REGISTER_COMMON_CORE	5	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	YES
MC059	dain	Einlage	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_LEFT_WHEEL_NS	YES
MC063	oteey	Langfolge	KNOWN_PROSE_CARD_IN_ASTRO	2	f69v	F69_RIGHT_WHEEL_NS	YES
MC067	otchdy	Nachtransfer; Schluss	KNOWN_PROSE_CARD_IN_ASTRO	1	f68r1	F68_LOCAL_STAR_SLOT_NS	YES
MC074	chdy	überführen	THREE_REGISTER_COMMON_CORE	1	f69v	F69_RIGHT_WHEEL_NS	YES
MC080	or|sor	Ansatz	THREE_REGISTER_COMMON_CORE	2	f67r2	F67_LEFT_WHEEL_NS	YES
MC095	sheey	Langhalt	KNOWN_PROSE_CARD_IN_ASTRO	1	f69v	F69_MIDDLE_WHEEL_NS	YES
MC100	ody	abkühlen; Schluss	KNOWN_PROSE_CARD_IN_ASTRO	1	f69v	F69_MIDDLE_WHEEL_NS	YES
MC103	okchy	weiterbearbeiten	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_RIGHT_WHEEL_NS	YES
MC117	kchy	Bearbeiten	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_RIGHT_WHEEL_NS	YES
MC119	cheey|shey	Freigabewert	THREE_REGISTER_COMMON_CORE	3	f68r1|f69v	F68_MIDDLE_PANEL_HEADER_NS|F68_RIGHT_PANEL_HEADER_NS|F69_MIDDLE_WHEEL_NS	YES
MC121	otar	Folgequelle	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_LEFT_WHEEL_NS	YES
MC122	kchey	Kurzbearbeitung	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_RIGHT_WHEEL_NS	YES
MC123	chy|y|dy|sy|chey	dies	THREE_REGISTER_COMMON_CORE	25	f67r2|f69v	F67_RIGHT_WHEEL_NS|F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS|F69_RIGHT_WHEEL_NS	YES
MC140	qokeeedy	Volleinsatz; Schluss	KNOWN_PROSE_CARD_IN_ASTRO	1	f68r1	F68_MIDDLE_PANEL_HEADER_NS	YES
MC153	chol|tol|ol	weiter	THREE_REGISTER_COMMON_CORE	6	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS	YES
MC154	dal|sal|cheal	dorthin	THREE_REGISTER_COMMON_CORE	7	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS|F69_RIGHT_WHEEL_NS	YES
MC157	olor	derselbe Ansatz	THREE_REGISTER_COMMON_CORE	1	f68r1	F68_LOCAL_STAR_SLOT_NS	YES
MC159	os	Aufnahmegefäß	KNOWN_PROSE_CARD_IN_ASTRO	2	f67r2	F67_LEFT_WHEEL_NS	YES
MC171	otchey	das nächste	THREE_REGISTER_COMMON_CORE	1	f67r2	F67_LEFT_WHEEL_NS	YES
