event_id	page	record	statement_id	exact_card_id	surface	component_recipe	working_reading_de	terminal_chy	standalone_ch_component	terminal_ch_role	readback_preserved
E011	f10r	H1	H1-S002	PROC011	qokchy	OK+Y	ANSETZEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E021	f10r	H2	H2-S001	PROC019	chy	Y	DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E035	f10r	H2	H2-S003	PROC019	chy	Y	DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E048	f11r	H3	H3-S003	PROC019	chy	Y	DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E049	f11r	H3	H3-S003	PROC035	kchy	K+Y	ZUGEBEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E052	f11r	H3	H3-S004	PROC036	qotchy	OT+Y	DANACH · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E070	f55v	H4	H4-S004	PROC049	oltchy	OL+T+Y	WEITER · ANWENDEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E090	f56r	H5	H5-S003	PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E091	f56r	H5	H5-S004	PROC011	okchy	OK+Y	ANSETZEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E095	f56r	H5	H5-S005	PROC011	chokchy	OK+Y	ANSETZEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E202	f82r	B2	B2-S012	PROC116	lchy	L+CH+Y	LEITEN · ENTNEHMEN · DIES	YES	YES	SEMANTIC_CH_ENTNEHMEN_PLUS_Y_REFERENT	YES
E240	f83r	B3	B3-S006	PROC133	chedchy	CHD+Y	UMSETZEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
E250	f83r	B3	B3-S011	PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	YES	NO	NONSEMANTIC_CHY_REFERENT_ALLOGRAPH	YES
