component_recipe	workshop_reading_de	events	exact_cards	surfaces	terminal_chy_surfaces	standalone_semantic_ch_component	recipe_class	teaching_readback
AR+Y	QUELLE · DIES	1	1	chary	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
CFH+Y	AUSWRINGEN · DIES	1	1	cfhy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
CH+E+Y	ENTNEHMEN · KURZ · DIES	1	1	dchey	NONE	YES	SEMANTIC_CH_PLUS_Y	KEEP_CH_AS_ENTNEHMEN
CHD+Y	UMSETZEN · DIES	12	2	chdy,chedchy,chedy	chedchy	NO	EMPIRICAL_Y_CHY_ALLOGRAPH_FAMILY	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
CHK+E+Y	WAERMEN · KURZ · DIES	3	1	cheky	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
CHK+EE+Y	WAERMEN · LANG · DIES	3	2	cheeky,chkeey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
CKH+Y	DURCHLASS · DIES	4	1	chckhy,shckhy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
CTH+E+Y	BEREITEN · KURZ · DIES	2	1	qcthey,shcthey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
CTH+Y	BEREITEN · DIES	7	1	checthy,cthy,shcthy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
E+K+E+Y	KURZ · ZUGEBEN · KURZ · DIES	1	1	qekey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
E+T+Y	KURZ · ANWENDEN · DIES	1	1	etyd	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
EEE+T+Y	VOLL · ANWENDEN · DIES	1	1	cheeety	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	1	1	chodaly	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
