event_serial	record_unit_id	statement_id	page	locus	master_card_id	card_value_de	observed_surface	observed_habit	scheduled_habit	workshop_instruction	new_rule_allowed
8	H1	H1-S001	f10r	f10r.2	MC026	einsetzen	oky	BARE_OR_INTERNAL	OPEN_CH_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
20	H2	H2-S001	f10r	f10r.6	MC123	dies	dy	HARD_D_T_ENTRY	OPEN_CH_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
23	H2	H2-S001	f10r	f10r.6	MC123	dies	shy	S_FLOW_ENTRY	HARD_D_T_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
33	H2	H2-S003	f10r	f10r.9	MC080	Ansatz	shor	S_FLOW_ENTRY	OPEN_CH_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
37	H2	H2-S003	f10r	f10r.9	MC123	dies	dy	HARD_D_T_ENTRY	OPEN_CH_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
47	H3	H3-S003	f11r	f11r.4	MC142	vom vorigen	dchol	HARD_D_T_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
48	H3	H3-S003	f11r	f11r.4	MC123	dies	chy	OPEN_CH_ENTRY	HARD_D_T_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
57	H4	H4-S001	f55v	f55v.5	MC039	Sollmaß	chaiin	OPEN_CH_ENTRY	HARD_D_T_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
61	H4	H4-S002	f55v	f55v.5	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	BARE_OR_INTERNAL	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
91	H5	H5-S004	f56r	f56r.13	MC103	weiterbearbeiten	okchy	BARE_OR_INTERNAL	Q_CELL_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
102	B1	B1-S002	f81v	f81v.2	MC120	bemessen	okaiin	BARE_OR_INTERNAL	Q_CELL_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
119	B1	B1-S002	f81v	f81v.7	MC035	durchleiten	chckhy	HARD_D_T_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
142	B1	B1-S012	f81v	f81v.21	MC007	kurz einwirken	qokey	Q_CELL_ENTRY	BARE_OR_INTERNAL	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
155	B1	B1-S016	f81v	f81v.24	MC128	kurz absetzen; Schluss	cheedy	OPEN_CH_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
156	B1	B1-S017	f81v	f81v.24	MC154	dorthin	sal	S_FLOW_ENTRY	OPEN_CH_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
163	B1	B1-S019	f81v	f81v.27	MC128	kurz absetzen; Schluss	tedy	HARD_D_T_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
166	B1	B1-S021	f81v	f81v.27	MC154	dorthin	chal	OPEN_CH_ENTRY	BARE_OR_INTERNAL	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
170	B2	B2-S003	f82r	f82r.2	MC123	dies	dy	HARD_D_T_ENTRY	OPEN_CH_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
198	B2	B2-S011	f82r	f82r.19	MC017	Anteil zugeben	okain	BARE_OR_INTERNAL	Q_CELL_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
199	B2	B2-S011	f82r	f82r.19	MC055	davon	char	OPEN_CH_ENTRY	HARD_D_T_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
217	B2	B2-S016	f82r	f82r.26	MC039	Sollmaß	aiin	BARE_OR_INTERNAL	HARD_D_T_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
220	B2	B2-S016	f82r	f82r.26	MC007	kurz einwirken	okey	BARE_OR_INTERNAL	Q_CELL_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
238	B3	B3-S004	f83r	f83r.3	MC055	davon	dar	HARD_D_T_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
239	B3	B3-S005	f83r	f83r.6	MC025	überführen; Schluss	schedy	S_FLOW_ENTRY	HARD_D_T_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
258	B3	B3-S013	f83r	f83r.11	MC073	kurz vorbereiten	shcthey	S_FLOW_ENTRY	Q_CELL_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
288	B3	B3-S026	f83r	f83r.16	MC017	Anteil zugeben	qokain	Q_CELL_ENTRY	BARE_OR_INTERNAL	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
291	B3	B3-S026	f83r	f83r.20	MC045	lange sammeln; Schluss	solkeedy	S_FLOW_ENTRY	BARE_OR_INTERNAL	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
295	B3	B3-S029	f83r	f83r.20	MC153	weiter	sol	S_FLOW_ENTRY	Q_CELL_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
320	B4	B4-S003	f83r	f83r.25	MC093	danach dorthin	otal	BARE_OR_INTERNAL	Q_CELL_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
324	B4	B4-S003	f83r	f83r.26	MC153	weiter	tol	HARD_D_T_ENTRY	BARE_OR_INTERNAL	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
348	B4	B4-S014	f83r	f83r.38	MC080	Ansatz	or	BARE_OR_INTERNAL	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
359	B4	B4-S016	f83r	f83r.41	MC154	dorthin	dal	HARD_D_T_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
365	B5	B5-S003	f83r	f83r.48	MC154	dorthin	dal	HARD_D_T_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
366	B5	B5-S003	f83r	f83r.48	MC153	weiter	cheol	OPEN_CH_ENTRY	BARE_OR_INTERNAL	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
369	B5	B5-S003	f83r	f83r.48	MC039	Sollmaß	aiin	BARE_OR_INTERNAL	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
377	B6	B6-S001	f83r	f83r.54	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	S_FLOW_ENTRY	COPY_THIS_REGISTERED_SURFACE_FROM_LOCAL_EXEMPLAR	NO_ISOLATED_OR_NONUNIFORM
