event_serial	statement_id	record_unit_id	page	locus	field_id	master_card_id	card_value_de	observed_surface	observed_habit	applied_layers	final_predicted_habit	predicted_canonical_surface	habit_match	exact_surface_match	apprentice_treatment	master_recovery
3	H1-S001	H1	f10r	f10r.2	F001	MC055	davon	char	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	char	YES	YES	WORKSHOP_RULE_EXACT	EXACT
4	H1-S001	H1	f10r	f10r.2	F001	MC086	Anteil	chty	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chety	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
8	H1-S001	H1	f10r	f10r.2	F001	MC026	einsetzen	oky	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	choky	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
9	H1-S001	H1	f10r	f10r.2	F001	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	R160_POSITIONAL_RULE > CARD_POSITION_CUSTOM	HARD_D_T_ENTRY	daiin	YES	YES	WORKSHOP_RULE_EXACT	EXACT
11	H1-S002	H1	f10r	f10r.5	F002	MC103	weiterbearbeiten	qokchy	Q_CELL_ENTRY	R160_POSITIONAL_RULE	Q_CELL_ENTRY	qokchy	YES	YES	WORKSHOP_RULE_EXACT	EXACT
13	H1-S002	H1	f10r	f10r.5	F002	MC153	weiter	chol	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	cheol	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
14	H1-S002	H1	f10r	f10r.5	F002	MC161	bereit	cthy	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	cthy	YES	YES	WORKSHOP_RULE_EXACT	EXACT
16	H2-S001	H2	f10r	f10r.6	F003	MC161	bereit	cthy	BARE_OR_INTERNAL	R160_POSITIONAL_RULE > CARD_POSITION_CUSTOM	BARE_OR_INTERNAL	cthy	YES	YES	WORKSHOP_RULE_EXACT	EXACT
17	H2-S001	H2	f10r	f10r.6	F003	MC080	Ansatz	chor	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chor	YES	YES	WORKSHOP_RULE_EXACT	EXACT
20	H2-S001	H2	f10r	f10r.6	F003	MC123	dies	dy	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chey	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
21	H2-S001	H2	f10r	f10r.6	F003	MC123	dies	chy	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chey	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
22	H2-S001	H2	f10r	f10r.6	F003	MC039	Sollmaß	taiin	HARD_D_T_ENTRY	R160_POSITIONAL_RULE > CARD_POSITION_CUSTOM	HARD_D_T_ENTRY	daiin	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
23	H2-S001	H2	f10r	f10r.6	F003	MC123	dies	shy	S_FLOW_ENTRY	R160_POSITIONAL_RULE	HARD_D_T_ENTRY	dy	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
24	H2-S002	H2	f10r	f10r.8	F004	MC013	Folgeansatz	qotchor	Q_CELL_ENTRY	R160_POSITIONAL_RULE	Q_CELL_ENTRY	qotchor	YES	YES	WORKSHOP_RULE_EXACT	EXACT
25	H2-S002	H2	f10r	f10r.8	F004	MC080	Ansatz	chor	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chor	YES	YES	WORKSHOP_RULE_EXACT	EXACT
27	H2-S002	H2	f10r	f10r.8	F004	MC153	weiter	chol	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	cheol	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
28	H2-S002	H2	f10r	f10r.8	F004	MC157	derselbe Ansatz	cholor	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	cholor	YES	YES	WORKSHOP_RULE_EXACT	EXACT
29	H2-S002	H2	f10r	f10r.8	F004	MC153	weiter	chol	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	cheol	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
30	H2-S002	H2	f10r	f10r.8	F004	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	R160_POSITIONAL_RULE > CARD_POSITION_CUSTOM	HARD_D_T_ENTRY	daiin	YES	YES	WORKSHOP_RULE_EXACT	EXACT
31	H2-S002	H2	f10r	f10r.8	F004	MC055	davon	dar	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	HARD_D_T_ENTRY	dar	YES	YES	WORKSHOP_RULE_EXACT	EXACT
33	H2-S003	H2	f10r	f10r.9	F005	MC080	Ansatz	shor	S_FLOW_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chor	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
34	H2-S003	H2	f10r	f10r.9	F005	MC080	Ansatz	chor	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chor	YES	YES	WORKSHOP_RULE_EXACT	EXACT
35	H2-S003	H2	f10r	f10r.9	F005	MC123	dies	chy	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chey	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
37	H2-S003	H2	f10r	f10r.9	F005	MC123	dies	dy	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chey	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
44	H3-S001	H3	f11r	f11r.1	F006	MC119	Klarauszug	shey	S_FLOW_ENTRY	R160_POSITIONAL_RULE > RECORD_ACCENT	S_FLOW_ENTRY	shey	YES	YES	WORKSHOP_RULE_EXACT	EXACT
47	H3-S003	H3	f11r	f11r.4	F008	MC142	vom vorigen	dchol	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	S_FLOW_ENTRY	schol	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
48	H3-S003	H3	f11r	f11r.4	F008	MC123	dies	chy	OPEN_CH_ENTRY	R160_POSITIONAL_RULE > RECORD_ACCENT	HARD_D_T_ENTRY	dy	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
50	H3-S003	H3	f11r	f11r.4	F008	MC123	dies	dy	HARD_D_T_ENTRY	R160_POSITIONAL_RULE > RECORD_ACCENT	HARD_D_T_ENTRY	dy	YES	YES	WORKSHOP_RULE_EXACT	EXACT
51	H3-S003	H3	f11r	f11r.4	F008	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	HARD_D_T_ENTRY	daiin	YES	YES	WORKSHOP_RULE_EXACT	EXACT
54	H3-S004	H3	f11r	f11r.7	F009	MC161	bereit	cthy	BARE_OR_INTERNAL	R160_POSITIONAL_RULE > RECORD_ACCENT > CARD_POSITION_CUSTOM	BARE_OR_INTERNAL	cthy	YES	YES	WORKSHOP_RULE_EXACT	EXACT
55	H3-S004	H3	f11r	f11r.7	F009	MC123	dies	dy	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	HARD_D_T_ENTRY	dy	YES	YES	WORKSHOP_RULE_EXACT	EXACT
56	H4-S001	H4	f55v	f55v.5	F010	MC120	bemessen	qokaiin	Q_CELL_ENTRY	R160_POSITIONAL_RULE	Q_CELL_ENTRY	qokaiin	YES	YES	WORKSHOP_RULE_EXACT	EXACT
57	H4-S001	H4	f55v	f55v.5	F010	MC039	Sollmaß	chaiin	OPEN_CH_ENTRY	R160_POSITIONAL_RULE > CARD_POSITION_CUSTOM	HARD_D_T_ENTRY	daiin	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
61	H4-S002	H4	f55v	f55v.5	F011	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	aiin	NO	NO	COPY_LOCAL_REGISTERED_SURFACE_FROM_EXEMPLAR	EXACT
62	H4-S002	H4	f55v	f55v.5	F011	MC074	überführen	chedy	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chdy	YES	NO	SECOND_REGISTERED_SPELLING	EXACT
66	H4-S003	H4	f55v	f55v.11	F012	MC032	länger bearbeiten	cheeky	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	cheeky	YES	YES	WORKSHOP_RULE_EXACT	EXACT
67	H4-S003	H4	f55v	f55v.11	F012	MC019	fertig	oldy	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	oldy	YES	YES	WORKSHOP_RULE_EXACT	EXACT
68	H4-S004	H4	f55v	f55v.11	F013	MC039	Sollmaß	aiin	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	aiin	YES	YES	WORKSHOP_RULE_EXACT	EXACT
69	H4-S004	H4	f55v	f55v.11	F013	MC040	dorthin einsetzen	okal	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	okal	YES	YES	WORKSHOP_RULE_EXACT	EXACT
71	H4-S004	H4	f55v	f55v.11	F013	MC080	Ansatz	or	BARE_OR_INTERNAL	R160_POSITIONAL_RULE > SWITCH_H4_BARE_PAIR	BARE_OR_INTERNAL	or	YES	YES	WORKSHOP_RULE_EXACT	EXACT
72	H4-S004	H4	f55v	f55v.11	F013	MC123	dies	y	BARE_OR_INTERNAL	R160_POSITIONAL_RULE > SWITCH_H4_BARE_PAIR	BARE_OR_INTERNAL	y	YES	YES	WORKSHOP_RULE_EXACT	EXACT
75	H5-S001	H5	f56r	f56r.5	F014	MC034	weitere Zutat	cho	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	HARD_D_T_ENTRY	cho	YES	YES	WORKSHOP_RULE_EXACT	EXACT
77	H5-S001	H5	f56r	f56r.5	F014	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	R160_POSITIONAL_RULE	HARD_D_T_ENTRY	daiin	YES	YES	WORKSHOP_RULE_EXACT	EXACT
78	H5-S001	H5	f56r	f56r.7	F015	MC034	weitere Zutat	sho	S_FLOW_ENTRY	R160_POSITIONAL_RULE	S_FLOW_ENTRY	sho	YES	YES	WORKSHOP_RULE_EXACT	EXACT
80	H5-S001	H5	f56r	f56r.7	F015	MC013	Folgeansatz	otchor	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	otchor	YES	YES	WORKSHOP_RULE_EXACT	EXACT
