event_id	page	record_unit_id	statement_id	visible_surface	master_card_id	component_parse	revised_compositional_reading_de	composition_status	visible_owner	terminal_status
E002	f10r	H1	H1-S001	cthoor	MC158	CTH + OR	den Ansatz bereitstellen	FULL_COMPOSITION	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E011	f10r	H1	H1-S002	qokchy	MC103	OK + Y	den laufenden Posten einsetzen und weiterbearbeiten	FULL_COMPOSITION	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E012	f10r	H1	H1-S002	qotchol	MC163	OT + OL	den Folgegang fortsetzen	FULL_COMPOSITION	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E018	f10r	H2	H2-S001	cthaiin	MC169	CTH + AIIN	die Sollvorbereitung setzen	FULL_COMPOSITION	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E019	f10r	H2	H2-S001	qoctholy	MC115	OT + OL + Y	den bereiten Folgeposten wählen	FULL_COMPOSITION	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E026	f10r	H2	H2-S002	otol	MC053	OT + OL	anschließend fortsetzen	FULL_COMPOSITION	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E036	f10r	H2	H2-S003	kaiiin	MC048	K + IIN	die Arbeitsstufe setzen	FULL_COMPOSITION	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E041	f11r	H3	H3-S001	cfhy	MC129	CFHY	auswringen	LEARNED_WHOLE_OPERATION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E042	f11r	H3	H3-S001	shfydaiin	MC111	SHFY + AIIN	eine vorgeschriebene Stehzeit einhalten	PARTIAL_COMPOSITION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E043	f11r	H3	H3-S001	cphy	MC156	CPHY	nachseihen	LEARNED_WHOLE_OPERATION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E045	f11r	H3	H3-S001	tchody	MC037	TCHO + DY	kalt stellen; Schluss	LEARNED_WHOLE_OPERATION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	TERMINAL
E047	f11r	H3	H3-S003	dchol	MC142	D + OL	vom vorigen Arbeitsgang nehmen	PARTIAL_COMPOSITION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E049	f11r	H3	H3-S003	kchy	MC117	K + Y	den laufenden Posten bearbeiten	FULL_COMPOSITION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
