scope	evidence	conclusion
all_64_merges	DIRECT_primary=1.059225_vs_ATOMIC=0.865886;ATOMIC_wins_51_of_64_types_and_23_of_23_held_folios	exact_merge_identity_retains_residual_role_information
standalone	DIRECT_logloss=0.984582_vs_GLOBAL=0.652260_vs_ATOMIC=0.407842;DIRECT_rate_MAE=0.258566_vs_ATOMIC=0.036565	standalone_status_is_not_inherited_from_component_standalone_rates
left_o_family	8_children;only_5_of_8_direction_positive;mobile_p=0.085914;held_chunk_initial_ranges_from_0.148649_od_to_0.945455_op	o_is_not_a_stable_left_stem_role
o_plus_l	DIRECT_worse_than_GLOBAL_by_0.136123_bits;component_final_prediction=0.161169_vs_held_0.546348	ol_boundary_profile_is_pair_specific
o_plus_r	DIRECT_worse_than_GLOBAL_by_0.031487_bits;component_final_prediction=0.380000_vs_held_0.650467	or_final_profile_is_pair_specific
o_plus_k	component_initial_prediction=0.335847_vs_held_0.820800	ok_entry_profile_is_pair_specific_even_though_k_predicts_nonfinality
o_plus_t	component_initial_prediction=0.335847_vs_held_0.920174	ot_entry_profile_is_pair_specific_even_though_t_predicts_nonfinality
d_plus_y	component_initial_prediction=0.635371_vs_held_0.181373;component_final=0.710932_vs_held_0.936275	dy_retains_y_side_closure_but_not_d_side_head_rate
o_plus_d	DIRECT_worse_than_GLOBAL_by_0.363402_and_worse_than_SWAPPED_by_0.150398	only_registered_merge_with_reversed_direction_advantage
matched_frequency_controls	merge_edge_drift_MAE=0.021737_vs_nonoutput_controls=0.015813;signflip_p=0.007999	merged_profiles_drift_more_than_frequency_matched_atoms
W_category	composition_gain_vs_real_W_Spearman=0.077779;frequency_vs_real_W=0.652313;frequency_controlled_residual_correlation=-0.238716	GDT606_W_is_not_a_composition_strength_marker
