rank	merged	merge_train_n	merge_held_n	control	control_train_n	control_held_n	merge_edge_rate_mae	control_edge_rate_mae	merge_minus_control_edge_mae	merge_neighbor_js	control_neighbor_js	merge_minus_control_neighbor_js
1	dy	603	204	p	572	338	0.0365887648591775	0.011277184354107433	0.02531158050507007	0.07242226340002644	0.05537628769601466	0.017045975704011784
2	ok	1084	625	o	1126	609	0.008504586188719028	0.022263526590277197	-0.01375894040155817	0.030169708093414578	0.04951802854974602	-0.01934832045633144
3	ol	1825	712	y	1554	554	0.01697728622001364	0.03380452581071457	-0.016827239590700926	0.04027697346312163	0.03680880436692061	0.0034681690962010195
4	aN	1169	556	d	1144	597	0.020827087566168495	0.028456468154960623	-0.007629380588792128	0.03382248613843528	0.061610023522407624	-0.02778753738397234
5	Ce	866	609	t	883	359	0.005688346852637684	0.016211509888106195	-0.010523163035468512	0.04230876219998335	0.057279358913567176	-0.014970596713583827
6	ot	1033	689	k	1025	478	0.01204016170499576	0.012486696893268997	-0.0004465351882732369	0.034077663730601594	0.04607519918572926	-0.011997535455127668
7	qok	862	444	t	883	359	0.006305858394025461	0.016211509888106195	-0.009905651494080734	0.029224921102709914	0.057279358913567176	-0.02805443781085726
8	ar	1423	766	C	1445	711	0.009407839398720292	0.003113700183473738	0.006294139215246554	0.03209049972939195	0.0313535057125359	0.000736994016856049
9	al	915	476	S	910	439	0.029537388725982192	0.00900433767339073	0.020533051052591463	0.06979844206153749	0.042523233427793	0.027275208633744483
10	or	1322	535	s	1322	486	0.01969262092270279	0.035086151156078875	-0.015393530233376085	0.03857073642677182	0.04857120406756822	-0.010000467640796401
11	Se	570	260	p	572	338	0.00974551764025448	0.011277184354107433	-0.0015316667138529534	0.05616424264004794	0.05537628769601466	0.0007879549440332825
12	aI	597	414	p	572	338	0.014419925715534196	0.011277184354107433	0.0031427413614267628	0.03625588199161892	0.05537628769601466	-0.019120405704395736
13	daN	844	387	t	883	359	0.0414385784439791	0.016211509888106195	0.025227068555872905	0.025964048648713142	0.057279358913567176	-0.031315310264854034
14	Ey	505	370	p	572	338	0.0024924500172024875	0.011277184354107433	-0.008784734336904946	0.03530259483516501	0.05537628769601466	-0.020073692860849646
15	Cedy	732	448	e	699	453	0.014394794803167162	0.008273746925936904	0.006121047877230258	0.028908792237863155	0.06594601277859467	-0.03703722054073152
16	qot	727	353	e	699	453	0.013855914300521539	0.008273746925936904	0.005582167374584635	0.037611459443874194	0.06594601277859467	-0.02833455333472048
17	Cy	671	212	E	669	497	0.01717776501259335	0.0020283993089435614	0.01514936570364979	0.05351084774881188	0.053841408155251784	-0.00033056040643990314
18	Edy	469	312	p	572	338	0.007335770128947099	0.011277184354107433	-0.003941414225160335	0.029577262206785054	0.05537628769601466	-0.025799025489229604
19	edy	446	253	r	374	250	0.00423995968936503	0.019330786860198627	-0.015090827170833597	0.031970398985774584	0.06590335562641679	-0.033932956640642206
20	ody	608	272	p	572	338	0.013268465280849184	0.011277184354107433	0.001991280926741751	0.053068222981362045	0.05537628769601466	-0.0023080647146526134
21	Col	522	188	p	572	338	0.021625965132935045	0.011277184354107433	0.010348780778827612	0.06479204214492533	0.05537628769601466	0.009415754448910671
22	Cey	521	264	p	572	338	0.021125707306129567	0.011277184354107433	0.009848522952022133	0.04695353428911973	0.05537628769601466	-0.008422753406894926
23	ai	264	143	a	278	128	0.006576756576756577	0.013987024665981498	-0.007410268089224921	0.08251091198776203	0.09790022999412243	-0.015389318006360397
24	ey	498	259	p	572	338	0.005120315791572248	0.011277184354107433	-0.006156868562535185	0.026794538095186563	0.05537628769601466	-0.028581749600828096
25	od	445	222	r	374	250	0.014167136639046752	0.019330786860198627	-0.005163650221151875	0.07331336655671926	0.06590335562641679	0.007410010930302469
26	Sedy	418	173	r	374	250	0.005264738303983827	0.019330786860198627	-0.0140660485562148	0.04753791556151791	0.06590335562641679	-0.01836544006489888
27	am	408	242	r	374	250	0.015481399171238757	0.019330786860198627	-0.0038493876889598693	0.05219467336485033	0.06590335562641679	-0.013708682261566463
28	olk	402	152	r	374	250	0.00365185351438297	0.019330786860198627	-0.015678933345815656	0.08065495521272781	0.06590335562641679	0.014751599586311018
29	yk	396	149	r	374	250	0.01506435399052849	0.019330786860198627	-0.004266432869670137	0.06700637402868968	0.06590335562641679	0.0011030184022728928
30	Cor	376	100	r	374	250	0.016732522796352574	0.019330786860198627	-0.002598264063846053	0.07388030990532937	0.06590335562641679	0.007976954278912582
31	yt	375	90	r	374	250	0.01853968253968254	0.019330786860198627	-0.0007911043205160867	0.08018455494526694	0.06590335562641679	0.014281199318850149
32	qo	371	233	r	374	250	0.011013037492914404	0.019330786860198627	-0.008317749367284223	0.0462401657740313	0.06590335562641679	-0.019663189852385493
33	Co	364	121	r	374	250	0.02878939242575605	0.019330786860198627	0.009458605565557422	0.08598572160761984	0.06590335562641679	0.020082365981203054
34	dal	362	174	r	374	250	0.052644948244109965	0.019330786860198627	0.03331416138391134	0.08422319671428288	0.06590335562641679	0.018319841087866093
35	dar	341	227	T	344	121	0.056580338802876814	0.01942560610636721	0.0371547326965096	0.06205736743757141	0.04774382890937323	0.01431353852819818
36	Cdy	331	167	T	344	121	0.01549339818420993	0.01942560610636721	-0.003932207922157281	0.0606018892815555	0.04774382890937323	0.012858060372182269
37	Ky	273	120	a	278	128	0.020918367346938773	0.013987024665981498	0.006931342680957275	0.03290403615174559	0.09790022999412243	-0.06499619384237684
38	air	254	210	K	250	98	0.015233810059456858	0.017014577259475215	-0.0017807672000183569	0.07007055230544362	0.04295446268707804	0.027116089618365584
39	Ty	251	74	K	250	98	0.03628728329923549	0.017014577259475215	0.019272706039760272	0.03777977052538535	0.04295446268707804	-0.005174692161692689
40	Sey	236	148	K	250	98	0.011174006936718788	0.017014577259475215	-0.005840570322756427	0.04905347431917816	0.04295446268707804	0.006099011632100124
41	ky	204	69	i	199	118	0.019181585677749358	0.005968097144317229	0.013213488533432129	0.08371155972601099	0.08048236710662068	0.0032291926193903087
42	qokaI	201	74	i	199	118	0.015223112238037606	0.005968097144317229	0.009255015093720377	0.00374255270988484	0.08048236710662068	-0.07673981439673584
43	So	201	76	i	199	118	0.0435042830957992	0.005968097144317229	0.03753618595148197	0.09443041205920841	0.08048236710662068	0.013948044952587724
44	op	198	110	i	199	118	0.005483405483405474	0.005968097144317229	-0.0004846916609117548	0.09794979251516173	0.08048236710662068	0.017467425408541043
45	Sol	195	51	i	199	118	0.04042232277526396	0.005968097144317229	0.03445422563094673	0.08779584872390521	0.08048236710662068	0.007313481617284526
46	qokaN	190	72	i	199	118	0.024060150375939837	0.005968097144317229	0.018092053231622607	0.011309757200792246	0.08048236710662068	-0.06917260990582844
47	qokEdy	189	105	i	199	118	0.02086167800453515	0.005968097144317229	0.014893580860217923	0.006358062290761409	0.08048236710662068	-0.07412430481585927
48	qokal	187	41	i	199	118	0.02079412696342397	0.005968097144317229	0.01482602981910674	0.0572192362311725	0.08048236710662068	-0.023263130875448186
49	qokedy	185	62	q	173	71	0.008556482750031139	0.017445714750933355	-0.008889232000902216	0.008107389694714166	0.08201589765361614	-0.07390850795890197
50	CE	178	98	q	173	71	0.016641006322272087	0.017445714750933355	-0.0008047084286612674	0.1175408196015576	0.08201589765361614	0.03552492194794146
51	eol	173	75	q	173	71	0.019190751445086706	0.017445714750933355	0.0017450366941533513	0.08171166051301137	0.08201589765361614	-0.0003042371406047628
52	Sy	173	68	q	173	71	0.05572691504347403	0.017445714750933355	0.038281200292540674	0.13064685355119035	0.08201589765361614	0.04863095589757421
53	CEy	171	113	q	173	71	0.017610397675604943	0.017445714750933355	0.00016468292467158863	0.06999042631205667	0.08201589765361614	-0.012025471341559471
54	Ceol	167	77	q	173	71	0.051081510448490776	0.017445714750933355	0.033635795697557425	0.0870851236965288	0.08201589765361614	0.005069226042912656
55	daI	165	148	q	173	71	0.08852228852228851	0.017445714750933355	0.07107657377135515	0.08392956746893696	0.08201589765361614	0.0019136698153208176
56	os	164	86	q	173	71	0.013309294222510338	0.017445714750933355	-0.004136420528423017	0.10847447220519804	0.08201589765361614	0.026458574551581904
57	qol	158	45	q	173	71	0.06437613019891501	0.017445714750933355	0.046930415447981655	0.109362861798317	0.08201589765361614	0.027346964144700864
58	lk	156	249	q	173	71	0.0021845624255262893	0.017445714750933355	-0.015261152325407066	0.058758684579744286	0.08201589765361614	-0.023257213073871852
59	qokEy	149	134	m	138	80	0.01916114537571012	0.024404761904761894	-0.005243616529051774	0.01045566411828321	0.06715847495458113	-0.056702810836297926
60	okaN	144	92	m	138	80	0.024456521739130443	0.024404761904761894	5.175983436854839e-05	0.02811555860074947	0.06715847495458113	-0.03904291635383166
61	okal	143	52	m	138	80	0.04945054945054944	0.024404761904761894	0.025045787545787547	0.09953052472817656	0.06715847495458113	0.032372049773595424
62	otal	130	48	m	138	80	0.03118131868131868	0.024404761904761894	0.006776556776556787	0.08562742152546866	0.06715847495458113	0.01846894657088753
63	oky	129	44	m	138	80	0.01917849592268197	0.024404761904761894	-0.005226265982079925	0.07758769746546477	0.06715847495458113	0.010429222510883643
64	oty	127	48	m	138	80	0.025567116610423685	0.024404761904761894	0.0011623547056617903	0.10539388432648399	0.06715847495458113	0.038235409371902854
