rank	left	right	merged	train_occurrences	leaf_sequence	leaf_count	tree_depth
1	d	y	dy	3981	d y	2	1
2	o	k	ok	3463	o k	2	1
3	o	l	ol	3442	o l	2	1
4	a	N	aN	2347	a N	2	1
5	C	e	Ce	2286	C e	2	1
6	o	t	ot	2017	o t	2	1
7	q	ok	qok	1963	q o k	3	2
8	a	r	ar	1764	a r	2	1
9	a	l	al	1737	a l	2	1
10	o	r	or	1698	o r	2	1
11	S	e	Se	1224	S e	2	1
12	a	I	aI	963	a I	2	1
13	d	aN	daN	844	d a N	3	2
14	E	y	Ey	825	E y	2	1
15	Ce	dy	Cedy	732	C e d y	4	2
16	q	ot	qot	727	q o t	3	2
17	C	y	Cy	671	C y	2	1
18	E	dy	Edy	658	E d y	3	2
19	e	dy	edy	631	e d y	3	2
20	o	dy	ody	608	o d y	3	2
21	C	ol	Col	522	C o l	3	2
22	Ce	y	Cey	521	C e y	3	2
23	a	i	ai	518	a i	2	1
24	e	y	ey	498	e y	2	1
25	o	d	od	445	o d	2	1
26	Se	dy	Sedy	418	S e d y	4	2
27	a	m	am	408	a m	2	1
28	ol	k	olk	402	o l k	3	2
29	y	k	yk	396	y k	2	1
30	C	or	Cor	376	C o r	3	2
31	y	t	yt	375	y t	2	1
32	q	o	qo	371	q o	2	1
33	C	o	Co	364	C o	2	1
34	d	al	dal	362	d a l	3	2
35	d	ar	dar	341	d a r	3	2
36	C	dy	Cdy	331	C d y	3	2
37	K	y	Ky	273	K y	2	1
38	ai	r	air	254	a i r	3	2
39	T	y	Ty	251	T y	2	1
40	Se	y	Sey	236	S e y	3	2
41	k	y	ky	204	k y	2	1
42	qok	aI	qokaI	201	q o k a I	5	3
43	S	o	So	201	S o	2	1
44	o	p	op	198	o p	2	1
45	S	ol	Sol	195	S o l	3	2
46	qok	aN	qokaN	190	q o k a N	5	3
47	qok	Edy	qokEdy	189	q o k E d y	6	3
48	qok	al	qokal	187	q o k a l	5	3
49	qok	edy	qokedy	185	q o k e d y	6	3
50	C	E	CE	178	C E	2	1
51	e	ol	eol	173	e o l	3	2
52	S	y	Sy	173	S y	2	1
53	C	Ey	CEy	171	C E y	3	2
54	Ce	ol	Ceol	167	C e o l	4	2
55	d	aI	daI	165	d a I	3	2
56	o	s	os	164	o s	2	1
57	q	ol	qol	158	q o l	3	2
58	l	k	lk	156	l k	2	1
59	qok	Ey	qokEy	149	q o k E y	5	3
60	ok	aN	okaN	144	o k a N	4	2
61	ok	al	okal	143	o k a l	4	2
62	ot	al	otal	130	o t a l	4	2
63	ok	y	oky	129	o k y	3	2
64	ot	y	oty	127	o t y	3	2
