side	stem	children	held_events	held_anchor	direction_gain_vs_swapped_bits	direct_gain_vs_mobile_bits	mobile_p	formal_role	ceiling
left	C	8	1608	chunk_initial=0.507463;line_initial=0.018035	0.767783	0.233608	0.004995	moderate_chunk_entry_left_exterior_carrier	formal_exterior_context_only
left	Ce	3	789	chunk_initial=0.403042;line_initial=0.007605	0.257817	0.319177	0.016983	mixed_local_entry_left_exterior_carrier	formal_exterior_context_only
left	S	4	455	chunk_initial=0.670330;line_initial=0.046154	0.942749	0.450754	0.000999	chunk_entry_biased_left_exterior_carrier	formal_exterior_context_only
left	a	6	2597	chunk_initial=0.176742;line_initial=0.001540	0.660099	0.473984	0.000999	nonentry_left_exterior_carrier	formal_exterior_context_only
left	d	5	1140	chunk_initial=0.424561;line_initial=0.083333	0.375430	0.343504	0.000999	mixed_chunk_head_left_exterior_carrier	formal_exterior_context_only
left	e	3	587	chunk_initial=0.008518;line_initial=0.000000	1.288597	1.075330	0.000999	interior_left_exterior_carrier	formal_exterior_context_only
left	ok	3	188	chunk_initial=0.803191;line_initial=0.042553	0.928645	0.324996	0.031968	chunk_entry_biased_left_exterior_carrier	formal_exterior_context_only
left	q	4	1075	chunk_initial=0.984186;line_initial=0.074419	0.168730	0.636983	0.000999	near_obligate_chunk_entry_left_exterior_carrier	formal_exterior_context_only
right	aN	3	551	chunk_final=0.989111;line_final=0.078040	1.852374	1.400306	0.000999	near_obligate_chunk_closure_right_exterior_carrier	formal_exterior_context_only
right	al	4	315	chunk_final=0.666667;line_final=0.092063	1.315565	0.464011	0.000999	chunk_final_biased_right_exterior_carrier	formal_exterior_context_only
right	dy	6	1625	chunk_final=0.972308;line_final=0.081231	2.743412	0.721618	0.000999	near_obligate_chunk_closure_right_exterior_carrier	formal_exterior_context_only
right	k	4	1175	chunk_final=0.005957;line_final=0.000000	0.917501	1.298393	0.000999	nonterminal_internal_right_exterior_carrier	formal_exterior_context_only
right	r	3	1511	chunk_final=0.706155;line_final=0.041694	0.685193	1.015299	0.000999	chunk_final_biased_right_exterior_carrier	formal_exterior_context_only
right	y	12	1880	chunk_final=0.952128;line_final=0.095213	2.542606	0.862303	0.001998	near_obligate_chunk_closure_right_exterior_carrier	formal_exterior_context_only
