side	stem	child	other_component	held_n	direction_gain_vs_swapped_bits
left	C	Ce	e	609	1.244215616825082
left	C	Cy	y	212	0.22671201485264794
left	C	Col	ol	188	0.08225127158259407
left	C	Cor	or	100	0.19249254182142855
left	C	Co	o	121	0.24298616132397818
left	C	Cdy	dy	167	0.2434471002824424
left	C	CE	E	98	1.3384463727319647
left	C	CEy	Ey	113	1.7067985045790866
left	Ce	Cedy	dy	448	0.24756195503283154
left	Ce	Cey	y	264	0.28095779700537876
left	Ce	Ceol	ol	77	0.23814148787887557
left	S	Se	e	260	1.5022781294579821
left	S	So	o	76	0.22809330059837224
left	S	Sol	ol	51	0.22877656400930838
left	S	Sy	y	68	0.1375855641456506
left	a	aN	N	556	0.9550395197883134
left	a	ar	r	766	0.6440855406229038
left	a	al	l	476	0.39435044037868033
left	a	aI	I	414	0.3966378666954886
left	a	ai	i	143	1.0320434964474776
left	a	am	m	242	0.786791719577618
left	d	dy	y	204	-0.0022827232806455653
left	d	daN	aN	387	0.30469888461203504
left	d	dal	al	174	0.3322753836644836
left	d	dar	ar	227	0.45198169692959117
left	d	daI	aI	148	1.0143324952248673
left	e	edy	dy	253	1.3854935322415427
left	e	ey	y	259	1.4126274559104683
left	e	eol	ol	75	0.5334168388186546
left	o	ok	k	625	-0.3689296875653112
left	o	ol	l	712	0.34679004051879586
left	o	ot	t	689	-0.36329724499207006
left	o	or	r	535	0.4173696432698453
left	o	ody	dy	272	0.797924439273922
left	o	od	d	222	0.055163629172332904
left	o	op	p	110	-0.005276931279149022
left	o	os	s	86	0.4168358820509319
left	ok	okaN	aN	92	1.0718664827489137
left	ok	okal	al	52	0.9133474850831378
left	ok	oky	y	44	0.6472621492807352
left	q	qok	ok	444	0.0291676074152929
left	q	qot	ot	353	-0.020985529453415537
left	q	qo	o	233	0.6285349252479542
left	q	qol	ol	45	0.6532016074358662
left	qok	qokaI	aI	74	2.02587405318536
left	qok	qokaN	aN	72	1.332492272161731
left	qok	qokEdy	Edy	105	3.601132718853315
left	qok	qokal	al	41	1.2256111064548922
left	qok	qokedy	edy	62	4.86640517601166
left	qok	qokEy	Ey	134	3.57585541062851
right	aN	daN	d	387	1.1544469700201996
right	aN	qokaN	qok	72	3.8786554628820147
right	aN	okaN	ok	92	3.2024344189119027
right	al	dal	d	174	0.5958956614797741
right	al	qokal	qok	41	2.739014760072459
right	al	okal	ok	52	1.7944511909770835
right	al	otal	ot	48	2.1897081976904778
right	dy	Cedy	Ce	448	4.001599505848859
right	dy	Edy	E	312	2.768166734113279
right	dy	edy	e	253	2.5929710691932426
right	dy	ody	o	272	0.9005856951563708
right	dy	Sedy	Se	173	2.2407218482318947
right	dy	Cdy	C	167	3.07205582112955
right	k	ok	o	625	0.6213341706415677
right	k	olk	ol	152	1.2761078250828666
right	k	yk	y	149	1.6200469231954038
right	k	lk	l	249	1.0215844075405671
right	o	qo	q	233	-0.10243555413373434
right	o	Co	C	121	0.39847508326509445
right	o	So	S	76	0.9904711975237298
right	ol	Col	C	188	1.948765983553839
right	ol	Sol	S	51	1.7804587571657975
right	ol	eol	e	75	2.099565313222026
right	ol	Ceol	Ce	77	3.4000483430402917
right	ol	qol	q	45	2.0614612682011617
right	r	ar	a	766	0.7042174304467311
right	r	or	o	535	0.3002945711740261
right	r	air	ai	210	1.5963772012954918
right	y	dy	d	204	0.9871036786991298
right	y	Ey	E	370	2.4838905202331016
right	y	Cy	C	212	2.9380407888133258
right	y	Cey	Ce	264	3.3781265289785916
right	y	ey	e	259	2.3900506681109634
right	y	Ky	K	120	2.7793108761400895
right	y	Ty	T	74	2.5877155623508044
right	y	Sey	Se	148	2.0989889950066245
right	y	ky	k	69	2.95657927805028
right	y	Sy	S	68	2.624870461438572
right	y	oky	ok	44	3.310490321507519
right	y	oty	ot	48	3.378374091109435
