statement_id	page	record	events	surface_sequence	card_sequence	component_sequence	event_phrases_de	fluent_workshop_reading_de	reading_source	fluency_grade	closes
H1-S001	f10r	H1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	PROC001|PROC002|PROC003|PROC004|PROC005|PROC006|PROC007|PROC008|PROC009|PROC010	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	kurz den laufenden Posten abnehmen | den Ansatz im Arbeitsgang bereithalten | aus dem Vorrat | ihn eintragen | das Arbeitsfach waehlen | die laufende Fluessigkeit abnehmen | danach weiter ihn eintragen und abnehmen | ihn ansetzen | nach Sollmass | kurz ihn eintragen	Den laufenden Posten kurz abnehmen; den Ansatz im Arbeitsgang bereitstellen und aus dem Vorrat eintragen; den Fluessigkeitslauf abnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz eintragen.	HAND_POLISHED_LONG_V2	POLISHED	NO
H1-S002	f10r	H1	4	qokchy qotchol chol cthy	PROC011|PROC012|PROC013|PROC014	OK+Y | OT+CH+OL | OL | CTH+Y	den laufenden Posten ansetzen | danach weiter abnehmen | fortsetzen | ihn bereithalten	Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.	HAND_POLISHED_FRAGMENT_V3	POLISHED	NO
H2-S001	f10r	H2	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	PROC015|PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	kurz den laufenden Posten den Ansatz abnehmen | ihn bereithalten | den Ansatz | nach Sollmass bereithalten | bis bereit ihn im Arbeitsgang fortsetzen | ihn beibehalten | ihn beibehalten | nach Sollmass | ihn beibehalten	Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	HAND_POLISHED_LONG_V2	POLISHED	NO
H2-S002	f10r	H2	8	qotchor chor otol chol cholor chol daiin dar	PROC020|PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	danach den Ansatz abnehmen | den Ansatz | danach fortsetzen | fortsetzen | den Ansatz fortsetzen | fortsetzen | nach Sollmass | aus dem Vorrat	Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Sollmass aus dem Vorrat weiterfuehren.	HAND_POLISHED_LONG_V2	POLISHED	NO
H2-S003	f10r	H2	7	oykchor shor chor chy kaiiin dy chodaiin	PROC023|PROC016|PROC016|PROC019|PROC024|PROC019|PROC025	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	den laufenden Posten den Ansatz im Arbeitsgang zudosieren | den Ansatz | den Ansatz | ihn beibehalten | bis zur Arbeitsstufe zudosieren | ihn beibehalten | im Arbeitsgang nach Sollmass abnehmen	Im Arbeitsgang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiterdosieren und anschliessend im Arbeitsgang nach Sollmass abnehmen.	HAND_POLISHED_LONG_V2	POLISHED	NO
H3-S001	f11r	H3	7	tshol schoal cfhy shfydaiin cphy shey tchody	PROC026|PROC027|PROC028|PROC029|PROC030|PROC031|PROC032	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	weiter eintragen und halten | im Arbeitsgang zur Zielstelle halten | den laufenden Posten auswringen | ihn nach Sollmass halten | ihn einfuellen | laenger ihn halten | im Arbeitsgang eintragen und abnehmen; den Schritt schliessen	Den Ansatz am Ziel weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
H3-S002	f11r	H3	1	shoyty	PROC033	SH+O+Y+T+Y	den laufenden Posten im Arbeitsgang halten und eintragen	Den laufenden Posten im Arbeitsgang halten und eintragen.	NORMALIZED_SHORT_V3	CLEAN	NO
H3-S003	f11r	H3	5	dchol chy kchy dy daiin	PROC034|PROC019|PROC035|PROC019|PROC009	RESUME_CARD | Y | K+Y | Y | AIIN	den vorigen Vorgang wiederaufnehmen | den laufenden Posten beibehalten | ihn zudosieren | ihn beibehalten | nach Sollmass	Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Sollmass weiterfuehren.	HAND_POLISHED_LONG_V2	POLISHED	NO
H3-S004	f11r	H3	4	qotchy okchol cthy dy	PROC036|PROC037|PROC014|PROC019	OT+Y | OK+OL | CTH+Y | Y	danach den laufenden Posten | weiter ansetzen | ihn bereithalten | ihn beibehalten	Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.	NORMALIZED_SHORT_V3	CLEAN	NO
H4-S001	f55v	H4	5	qokaiin chaiin ykain ykan ody	PROC038|PROC009|PROC039|PROC040|PROC041	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	nach Sollmass ansetzen | nach Sollmass | den laufenden Posten als Portion zudosieren | ihn als Nachportion zudosieren | im Arbeitsgang; den Schritt schliessen	Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachportion zudosieren; den Arbeitsgang schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
