statement_id	record	events	repair_type	component_sequence	before_de	after_de
H1-S002	H1	4	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	OK+Y | OT+CH+OL | OL | CTH+Y	den laufenden Posten ansetzen; dann danach weiter abnehmen; dann fortsetzen; dann ihn bereithalten.	Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.
H4-S002	H4	3	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	AIIN | CHD+Y | TALAM	nach Sollmass; dann den laufenden Posten umsetzen; dann den Posten verwahren.	Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.
H5-S002	H5	4	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	den vorigen Vorgang wiederaufnehmen; dann den laufenden Posten die Zutat; dann ihn ansetzen; dann laenger im Arbeitsgang durch den Durchlass abnehmen; den Schritt schliessen.	Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass abnehmen und schliessen.
H5-S003	H5	4	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	SH | HO | K+E+Y | OK+OK+Y	halten; dann die Zutat; dann kurz den laufenden Posten zudosieren; dann ihn ansetzen und ansetzen.	Die Zutat halten, dem laufenden Posten kurz zudosieren und ihn zweimal ansetzen.
H5-S005	H5	4	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	HO | OK+Y | K+HO+AR | OT+O+AIN	die Zutat; dann den laufenden Posten ansetzen; dann die Zutat aus dem Vorrat zudosieren; dann danach im Arbeitsgang als Portion.	Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus dem Vorrat zudosieren; danach eine Portion in den Arbeitsgang nehmen.
H5-S006	H5	3	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	OT+Y | K+E+OL | AIIN	danach den laufenden Posten; dann weiter kurz zudosieren; dann nach Sollmass.	Danach den laufenden Posten kurz weiterdosieren, bis das Sollmass erreicht ist.
B1-S017	B1	3	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	AL | E+OL | CHD+DY	zur Zielstelle; dann kurz fortsetzen; dann umsetzen; den Schritt schliessen.	An der Zielstelle kurz fortsetzen, umsetzen und den Schritt schliessen.
B1-S021	B1	1	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	AL	zur Zielstelle.	Die Zielstelle festlegen.
B2-S011	B2	4	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	OK+AIN | AR | OK+AIN | OK+EE+DY	als Portion ansetzen; dann aus dem Vorrat; dann als Portion ansetzen; dann laenger ansetzen; den Schritt schliessen.	Eine Portion ansetzen, aus dem Vorrat eine zweite Portion ansetzen, laenger ansetzen und schliessen.
B2-S017	B2	2	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	R+SH+E+AL | AL+DY	kurz zur Zielstelle kuehlen und halten; dann zur Zielstelle; den Schritt schliessen.	An der Zielstelle kurz kuehlen und halten, dann den Zielschritt schliessen.
B3-S003	B3	4	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	Y | AIIN | Y | L+CHD+DY	den laufenden Posten beibehalten; dann nach Sollmass; dann ihn beibehalten; dann weiterleiten und umsetzen; den Schritt schliessen.	Den laufenden Posten nach Sollmass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.
B3-S004	B3	3	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	OK+AIIN | OT+AL | AR	nach Sollmass ansetzen; dann danach zur Zielstelle; dann aus dem Vorrat.	Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus dem Vorrat weiterarbeiten.
B3-S010	B3	2	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	P+CHD+AL | OT+E+DY	zur Zielstelle einfuellen und umsetzen; dann danach kurz; den Schritt schliessen.	An der Zielstelle einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.
B3-S012	B3	2	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	OR | SHED+DY	den Ansatz; dann absetzen lassen; den Schritt schliessen.	Den Ansatz absetzen lassen und den Schritt schliessen.
B3-S020	B3	2	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	AL | L+CHD+DY	zur Zielstelle; dann weiterleiten und umsetzen; den Schritt schliessen.	An der Zielstelle weiterleiten, umsetzen und den Schritt schliessen.
B3-S030	B3	4	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	den laufenden Posten ansetzen; dann nach Sollmass; dann die laufende Fluessigkeit umsetzen; dann danach umsetzen; den Schritt schliessen.	Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.
B4-S005	B4	3	ATTACH_DANGLING_NOMINAL_OR_SEQUENCE_FRAGMENT	AIN | CHD+Y | OK+EE+DY	als Portion; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.
